rank,album,artist,apple,audiomark,deezer,boom,RT
441,Better Mistakes,Bebe Rexha,500,510,212,520,1352.0
442,El Dorado,24kgoldn,500,510,213,520,1353.0
443,DS2 (Deluxe),Future,500,510,215,520,1355.0
444,Father Of Asahd,DJ Khaled,500,510,217,520,1357.0
445,Revenge Of The Dreamers III,Dreamville,500,510,220,520,1360.0
446,Lemonade,Beyonc\u00e9,500,510,221,520,1361.0
447,The Last Rocket,Takeoff,500,510,223,520,1363.0
448,TIM,Avicii,500,510,225,520,1365.0
449,Imagination & the Misfit Kid,Labrinth,500,510,228,520,1368.0
450,Only Human (Deluxe),Calum Scott,500,510,230,520,1370.0
451,Better Things,Coi Leray,500,510,231,520,1371.0
452,TAKE TIME,Giveon,500,510,235,520,1375.0
453,92 Degrees,A92,500,510,236,520,1376.0
454,The Lion King: Original Broadway Cast Recording,Various Artists,500,510,237,520,1377.0
455,Live Concert Series V,Beautiful Nubia and the Roots Renaissance Band,500,510,238,520,1378.0
456,"Life is Eazi, Vol. 2 - Lagos To London",Mr Eazi,500,510,239,520,1379.0
457,Six Paths,Dave,500,510,241,520,1381.0
458,Kapacity,Kaptain,500,510,352,80,1382.0
459,Best of Burna Boy,Burna Boy,500,510,242,520,1382.0
460,Victory Lap,Nipsey Hussle,500,510,243,520,1383.0
461,Colours of Africa: Live in London,Sonnie Badu,500,510,244,520,1384.0
462,untitled unmastered.,Kendrick Lamar,500,510,245,520,1385.0
463,Playboi Carti,Playboi Carti,500,510,246,520,1386.0
464,Redemption,Burna Boy,500,510,248,520,1388.0
465,Summers,Melvitto,500,510,249,520,1389.0
466,P.U.N,Jaywillz,500,510,253,520,1393.0
467,Music (Songs From And Inspired By The Motion Picture),Sia,500,510,254,520,1394.0
468,Deadpan Love,Cautious Clay,500,510,255,520,1395.0
469,Songs for the Drunk and Broken Hearted,Passenger,500,510,259,520,1399.0
470,HeartWork,Peruzzi,500,510,260,520,1400.0
471,Festival Bar - EP,Davolee,500,510,261,520,1401.0
472,Sin City The Mixtape,Ski Mask the Slump God,500,510,262,520,1402.0
473,Turning Point,Mario,500,510,265,520,1405.0
474,Son Of The Lion,Benjiszzy Zaakii,500,510,266,520,1406.0
475,Seven Degrees North,King Sunny Ade,500,510,267,520,1407.0
476,Can't Slow Down,Lionel Richie,500,510,269,520,1409.0
477,Tradition,Runtown,500,510,270,520,1410.0
478,Gang Business,Anti World Gangstars,500,510,272,520,1412.0
479,Out Here On A Friday Where It Began,Hillsong Young & Free,500,510,273,520,1413.0
480,Twenty,Boyz II Men,500,510,274,520,1414.0
