rank,album,artist,R1,R2,R3,R4,R5,R6,R7,RT
72,All My Demons Greeting Me As A Friend (Deluxe),AURORA,301,63,63,301,301,74,301,200.5714286
73,Ayra Starr,Ayra Starr,51,301,301,301,301,58,94,201
74,Studying Abroad: Extended Stay,Masego,301,80,80,60,301,301,301,203.4285714
75,Get Layd,Omah lay,301,86,86,57,301,301,301,204.7142857
76,Send Them To Coventry,Pa Salieu,301,68,68,301,301,301,95,205
77,Therapy Session,NF,301,79,79,301,301,73,301,205
78,Budweiser (Remix),Various Artists,56,97,97,301,301,301,301,207.7142857
79,BLAME IT ON BABY,DaBaby,301,93,93,301,74,301,301,209.1428571
80,High Off Life,Future,301,100,100,301,301,62,301,209.4285714
81,We're All Alone In This Together,Dave,301,301,301,301,301,1,1,215.2857143
82,"Kpos Lifestyle, Vol. 1",Ajebo Hustlers,301,301,301,301,301,9,2,216.5714286
83,Bigger Than Life Or Death,EST Gee,301,301,301,301,18,7,301,218.5714286
84,An Ode to Mortality,Apartment VII,301,14,14,301,301,301,301,219
85,Sweetness,Obongjayar,301,301,301,301,301,28,5,219.7142857
86,Heavy Is The Head,Stormzy,301,301,301,301,17,17,301,219.8571429
87,JESUS IS KING,Kanye West,301,20,20,301,301,301,301,220.7142857
88,Strings And Bling,Nasty C,301,301,301,7,38,301,301,221.4285714
89,Hollywood's Bleeding,Post Malone,301,301,301,301,19,30,301,222
90,F*CK LOVE (SAVAGE),The Kid Laroi,301,301,301,28,301,25,301,222.5714286
91,Changes,Justin Bieber,301,27,27,301,301,301,301,222.7142857
92,While The World Was Burning,SAINt JHN,301,33,33,301,301,301,301,224.4285714
93,Future & Juice WRLD Present... WRLD ON DRUGS,Future,301,301,301,301,46,301,21,224.5714286
94,Boo of the Booless,Chike,37,301,301,37,301,301,301,225.5714286
95,Just Cause Y'all Waited 2 (Deluxe),Lil Durk,301,38,38,301,301,301,301,225.8571429
96,WUNNA,Gunna,301,39,39,301,301,301,301,226.1428571
97,DAMN.,Kendrick Lamar,301,301,301,20,58,301,301,226.1428571
98,Hood Boy Dreams,Jeriq,301,40,40,301,301,301,301,226.4285714
99,Asa (Asha),Asa,45,301,301,301,301,301,40,227.1428571
100,Heaven Or Hell,Don Toliver,301,43,43,301,301,301,301,227.2857143
101,Over It,Summer Walker,301,301,301,22,301,65,301,227.4285714
102,The Spirit of Light,Tope Alabi,301,45,45,301,301,301,301,227.8571429
103,My Beautiful Dark Twisted Fantasy,Kanye West,301,301,301,301,301,38,54,228.1428571
104,Big Conspiracy,J Hus,301,301,301,301,81,16,301,228.8571429
105,Yeezus,Kanye West,301,301,301,301,301,32,65,228.8571429
106,Destined 2 Win,Lil Tjay,53,301,301,301,301,301,44,228.8571429
107,Scam,G4 Boyz,301,49,49,301,301,301,301,229
108,Soyoyo,Musiliu Haruna Ishola,74,301,301,301,24,301,301,229
109,Alagbe,Qdot,301,301,301,29,69,301,301,229
110,Game Over,Dave,301,301,301,301,43,301,55,229
111,Product of My Environment,Abra Cadabra,301,301,301,53,301,301,47,229.2857143
112,Before the Chaos (-EP),Erigga,54,301,301,301,49,301,301,229.7142857
