rank,album,artist,R1,R2,R3,R4,R5,R6,R7,RT,,,,,,
110,Dying to Live,Kodak Black,107,110,106,112,121,122,144,117.4285714,,,,,,
111,Common Sense,J Hus,117,124,116,110,119,137,112,119.2857143,,,,,,
112,PSYCHODRAMA,Dave,157,127,134,93,101,119,115,120.8571429,,,,,,
113,SAVAGE MODE II,21 Savage & Metro Boomin,129,121,119,121,128,100,129,121,,,,,,
114,"good kid, m.A.A.d city (Deluxe)",Kendrick Lamar,118,138,130,140,117,104,119,123.7142857,,,,,,
115,Free Spirit,Khalid,132,122,105,127,124,143,128,125.8571429,,,,,,
116,Die a Legend,Polo G,301,96,113,101,96,97,91,127.8571429,,,,,,
117,NOT ALL HEROES WEAR CAPES (Deluxe),Metro Boomin,149,126,135,135,123,110,126,129.1428571,,,,,,
118,Culture III,Migos,1,1,1,1,301,301,301,129.5714286,,,,,,
119,FATHER OF 4,Offset,133,128,129,118,131,124,146,129.8571429,,,,,,
120,beerbongs & bentleys,Post Malone,142,120,118,134,125,129,142,130,,,,,,
121,Collection One,SAINt JHN,127,118,124,147,150,131,130,132.4285714,,,,,,
122,MI2 The Movie,M.I Abaga,116,141,133,132,143,147,148,137.1428571,,,,,,
123,ASA (Asha) [Deluxe Edition],Asa,106,131,108,108,141,144,301,148.4285714,,,,,,
124,After Hours,The Weeknd,301,301,301,29,35,43,33,149,,,,,,
126,Thank You For Believing,Toosii,122,129,122,301,120,142,134,152.8571429,,,,,,
127,ÌRÌ (The Album Live),Sola Allyson,301,89,85,87,100,125,301,155.4285714,,,,,,
128,Views,Drake,158,117,126,136,135,121,301,156.2857143,,,,,,
129,I LOVE GIRLS WITH TROBUL,Sarz & WurlD,164,123,139,123,151,301,118,159.8571429,,,,,,
130,4Play,EP - Olakira,78,87,88,102,177,301,301,162,,,,,,
131,DAMN.,Kendrick Lamar,154,136,150,301,130,132,131,162,,,,,,
132,Positions (Deluxe Edition),Ariana Grande,96,101,109,120,115,301,301,163.2857143,,,,,,
133,Culture II,Migos,102,116,125,142,136,301,301,174.7142857,,,,,,
134,Yes and Amen,Tope Alabi,95,112,117,301,166,146,301,176.8571429,,,,,,
135,Pray 4 Love (Deluxe),Rod Wave,159,135,301,129,122,138,301,183.5714286,,,,,,
136,After Hours (Deluxe Video Album),The Weeknd,28,30,27,301,301,301,301,184.1428571,,,,,,
137,Signed to the Streets 3,Lil Durk,135,130,141,133,165,301,301,186.5714286,,,,,,
138,Gratitude,Timaya,163,142,142,301,142,301,132,189,,,,,,
139,Meet the Woo,Pop Smoke,151,149,301,125,162,301,143,190.2857143,,,,,,
140,Heaven Or Hell,Don Toliver,166,133,145,128,159,301,301,190.4285714,,,,,,
141,Indigo (Extended),Chris Brown,160,150,148,130,154,301,301,192,,,,,,
143,Arojinle,Adeyinka Alaseyori,131,91,127,150,301,301,301,200.2857143,,,,,,
144,Beauty Behind the Madness,The Weeknd,156,132,138,301,301,301,127,208,,,,,,
145,Too Faithful,Moses Bliss,179,301,301,116,134,133,301,209.2857143,,,,,,
146,American Teen,Khalid,145,301,149,139,129,301,301,209.2857143,,,,,,
147,More Life,Drake,152,301,301,148,132,301,140,210.7142857,,,,,,
148,JACKBOY,JACKBOYS & Travis Scott,301,139,128,301,160,301,150,211.4285714,,,,,,
149,Simisola (Deluxe),Simi,169,301,301,131,145,140,301,212.5714286,,,,,,
150,Wins & Losses (Deluxe),Meek Mill,178,301,136,143,138,301,301,214,,,,,,
151,Light,MohBad,141,144,137,301,174,301,301,214.1428571,,,,,,
152,The Mayor of Lagos,Mayorkun,301,301,301,301,84,107,110,215,,,,,,
153,UY Scuti,Olamide,301,301,301,301,301,1,1,215.2857143,,,,,,
154,Culture III (Extended Version),Migos,301,301,301,301,1,2,301,215.4285714,,,,,,
155,Back of My Mind (Apple Music Edition),H.E.R.,301,301,301,301,301,13,12,218.5714286,,,,,,
156,Maverick City Vol. 3 Part 1,Maverick City Music,192,146,301,145,155,301,301,220.1428571,,,,,,
157,True 2 Myself,Lil Tjay,301,301,301,119,127,123,301,224.7142857,,,,,,
158,Resurrection,Hugo P,301,301,301,301,301,49,38,227.4285714,,,,,,
159,Tha Carter V (Deluxe),Lil Wayne,125,140,132,301,301,301,301,228.7142857,,,,,,
160,No Love Lost (Deluxe),Blxst,148,301,147,301,110,301,301,229.8571429,,,,,,
161,My Struggle,Unfoonk & Young Stoner Life,301,301,301,301,301,80,27,230.2857143,,,,,,
163,ANTI (Deluxe),Rihanna,147,301,301,301,137,301,133,231.5714286,,,,,,
164,PLAYBOY,Tory Lanez,136,301,140,301,144,301,301,232,,,,,,
165,199X,Suté Iwar,301,301,301,301,301,71,55,233,,,,,,
166,Fuji the Sound,EP - K1 De Ultimate,134,148,301,301,301,301,149,233.5714286,,,,,,
167,Artist 2.0,A Boogie wit da Hoodie,150,143,301,138,301,301,301,233.5714286,,,,,,
168,Eyan Mayweather,Olamide,128,301,301,301,172,134,301,234,,,,,,
169,Take Care (Deluxe Version),Drake,146,301,144,301,146,301,301,234.2857143,,,,,,
170,Free Dem Boyz,42 Dugg,138,301,301,149,152,301,301,234.7142857,,,,,,
171,Strings and Bling,Nasty C,161,301,301,301,140,141,301,235.1428571,,,,,,
172,This Is Acting (Deluxe Version),Sia,137,301,301,144,167,301,301,236,,,,,,
173,Love Scars: The 5 Stages Of Emotions (Deluxe),Yung Bleu,301,301,301,141,163,148,301,236.5714286,,,,,,
174,Mother Nature,Angelique Kidjo,301,301,301,301,301,91,62,236.8571429,,,,,,
175,"YP & Azanti, Vol. 1",PsychoYP & Azanti,176,301,301,146,139,301,301,237.8571429,,,,,,
176,Nothing Was the Same (Deluxe),Drake,177,134,301,301,157,301,301,238.8571429,,,,,,
177,Championships,Meek Mill,186,301,301,137,147,301,301,239.1428571,,,,,,
178,Send Them To Coventry,Pa Salieu,139,147,301,301,190,301,301,240,,,,,,
179,Ignorance Is Bliss,Skepta,196,301,143,301,149,301,301,241.7142857,,,,,,
180,The Spirit of Light,Tope Alabi & Ty Bello,144,301,146,301,200,301,301,242,,,,,,
181,Ctrl,SZA,180,301,301,301,184,301,136,243.4285714,,,,,,
182,Ice Daddy,Gucci Mane,301,301,301,301,301,118,96,245.5714286,,,,,,
183,Fast & Furious 9: The Fast Saga (Original Motion Picture Soundtrack),Various Artists,301,301,301,301,301,135,103,249,,,,,,
184,The Pinkprint (Deluxe Edition),Nicki Minaj,301,301,301,301,133,149,301,255.2857143,,,,,,
185,?,XXXTENTACION,172,301,301,301,301,301,113,255.7142857,,,,,,
186,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,140,301,301,301,153,301,301,256.8571429,,,,,,
187,Culture,Migos,113,301,301,301,181,301,301,257,,,,,,
188,The Search,NF,301,301,301,301,158,139,301,257.4285714,,,,,,
189,Culture III (Deluxe),Migos,301,301,301,301,301,301,3,258.4285714,,,,,,
190,King of Love,Kizz Daniel,165,301,301,301,156,301,301,260.8571429,,,,,,
191,The King Is Coming,Nathaniel Bassey,143,301,301,301,182,301,301,261.4285714,,,,,,
192,So Much Fun (Deluxe),Young Thug,171,301,301,301,161,301,301,262.4285714,,,,,,
193,Jubilee: Juneteenth Edition,Maverick City Music,301,301,301,301,301,301,35,263,,,,,,
194,Flavour of Africa,Flavour,153,301,301,301,185,301,301,263.2857143,,,,,,
195,The Life of Pablo,Kanye West,167,301,301,301,173,301,301,263.5714286,,,,,,
196,T R A P S O U L (Deluxe),Bryson Tiller,174,301,301,301,169,301,301,264,,,,,,
197,Shiesty Season,Spring Deluxe - Pooh Shiesty,184,301,301,301,179,301,301,266.8571429,,,,,,
198,Forever,Popcaan,200,301,301,301,171,301,301,268,,,,,,
199,x (Deluxe Edition),Ed Sheeran,195,301,301,301,180,301,301,268.5714286,,,,,,
200,÷ (Deluxe),Ed Sheeran,181,301,301,301,194,301,301,268.5714286,,,,,,
201,Torilyna's Secret Book,EP - Tori Keeche,301,301,301,301,301,301,74,268.5714286,,,,,,
202,Redemption,Burna Boy,189,301,301,301,193,301,301,269.5714286,,,,,,
203,JESUS IS KING,Kanye West,101,301,301,301,301,301,301,272.4285714,,,,,,
204,The Leaktape,EP - Peruzzi,301,301,301,301,301,114,301,274.2857143,,,,,,
205,State of Mind,Lord B,301,301,301,301,301,301,135,277.2857143,,,,,,
206,17,XXXTENTACION,301,301,301,301,301,301,137,277.5714286,,,,,,
207,HARAM!,GoldLink,301,301,301,301,301,301,139,277.8571429,,,,,,
208,"My Dear Melancholy,",The Weeknd,301,301,301,301,148,301,301,279.1428571,,,,,,
209,The Cross: My Gaze,Mercy Chinwo,155,301,301,301,301,301,301,280.1428571,,,,,,
210,Gongo Aso,9ice,301,301,301,301,164,301,301,281.4285714,,,,,,
211,Top Chef Gotit,Lil Gotit,168,301,301,301,301,301,301,282,,,,,,
212,Pluto x Baby Pluto (Deluxe),Future & Lil Uzi Vert,301,301,301,301,168,301,301,282,,,,,,
213,Twelve A.M,EP - Crayon,170,301,301,301,301,301,301,282.2857143,,,,,,
214,The Resurrection,Bugzy Malone,301,301,301,301,170,301,301,282.2857143,,,,,,
215,Moments in Between,Ruth B.,173,301,301,301,301,301,301,282.7142857,,,,,,
216,The Lion King: The Gift,Beyoncé,175,301,301,301,301,301,301,283,,,,,,
217,Alagbe,Qdot,301,301,301,301,175,301,301,283,,,,,,
218,Future Hndrxx Presents: The WIZRD,Future,301,301,301,301,176,301,301,283.1428571,,,,,,
219,i am > i was (Deluxe),21 Savage,301,301,301,301,178,301,301,283.4285714,,,,,,
220,FREE 6LACK (Bonus Track Version),6LACK,182,301,301,301,301,301,301,284,,,,,,
221,Ultimate Collection,Don Moen,183,301,301,301,301,301,301,284.1428571,,,,,,
222,Just Cause Y'all Waited,Lil Durk,301,301,301,301,183,301,301,284.1428571,,,,,,
223,Queen (Deluxe),Nicki Minaj,185,301,301,301,301,301,301,284.4285714,,,,,,
224,Welcome to O'Block,King Von,301,301,301,301,186,301,301,284.5714286,,,,,,
225,L.I.F.E,Leaving an Impact for Eternity (Deluxe Edition) - Burna Boy,301,301,301,301,187,301,301,284.7142857,,,,,,
226,ZaZa Vibes,L.A.X,187,301,301,301,301,301,301,284.7142857,,,,,,
227,Project Baby 2: All Grown Up (Deluxe),Kodak Black,188,301,301,301,301,301,301,284.8571429,,,,,,
228,Birds in the Trap Sing McKnight,Travis Scott,301,301,301,301,188,301,301,284.8571429,,,,,,
229,Rema,EP - Rema,301,301,301,301,189,301,301,285,,,,,,
230,Heavy Is The Head,Stormzy,190,301,301,301,301,301,301,285.1428571,,,,,,
231,Gold,Adekunle Gold,301,301,301,301,191,301,301,285.2857143,,,,,,
232,Purpose (Deluxe),Justin Bieber,191,301,301,301,301,301,301,285.2857143,,,,,,
233,Stoney (Deluxe),Post Malone,301,301,301,301,192,301,301,285.4285714,,,,,,
234,Shockwave,Marshmello,193,301,301,301,301,301,301,285.5714286,,,,,,
235,A Taste of Sugar,EP - Sugarbana,194,301,301,301,301,301,301,285.7142857,,,,,,
236,REAPER SZN (Deluxe),YXNG K.A,301,301,301,301,195,301,301,285.8571429,,,,,,
237,4 Your Eyez Only,J. Cole,301,301,301,301,196,301,301,286,,,,,,
238,F*CK LOVE (SAVAGE),The Kid LAROI,301,301,301,301,197,301,301,286.1428571,,,,,,
239,Oṣó,Brymo,197,301,301,301,301,301,301,286.1428571,,,,,,
240,Isodotun,Sola Allyson,198,301,301,301,301,301,301,286.2857143,,,,,,
241,Changes,Justin Bieber,301,301,301,301,198,301,301,286.2857143,,,,,,
242,Freedom.,EP - Justin Bieber,199,301,301,301,301,301,301,286.4285714,,,,,,
243,In the Lonely Hour (Drowning Shadows Videos Edition),Sam Smith,301,301,301,301,199,301,301,286.4285714,,,,,,
