,album,artist,R1,R2,R3,R4,R5,R6,R7,RT
50,A Good Time,Davido,48,51,51,48,71,55,51,53.57142857
51,Pray 4 Love,Rod Wave,49,66,66,47,46,51,52,53.85714286
52,Culture,Migos,56,64,64,66,52,46,32,54.28571429
53,Wild West,Central Cee,51,58,58,54,55,57,49,54.57142857
54,Just Cause Y'all Waited,Lil Durk,50,57,57,51,56,63,55,55.57142857
55,Bad Commando,Rema,60,54,54,60,59,59,50,56.57142857
56,Love Songs 4 The Streets 2,Lil Durk,55,60,60,55,67,50,62,58.42857143
57,Know You,Ladipoe,65,79,79,50,47,56,45,60.14285714
58,TattleTales,6ix9ine,45,63,63,72,64,58,60,60.71428571
59,Hot Pink,Doja Cat,54,82,82,57,57,64,54,64.28571429
60,The Prince I Became,Ric Hassani,83,72,72,56,54,61,58,65.14285714
61,Hakuna Matata,Dotman,79,61,61,65,68,53,73,65.71428571
62,OXYGENE,Oxlade,70,65,65,69,74,68,59,67.14285714
63,Something Else,Mr Eazi,64,55,55,90,61,79,71,67.85714286
64,Lil Durk Presents: Loyal Bros,Only The Family,61,68,68,83,63,65,72,68.57142857
65,Herstory in the Making,Young M.A,69,71,71,77,58,62,75,69
66,TIME,Yaw Tog,84,49,49,81,72,86,65,69.42857143
67,Chulo Vibes,Timaya,80,70,70,63,62,81,69,70.71428571
68,Pluto x Baby Pluto,Future & Lil Uzi Vert,87,59,59,62,66,74,90,71
69,SATISFIED,Mercy Chinwo,85,62,62,68,79,75,67,71.14285714
70,Billionaire,Teni,68,73,73,67,80,76,80,73.85714286
71,Hoodie SZN,A Boogie Wit Da Hoodie,71,74,74,53,96,71,86,75
72,SAVAGE MODE II,21 Savage & Metro Boomin,73,83,83,80,73,70,66,75.42857143
73,Slime Language 2 (Deluxe),"Young Stoner Life, Young Thug & Gunna",59,77,77,100,77,98,56,77.71428571
74,SoundGod Fest Reloaded,Runtown,82,85,85,64,78,72,78,77.71428571
75,PINK PLANET,Pink Sweat$,72,69,69,70,92,89,97,79.71428571
76,The Message,Minister GUC,91,81,81,74,93,73,68,80.14285714
77,Good News,Megan Thee Stallion,97,56,56,78,88,107,81,80.42857143
78,7,Lil Nas X,74,84,84,86,85,67,85,80.71428571
79,Deal with It,Phyno,78,97,97,71,75,78,70,80.85714286
80,Shiesty Season - Spring Deluxe,Pooh Shiesty,57,99,99,58,98,66,96,81.85714286
81,S.C.A.M,G4 Boyz,66,90,90,89,81,82,77,82.14285714
82,6locc 6a6y,Lil Loaded,62,87,87,76,70,102,99,83.28571429
83,Trap Symphony EP,Roddy Ricch,93,86,86,82,84,87,84,86
84,PTSD,Rod Wave,92,96,96,73,65,77,104,86.14285714
85,Too Late Too Lit,KDDO,95,80,80,101,82,88,83,87
86,LOL (Lord of Lamba),Naira Marley,86,89,89,93,89,83,89,88.28571429
87,Pluto x Baby Pluto (Deluxe),Future & Lil Uzi Vert,75,76,76,103,101,84,105,88.57142857
88,Alagbe,Qdot,96,93,93,88,90,95,94,92.71428571
89,Nobody: The Extended Playlist (Worldwide Remixes),DJ Neptune,88,91,91,75,118,123,92,96.85714286
90,I Love Girls With Trobul,Sarz X WurlD,94,98,98,99,86,99,108,97.42857143
91,Slime Language 2,"Young Stoner Life, Young Thug & Gunna",301,88,88,104,69,80,103,119
92,Levon James,King Von,301,92,92,102,91,104,98,125.7142857
93,So Much Fun,Young Thug,301,100,100,97,100,90,119,129.5714286
94,Tropical Depression Riddim,"VARIOUS ARTISTE (KRANIUM, TEEJAY, SHATTA WALE, JAHMEIL & MORE)",301,95,95,105,117,108,110,133
95,Off The Record,Reekado Banks,301,94,94,116,104,116,120,135
97,Realms,Wande Coal,90,301,301,122,97,94,76,154.4285714
98,Until Death Call My Name (Reloaded),YoungBoy Never Broke Again,89,301,301,94,123,96,93,156.7142857
99,T R A P S O U L (Deluxe),Bryson Tiller,98,301,301,84,99,127,95,157.8571429
100,Pray 4 Love (Deluxe),Rod Wave,99,301,301,108,94,100,107,158.5714286
101,I AM GUCHI,GUCHI,81,78,78,79,301,301,301,174.1428571
103,Kommunity Service,YG & Mozzy,301,301,301,96,87,92,101,182.7142857
104,ZaZa Vibes,L.A.X,301,301,301,95,102,97,100,185.2857143
105,Viral Infection 1.0,Ayanfe Viral,301,301,301,117,83,109,88,185.7142857
106,Mixed Emotions -ep,Luh Kel,301,301,301,106,110,106,91,188
107,CITIZEN OF THE WORLD,King Perryy,301,301,301,124,95,91,106,188.4285714
108,Nobody Safe,Rich The Kid & YoungBoy Never Broke Again,301,301,301,92,109,111,122,191
109,The Prince I Became (Deluxe Edition),Ric Hassani,301,301,301,119,106,114,113,193.5714286
110,Rema Freestyle EP,Rema,301,301,301,134,124,113,82,193.7142857
111,The Beauty of Becoming,Rotimi,301,301,301,107,108,122,123,194.7142857
112,Big Grim Reaper,Big Scarr,76,301,301,301,141,143,102,195
113,Solid Focus Riddim,"Popcaan, Zamunda, Furnace",301,301,301,110,127,119,109,195.4285714
114,Greatest Lord,SINACH,301,301,301,111,121,118,115,195.4285714
115,L.O.V.E.,Luh Kel,301,301,301,118,120,101,137,197
116,Signed To The Streets 3,Lil Durk,301,301,301,126,112,117,125,197.5714286
117,Nicotine,Trevor Daniel,301,301,301,129,116,124,111,197.5714286
118,Dum and Dummer 2,Young Dolph & Key Glock,301,301,301,131,111,130,112,198.1428571
119,Yabasi,Basketmouth,301,301,301,125,107,139,116,198.5714286
120,Eternal Atake (Deluxe) - LUV vs. The World 2,Lil Uzi Vert,301,301,301,120,115,135,129,200.2857143
121,Top Shotta,NLE Choppa,301,301,301,141,114,105,140,200.4285714
122,Homesick,Trevor Daniel,301,301,301,113,149,132,114,201.5714286
123,The Prodigal,Mr. P,301,301,301,123,119,134,133,201.7142857
124,Mr. Boombastic,Blaqbonez,301,301,301,115,136,128,134,202.2857143
125,RESTLESS II,Simi,301,301,301,133,125,131,126,202.5714286
142,Afrodis-aco,Rauw Alejandro,301,67,67,87,301,301,301,203.5714286
126,L.O.V.E. (Deluxe),Luh Kel,301,301,301,139,139,110,136,203.8571429
127,Anloga Junction,Stonebwoy,301,301,301,132,130,137,127,204.1428571
128,WUNNA,Gunna,301,301,301,112,131,144,142,204.5714286
129,Trench Baby,Lil Zay Osama,301,301,301,109,140,140,143,205
130,The Backend Child,NoCap,301,301,301,149,143,136,124,207.8571429
131,The Palmwine Express,Show Dem Camp,301,301,301,148,135,147,131,209.1428571
132,1.5 Way Or No Way,Yung Mal,301,301,301,98,301,103,135,220
133,Trench Baby (Deluxe Edition),Lil Zay Osama,301,301,301,301,105,120,139,224
134,Still Taking Risks,Quando Rondo,301,301,301,301,126,112,132,224.8571429
135,Loyalty Over Royalty (Deluxe),CJ,301,301,301,114,138,126,301,226
136,Roots,NSG,301,301,301,121,113,301,147,226.4285714
137,Top Chef Gotit,Lil Gotit,301,301,301,301,301,44,37,226.5714286
138,Jackboys,Jackboys,301,301,301,130,129,125,301,226.8571429
139,Honorable,Hotkid,301,301,301,135,128,301,130,228.1428571
140,Aje (The Mixtape),Jaywon,301,301,301,301,122,145,148,231.2857143
141,Ecstasy,Lil Kesh,301,301,301,301,137,149,145,233.5714286
144,So Icy Kel,34 Kel,301,301,301,301,150,85,301,248.5714286
145,Loyalty Over Royalty,CJ,301,301,301,301,301,121,128,250.5714286
146,Built For Whatever,Tee Grizzley,301,301,301,301,132,301,118,250.7142857
147,PERFECT PICTURE,Dremo,100,301,301,150,301,301,301,250.7142857
148,Live From Nkrumah From Vol II: Home Run,Kwesi Arthur,301,301,301,301,134,133,301,253.1428571
149,"Grandson, Vol. 1",King Von,301,301,301,127,301,141,301,253.2857143
150,High Supremacy Riddim,"Various Artiste (Tommy Lee Sparta, Teejay, Jahvinci, Shatta Wale & More)",301,301,301,301,301,129,141,253.5714286
151,YOU,Ali Gatie,301,301,301,140,301,138,301,254.7142857
152,Table For Two,Korede Bello,301,301,301,136,142,301,301,254.7142857
153,Signed To The Streets 2.5,Lil Durk,301,301,301,142,301,142,301,255.5714286
154,Cray Cray,Crayon,301,301,301,301,145,146,301,256.5714286
155,Type Beats| Rap|Afro-Pop|RnB|Trap/HipHop|Trapsoul 2020 instrumentals,Ryzy.A Beats,301,301,301,301,144,148,301,256.7142857
156,Artist 2.0,A Boogie Wit da Hoodie,301,301,301,144,301,301,149,256.8571429
157,23 Is Back,JayDaYoungan,301,301,301,301,301,301,79,269.2857143
158,Amazing Grace,MEDIKAL,301,301,301,301,301,115,301,274.4285714
159,Wildboy,Calboy,301,301,301,301,301,301,121,275.2857143
160,The Hustler's Catalog 2,Smoke DZA,301,301,301,128,301,301,301,276.2857143
161,Blackstar,Kelvyn Boy,301,301,301,137,301,301,301,277.5714286
162,OGOGORO,"Fireboy DML, Tiwa Savage, Marley, Teni, Bella Shmurda & Henry Nice",301,301,301,138,301,301,301,277.7142857
163,Shockwave,Marshmello,301,301,301,301,301,301,138,277.7142857
164,Only The Generals Part II,Kevin Gates,301,301,301,143,301,301,301,278.4285714
165,A Beautiful Space,Grace Weber,301,301,301,301,301,301,144,278.5714286
166,HENRY NICE TOP SONG,"Naira Marley, Adekunle Gold, Chiké, Henry Nice, Teni & Olamide Best Mix",301,301,301,145,301,301,301,278.7142857
167,Seed,Gyakie,301,301,301,301,301,301,146,278.8571429
168,A Boy From Tandale,Diamond Platnumz,301,301,301,146,301,301,301,278.8571429
169,The Idea Of Her,Ali Gatie,301,301,301,301,146,301,301,278.8571429
170,"Illegal Remixes Vol 1: Love, Lies & Luxury",GoodyBoy,301,301,301,147,301,301,301,279
171,The Prodigy,Skillibeng,301,301,301,301,147,301,301,279
172,Rora,Reekado Banks,301,301,301,301,148,301,301,279.1428571
173,Hunger Games 3,Rod Wave,301,301,301,301,301,301,150,279.4285714
174,Kut Da Fan On,HOTBOII,301,301,301,301,301,150,301,279.4285714
