rank,album,artist,R1,R2,R3,R4,R5,R6,R7,RT
37,Razor,Cheque,44,34,34,40,42,37,33,37.714285714285715
38,NEW ERA,Kiss Daniel,33,39,47,42,39,32,34,38.0
39,Twelve A.M,Crayon,32,33,35,41,47,40,47,39.285714285714285
40,Cultural Praise,Kcee & Okwesili Eze Group,35,31,38,49,41,46,50,41.42857142857143
41,Superstar,Wizkid,34,44,41,43,45,51,48,43.714285714285715
42,Simisola (Deluxe),Simi,46,41,42,47,46,48,41,44.42857142857143
43,For Broken Ears,Tems,50,46,39,46,38,49,44,44.57142857142857
44,Shottaz 4Eva,MO3,41,50,43,38,43,54,43,44.57142857142857
45,King Of Love,Kizz Daniel,42,56,40,53,40,38,53,46.0
46,Top,YoungBoy Never Broke Again,52,51,44,36,53,45,45,46.57142857142857
47,A Good Time,Davido,45,47,53,45,54,47,49,48.57142857142857
48,Soundgod Fest Vol.1,Runtown,49,43,46,52,44,55,55,49.142857142857146
49,Shiesty Season,Pooh Shiesty,38,94,54,44,35,41,54,51.42857142857143
50,Omo Charlie Champagne Vol1,Simi,58,49,57,55,49,42,51,51.57142857142857
51,Culture,Migos,54,52,50,56,48,56,46,51.714285714285715
52,Bad Commando,Rema,51,45,64,50,57,43,52,51.714285714285715
53,Hot Pink,Doja Cat,47,55,45,51,51,52,62,51.857142857142854
54,The Cross: My Gaze,Mercy Chinwo,64,42,49,54,52,53,56,52.857142857142854
55,Three,Patoranking,48,48,55,57,50,57,57,53.142857142857146
56,...Shall We Begin...,Laycon,55,53,52,48,80,50,58,56.57142857142857
57,TattleTales,6ix9ine,53,59,66,58,55,59,59,58.42857142857143
58,SAVAGE MODE II,21 Savage & Metro Boomin,62,60,61,59,58,60,74,62.0
59,Herstory in the Making,Young M.A,59,62,58,69,59,65,68,62.857142857142854
60,Lil Durk Presents: Loyal Bros,Only The Family,61,73,59,60,63,58,76,64.28571428571429
61,Billionaire,Teni,74,61,56,65,64,61,71,64.57142857142857
62,Hakuna Matata,Dotman,81,64,69,67,56,63,63,66.14285714285714
63,Deal with It,Phyno,57,66,79,73,66,68,65,67.71428571428571
64,Chulo Vibes,Timaya,70,67,74,68,61,77,64,68.71428571428571
65,The Message,Minister GUC,60,54,80,61,79,70,77,68.71428571428571
66,7,Lil Nas X,56,80,62,78,62,84,69,70.14285714285714
67,Haitian Boy Kodak,Kodak Black,72,75,75,63,65,69,72,70.14285714285714
68,SATISFIED,Mercy Chinwo,88,57,67,66,68,71,75,70.28571428571429
69,Wild West,Central Cee,68,78,63,64,67,76,81,71.0
70,Happy Birthday Kodak,Kodak Black,75,71,71,72,75,66,73,71.85714285714286
71,OXYGENE,Oxlade,77,72,65,74,76,80,60,72.0
72,Pluto x Baby Pluto,Future & Lil Uzi Vert,65,65,70,93,78,72,67,72.85714285714286
73,Hoodie SZN,A Boogie Wit Da Hoodie,73,69,84,79,71,67,70,73.28571428571429
74,Know You,Ladipoe,69,58,86,92,85,78,61,75.57142857142857
75,Masta Groove,Masterkraft,63,76,81,71,73,90,79,76.14285714285714
76,Nobody: The Extended Playlist (Worldwide Remixes),DJ Neptune,67,74,73,77,69,103,83,78.0
77,TIME,Yaw Tog,82,89,68,90,72,74,85,80.0
78,Slime Language 2 (Deluxe),"Young Stoner Life, Young Thug & Gunna",84,68,72,82,102,73,87,81.14285714285714
79,Good News,Megan Thee Stallion,94,79,96,75,74,75,86,82.71428571428571
80,Trap Symphony EP,Roddy Ricch,78,83,82,84,87,82,94,84.28571428571429
81,Something Else,Mr Eazi,91,84,85,76,81,85,89,84.42857142857143
