Position,album,artist
84,SATISFIED,Mercy Chinwo
85,Hoodie SZN,A Boogie Wit Da Hoodie
86,Hakuna Matata,Dotman
87,Levon James,King Von
88,PTSD,Rod Wave
89,PINK PLANET,Pink Sweat$
90,Pluto x Baby Pluto,Future & Lil Uzi Vert
91,7,Lil Nas X
92,Slime Language 2,"Young Stoner Life, Young Thug & Gunna"
93,What Have We Done,Omah Lay
94,Alagbe,Qdot
95,Ice Daddy,Gucci Mane
96,LOL (Lord of Lamba),Naira Marley
97,SoundGod Fest Reloaded,Runtown
98,Trap Symphony EP,Roddy Ricch
99,Pray 4 Love (Deluxe),Rod Wave
100,PTSD,G Herbo
101,I Love Girls With Trobul,Sarz X WurlD
102,ZaZa Vibes,L.A.X
103,Building Bridges,Smallgod
104,Until Death Call My Name (Reloaded),YoungBoy Never Broke Again
105,Sour Milk,Joda Kgosi
106,S.C.A.M,G4 Boyz
107,T R A P S O U L (Deluxe),Bryson Tiller
108,Realms,Wande Coal
109,Shiesty Season - Spring Deluxe,Pooh Shiesty
110,So Much Fun,Young Thug
111,Rema Freestyle EP,Rema
112,Pluto x Baby Pluto (Deluxe),Future & Lil Uzi Vert
113,The Prince I Became,Ric Hassani
114,Off The Record,Reekado Banks
115,Yabasi,Basketmouth
116,Viral Infection 1.0,Ayanfe Viral
117,Tropical Depression Riddim,"VARIOUS ARTISTE (KRANIUM, TEEJAY, SHATTA WALE, JAHMEIL & MORE)"
118,Good News,Megan Thee Stallion
119,Homesick,Trevor Daniel
120,WUNNA,Gunna
121,The Palmwine Express,Show Dem Camp
122,Mixed Emotions,Luh Kel
123,L.O.V.E.,Luh Kel
124,In The Dark,Mizzle
125,Greatest Lord,SINACH
126,Anloga Junction,Stonebwoy
127,Nobody Safe,Rich The Kid & YoungBoy Never Broke Again
128,Seed,Gyakie
129,Cray Cray,Crayon
130,Afrodisíaco,Rauw Alejandro
131,"Grandson, Vol. 1",King Von
132,23 Is Back,JayDaYoungan
133,The Backend Child,NoCap
134,6locc 6a6y,Lil Loaded
135,Coochie Chronicles,YN Jay
136,High Supremacy Riddim,"Various Artiste (Tommy Lee Sparta, Teejay, Jahvinci, Shatta Wale & More)"
137,The Beauty of Becoming,Rotimi
138,Too Late Too Lit,KDDO
139,Nicotine,Trevor Daniel
140,Honorable,Hotkid
141,CITIZEN OF THE WORLD,King Perryy
142,Aje (The Mixtape),Jaywon
143,Signed To The Streets 3,Lil Durk
144,Wildboy,Calboy
145,Space and Time,Justine Skye
146,Top Shotta,NLE Choppa
147,RESTLESS II,Simi
148,Roots,NSG
149,L.O.V.E. (Deluxe),Luh Kel
150,Eternal Atake (Deluxe) - LUV vs. The World 2,Lil Uzi Vert
151,RETURN OF OKOMFO ANOKYE,Jay Bahd
152,Signed To The Streets 2.5,Lil Durk
153,Big Grim Reaper,Big Scarr
154,Taste EP,Nandy
155,Only The Generals Part II,Kevin Gates
156,Jackboy,Jackboy
157,Trench Baby (Deluxe Edition),Lil Zay Osama
158,The Idea Of Her,Ali Gatie
159,Amazing Grace,MEDIKAL
160,Type Beats| Rap|Afro-Pop|RnB|Trap/HipHop|Trapsoul 2020 instrumentals,Ryzy.A Beats
161,Live From Nkrumah From Vol II: Home Run,Kwesi Arthur
162,Rora,Reekado Banks
163,Timeless Ep,Aje
164,Kommunity Service,YG & Mozzy
165,Trench Baby,Lil Zay Osama
166,RoadToCDK,Zlatan
167,Solid Focus Riddim,"Popcaan, Zamunda, Furnace"
168,Top Chef Gotit,Lil Gotit
169,We All Shine,YNW Melly
170,Ecstasy,Lil Kesh
171,Trap Symphony EP,Burna Boy
172,Living In History,Jackboy
173,YOU,Ali Gatie
174,Dum and Dummer 2,Young Dolph & Key Glock
175,Legendary,Tyga
176,Future Hndrxx Presents: The WIZRD,Future
177,Love Scars: The 5 Stages Of Emotions (Deluxe),Yung Bleu
178,Who Is Laycon?,Laycon
179,PERFECT PICTURE,Dremo
180,Lil Migo,Lil Migo
