rank,song,artist,R1,R2,RT
55,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,56,56,56.0
56,Ke Star (feat. Vigro Deep),Focalistic featuring Vigro Deep,57,57,57.0
57,Godly,Omah Lay,58,58,58.0
58,Away,Ayra Starr,59,59,59.0
59,Ginger (feat. Burna Boy),Wizkid,60,60,60.0
60,INJURE ME,Teni,61,61,61.0
61,Show Me,Joeboy,62,62,62.0
62,Sukari,Zuchu,63,63,63.0
63,The Best (feat. Mayorkun),Davido,64,64,64.0
64,Funu,"Kabza De Small, DJ Maphorisa and TRESOR",65,65,65.0
65,Walk On The Beach,Femi Leye,66,66,66.0
66,Every Weekend,DJ Tunez & J. Anthoni,67,67,67.0
67,"Kubo (feat. K.O, Focalistic & Bassie)","Kwesta featuring K.O, Focalistic and Bassie",68,68,68.0
68,Roju,Chiké,69,69,69.0
69,Angelina (feat. Zlatan),Dreamboy,70,70,70.0
70,Ball Till We Fall (feat. Bella Shmurda),Kida Kudz featuring Bella Shmurda,71,71,71.0
71,BACK TO THE SENDER (feat. Kofi Kinaata),Quamina MP,72,72,72.0
72,Akekho,Kekelingo,73,73,73.0
73,Vanity,MzVee and Kelvyn Boy,74,74,74.0
74,PINDA,Nedy Music,75,75,75.0
75,Changanya (feat. Jux & Kenz Ville),Jay Rox,76,76,76.0
76,I Like That,The Great Eddy,77,77,77.0
77,Aroma Persona,Izzik,78,78,78.0
78,AJE (feat. Remy Crown),DJ Big N,79,79,79.0
79,Know Person,Sean Tizzle,80,80,80.0
80,Pull Up,Gabzy,81,81,81.0
81,Fresh (feat. Samba Peuzzi),Iss 814,82,82,82.0
82,Somebody (feat. Phyno),Olamide,83,83,83.0
83,Kwadede,Kwabena Kwabena,84,84,84.0
84,Cassette (feat. King Promise),Nanky,85,85,85.0
85,Petty,Olamide,86,86,86.0
86,Duduke (French),Simi and Deja,87,87,87.0
87,First Sermon,Black Sherif,88,88,88.0
88,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O'Kenneth)",Jay Bahd,89,89,89.0
89,Touch It,KiDi,90,90,90.0
90,KPK (Ko Por Ke),Rexxie and MohBad,92,97,94.5
91,All (feat. Davido),Rexxie featuring Davido,201,91,146.0
92,All (feat. Davido),Rexxie,91,201,146.0
93,Party Next Door,"Dangbana Republik, Bella Shmurda",201,92,146.5
94,Chargie (feat. Jonny Blaze & Stadic),"Reekado Banks, Teejay, Lord Afrixana",201,93,147.0
95,Tekiller,CDQ,201,94,147.5
96,Brown Skin,Masterkraft,201,95,148.0
97,KSM,Naza,201,96,148.5
