rank,song,artist,audio,boom,youtube,spotify,deezer,RT
210,Whine,Gyakie,300,310,250,290,20,234.0
211,"Jam Now, Simmer Down",Blinky Bill,300,310,250,80,230,234.0
212,See Love,Peruzzi,300,310,41,290,230,234.2
213,Baikoko,"Mbosso, Diamond Platnumz",300,310,250,290,21,234.2
214,Haunisumbui,Diamond Platnumz,300,310,250,81,230,234.2
215,Mamela,Mi Casa,300,310,250,82,230,234.4
216,Dollar (feat. R2bees),DJ Spinall,300,310,42,290,230,234.4
217,Shine Your Light (feat. Akon),"Master KG, David Guetta, Akon",300,310,250,290,22,234.4
218,Nana,TomE,300,310,250,290,23,234.6
219,French Kiss,Mr Eazi,300,310,43,290,230,234.6
220,Angel,Ric Hassani,300,310,250,84,230,234.8
221,African Sugar (feat. Tiwa Savage),Tayc,300,310,44,290,230,234.8
222,Spiritual (feat. Patoranking & Kuami Eugene),KiDi,300,310,45,290,230,235.0
223,Akulaleki,Samthing Soweto,300,310,250,85,230,235.0
224,World People,Basketmouth,300,310,46,290,230,235.2
225,Bossy Part II,"WurlD, Erica Banks, Kida Kudz, Cuppy, amaarae",300,310,250,290,26,235.2
226,Chance,Juls,300,310,250,86,230,235.2
227,Say Cheese,KiDi,300,310,250,290,27,235.4
228,Everything,Ric Hassani,300,310,250,87,230,235.4
229,INJURE ME,Teni,300,310,47,290,230,235.4
230,Baajo,Kwesi Arthur,300,310,48,290,230,235.6
231,Bank Notification,"Ciza, DJ Maphorisa, Madumane",300,310,250,290,29,235.8
232,TBDK (feat. Erigga & Sinzu),M.I Abaga,300,310,49,290,230,235.8
233,Nobody,"DJ Neptune, Joeboy, Mr Eazi",300,310,250,290,31,236.2
234,Dangbana Republik & Bella Shmurda,Bella Shmurda,300,310,51,290,230,236.2
235,Damages,Tems,300,310,250,290,33,236.6
236,I Love You,"Mr. P, Teni, Simi, Tamar Braxton",300,310,250,290,35,237.0
237,Fire on the Mountain,"Salatiel, Teni",300,310,250,290,36,237.2
238,Man Dem,"Crayon, One Acen",300,310,250,290,41,238.2
239,Designer,Tekno,300,310,250,290,42,238.4
240,Thunder Fire You,Ric Hassani,300,310,250,290,44,238.8
241,Indlovu,"DJ Zinhle, Loyiso",300,310,250,290,45,239.0
242,Phone,Eli Njuchi,300,310,250,290,46,239.2
243,Ryde,Niniola,300,310,250,290,48,239.6
244,Jollof On The Jet,"Cuppy, Rema, Rayvanny",300,310,250,290,49,239.8
245,Doudou,Aya Nakamura,300,310,250,290,50,240.0
