rank,song,artist,audio,boom,youtube,spotify,deezer,RT
77,Alright (feat. Shatta Wale),King Promise,300,310,250,11,230,220.2
78,"Are You Sure (feat. Zinoleesky, Emo Grae & Naira Marley) ",Lyta,21,310,250,290,230,220.2
79,DADA   ,Kobi Jonz,22,310,250,290,230,220.4
80,Professor Peller ft. Zlatan,Seyi Vibez,300,32,250,290,230,220.4
81,Need For Speed,Olamide,300,33,250,290,230,220.6
82,No Stress,WizKid,300,310,250,13,230,220.6
83,Falling For U   ,"Blaq Jerzee, Mr Eazi and Harmonize",23,310,250,290,230,220.6
84,Jafafa   ,Chinko Ekun & Mohbad,24,310,250,290,230,220.8
85,23,Burna Boy,300,35,250,290,230,221.0
86,Shopping Spree (feat. Chris Brown & Young Thug),DaVido,300,310,250,15,230,221.0
87,My Baby   ,Di'Ja,25,310,250,290,230,221.0
88,LayLow   ,Amipatra,26,310,250,290,230,221.2
89,DKT,Oxlade,300,310,250,16,230,221.2
90,MOSLADO,Teni,300,310,250,17,230,221.4
91,FALL IN LOVE   ,Willy Paul & Miss P,27,310,250,290,230,221.4
92,Adura ft. Mohbad,Bella Shmurda,300,37,250,290,230,221.4
93,Closer   ,Diteh,28,310,250,290,230,221.6
94,Bad Influence ,Omah Lay,300,38,250,290,230,221.6
95,Jailer ft. Jaywillz,Olamide,300,39,250,290,230,221.8
96,Green Light,Olamide,300,310,250,19,230,221.8
97,Believe (feat. Sarkodie & Kwesi Arthur) ,Pappy Kojo featuring Sarkodie and Kwesi Arthur,29,310,250,290,230,221.8
98,Tonight (feat. Adina Thembi) ,Pappy Kojo featuring Adina Thembi,30,310,250,290,230,222.0
99,Dangerous Love,Tiwa Savage,300,310,250,20,230,222.0
100,Baba Fela (Remix) ft. Laycon & Zlatan,Mr Real,300,40,250,290,230,222.0
101,Damn (feat. 6lack),Omah Lay,300,310,250,21,230,222.2
102,My Heart   ,Pappy Kojo and Kuami Eugene,31,310,250,290,230,222.2
103,Backup n Whyne   ,Miles Stunner,32,310,250,290,230,222.4
104,Kitenge   ,Nviiri The Storyteller,33,310,250,290,230,222.6
105,Pretty Girl,Adekunle Gold,300,310,250,23,230,222.6
106,Activate,Stonebwoy,300,310,250,24,230,222.8
107,Confession,Omah Lay,300,44,250,290,230,222.8
108,Niko Sawa (feat. Bien) ,Nviiri The Storyteller featuring Bien,34,310,250,290,230,222.8
109,Flex,Kizz Daniel,300,310,250,25,230,223.0
110,Bembeleza   ,Nviiri The Storyteller,35,310,250,290,230,223.0
111,Lo Lo,Omah Lay,300,45,250,290,230,223.0
112,Aye,Naira Marley,300,46,250,290,230,223.2
113,Celebration,Joeboy,300,310,250,26,230,223.2
114,Marry Me   ,"Smallgod, Harmonize",36,310,250,290,230,223.2
115,We Dont Know Feat. Ayisi (feat. Ayisi) ,E.L,37,310,250,290,230,223.4
116,Any More ft. Phyno,Victor AD,300,47,250,290,230,223.4
117,Saudi Arabia,Mr Eazi,300,310,250,27,230,223.4
118,Love Cycle (feat. Davido) ,Enisa,38,310,250,290,230,223.6
119,Everytime,Remix - Spinall,300,310,250,28,230,223.6
120,Kunle   ,Ladé,39,310,250,290,230,223.8
121,Cool Me Down (feat. Wizkid),DJ Tunez,300,310,250,29,230,223.8
122,Blessed ft. Damian Marley,Wizkid,300,49,250,290,230,223.8
123,Jei Jei   ,Mr Leo,41,310,250,290,230,224.2
124,Bia,Phyno,300,51,250,290,230,224.2
125,Tellin Me Something,Nelson Freitas,300,310,250,32,230,224.4
126,Pronto ft. Omah Lay,Ajebo Hustlers,300,52,250,290,230,224.4
127,Shima   ,Tha Boy Myles,42,310,250,290,230,224.4
128,You,Omah Lay,300,53,250,290,230,224.6
129,This Your Body,Skales,300,310,250,33,230,224.6
130,Stronger   ,Team Salut,43,310,250,290,230,224.6
131,Addicted,Niniola,300,310,250,34,230,224.8
132,"Foreign (So Wavy) ft. Rasaqi NFG, Pa Brymo & Marz",Evih,300,54,250,290,230,224.8
133,Obajeti (feat. Ice Prince) ,Toofit featuring Ice Prince,44,310,250,290,230,224.8
134,Can’t Feel   ,F-NIC,45,310,250,290,230,225.0
135,Black ft. Mr Eazi,Victor AD,300,55,250,290,230,225.0
136,Give   ,Magasco,46,310,250,290,230,225.2
137,Smile (feat. H.E.R.),WizKid,300,310,250,36,230,225.2
138,JUMPING SHIP,Amaarae,300,310,250,37,230,225.4
139,Bygone   ,Skiibii,47,310,250,290,230,225.4
140,Right Here   ,"Walshy Fire, Terri, Cloud Beats",49,310,250,290,230,225.8
141,Born Sinner (feat. Davido & Peruzzi) ,Mr Peak feat. Davido & Peruzzi,50,310,250,290,230,226.0
142,Sinner,"Adekunle Gold, Lucky Daye",300,310,250,40,230,226.0
143,Good Thang   ,Chrystel,51,310,250,290,230,226.2
144,Fashion Killer,Ayra Starr,300,310,250,41,230,226.2
145,Girl From Ghana   ,The Great Eddy,52,310,250,290,230,226.4
146,Sere,Spinall,300,310,250,42,230,226.4
147,I Like That   ,The Great Eddy,53,310,250,290,230,226.6
148,For Good   ,Eon Natty,54,310,250,290,230,226.8
149,Tele,Kelvyn Boy,300,310,250,45,230,227.0
150,E Choke   ,Nautyca,55,310,250,290,230,227.0
151,Permission   ,Damosh,56,310,250,290,230,227.2
152,Monalisa,Lojay,300,310,6,290,230,227.2
153,I Choose You,Yemi Alade,300,310,250,46,230,227.2
154,NO LONGER BENEFICIAL,Simi,300,310,250,47,230,227.4
155,Better Days   ,Bless Clymax ft. DTS,57,310,250,290,230,227.4
156,Wettin Dey Sup,Burna Boy,300,310,250,48,230,227.6
157,No More (feat. Ozbeazy) ,Looking for Avala,58,310,250,290,230,227.6
158,Ke Star (feat. Vigro Deep),Focalistic,300,310,8,290,230,227.6
159,The Don,Mr Eazi,300,310,250,49,230,227.8
160,Gobe,Remix - L.A.X,300,310,250,51,230,228.2
161,Southy Love (feat. Fireboy DML),Peruzzi,300,310,12,290,230,228.4
162,Badman Love,Skales,300,310,250,52,230,228.4
163,Coming,Naira Marley,300,310,13,290,230,228.6
164,One Shirt (feat. Jonzing World),D'Prince,300,310,250,53,230,228.6
165,Konnect,Maleek Berry,300,310,250,54,230,228.8
166,KOLO (feat. Oxlade),Ice Prince,300,310,14,290,230,228.8
167,Haunisumbui,Diamond Platnumz,300,310,250,55,230,229.0
168,Fendi (feat. Joeboy),Blaqbonez,300,310,15,290,230,229.0
169,Jeje de Whine,CKay,300,310,250,56,230,229.2
170,Berna,Flavour,300,310,250,57,230,229.4
171,System (feat. WizKid),Dave,300,310,250,58,230,229.6
172,Proud,Oladapo,300,310,250,59,230,229.8
173,Kini Issue,Runtown,300,310,250,60,230,230.0
174,Ubomi Abumanga,Sun-El Musician,300,310,250,61,230,230.2
175,Need You,Fitila,300,310,250,62,230,230.4
176,Dollar (feat. R2bees),DJ Spinall,300,310,22,290,230,230.4
177,Angel,Ric Hassani,300,310,250,63,230,230.6
178,Baajo,Kwesi Arthur,300,310,23,290,230,230.6
179,Bling (feat. Amaarae & Buju),Blaqbonez,300,310,250,290,4,230.8
180,Only One (feat. King Promise),Navy Kenzo,300,310,250,64,230,230.8
181,High Way,Dj Kaywise,300,310,24,290,230,230.8
182,Somebody’s Son (Ft Brandy),Tiwa Savage,300,310,250,66,230,231.2
183,Let Dem Kno,Kwesi Arthur,300,310,27,290,230,231.4
184,Forever (Remix),Gyakie,300,310,250,290,7,231.4
185,Morenike (feat. Teni),Ejoya,300,310,28,290,230,231.6
186,Shadé,Fireboy DML,300,310,29,290,230,231.8
187,Everything,Ric Hassani,300,310,250,69,230,231.8
188,AG Baby,Nailah Blackman,300,310,30,290,230,232.0
189,CHOP N PRAY,WurlD,300,310,250,70,230,232.0
190,Snitch,Ayra Starr,300,310,250,290,10,232.0
191,Chance,Juls,300,310,250,71,230,232.2
192,Pray,Victony,300,310,250,290,11,232.2
193,Kilofeshe,Zinoleesky,300,310,31,290,230,232.2
194,Make Up Your Mind (feat. Tekno),Ice Prince,300,310,32,290,230,232.4
195,Sudden,Tekno,300,310,250,73,230,232.6
196,Gone Girl,Obongjayar,300,310,250,290,14,232.8
197,Far Away,Bella Shmurda,300,310,35,290,230,233.0
198,Risky,DaVido,300,310,250,75,230,233.0
199,Koroba,Tiwa Savage,300,310,36,290,230,233.2
200,All My Life (feat. Oxlade),M.I Abaga,300,310,38,290,230,233.6
201,Jeje,Diamond Platnumz,300,310,250,78,230,233.6
202,Verified (feat. Mayorkun),Laycon,300,310,39,290,230,233.8
203,Vibration,Fireboy Dml,300,310,250,290,19,233.8
204,ELI,Fireboy DML,300,310,250,79,230,233.8
205,Call Me Baby,Cheque,300,310,250,290,20,234.0
206,Zinoleesky,Naira Marley,300,310,41,290,230,234.2
207,Mamela,Mi Casa,300,310,250,81,230,234.2
208,Baby I'm Jealous,Mr Eazi,300,310,250,290,22,234.4
209,Confident,Savage,300,310,250,82,230,234.4
210,Fine Wine (feat. King Promise & Joeboy),R2Bees,300,310,250,83,230,234.6
211,Luva Luva,Runtown,300,310,250,84,230,234.8
212,World People,Basketmouth,300,310,44,290,230,234.8
213,Searching,Lady Donli,300,310,250,290,24,234.8
214,Sound,Diamond Platnumz,300,310,250,85,230,235.0
215,In My Maserati,Olakira,300,310,250,290,25,235.0
216,French Kiss,Mr Eazi,300,310,45,290,230,235.0
217,"Jam Now, Simmer Down",Blinky Bill,300,310,250,86,230,235.2
218,PANTIES,Kagwe Mungai,300,310,250,290,26,235.2
219,See Love,Peruzzi,300,310,47,290,230,235.4
220,Send Me Nudes,KiDi,300,310,250,290,27,235.4
221,Why (Afrobeat),DJ Flex,300,310,250,87,230,235.4
222,Away,Ayra Starr,300,310,250,290,28,235.6
223,Suzanna,Sauti Sol,300,310,250,88,230,235.6
224,African Sugar (feat. Tiwa Savage),Tayc,300,310,48,290,230,235.6
225,Coachella,Sarkodie,300,310,49,290,230,235.8
226,Whine,Gyakie,300,310,250,290,30,236.0
227,Ojuju,Oxlade,300,310,50,290,230,236.0
228,Shine Your Light (feat. Akon),Master KG,300,310,250,290,31,236.2
229,La La (feat. Ckay),DaVido,300,310,250,290,32,236.4
230,Say Cheese,KiDi,300,310,250,290,33,236.6
231,Nana,TomE,300,310,250,290,34,236.8
232,Bank Notification,Ciza,300,310,250,290,37,237.4
233,Damages,Tems,300,310,250,290,39,237.8
234,Baikoko,Mbosso,300,310,250,290,40,238.0
235,Nobody,DJ Neptune,300,310,250,290,41,238.2
236,Bossy Part II,WurlD,300,310,250,290,44,238.8
237,I Love You,Mr. P,300,310,250,290,46,239.2
238,Thunder Fire You,Ric Hassani,300,310,250,290,48,239.6
239,Designer,Tekno,300,310,250,290,50,240.0
