rank,song,artist,apple,audio,youtube,boom,spotify,RT
33,This Your Body ft. Davido,Skales and Davido,300,37,250,37,290,182.8
34,Party Next Door   ,"Dangbana Republik, Bella Shmurda",23,3,250,350,290,183.2
35,The Key,Tems,22,310,250,46,290,183.6
36,All (feat. Davido) ,Rexxie,15,17,250,350,290,184.4
37,Verified ft. Mayorkun,Laycon,58,310,250,24,290,186.4
38,"Squander (Remix) (Remix) ft. Kamo Mphela, Mpura, Niniola & Sayfar",Niniola,300,310,37,3,290,188.0
39,World ft. Bella Shmurda,"Dangbana Republik, Bella Shmurda",300,53,250,47,290,188.0
40,Blessed (feat. Damian Marley),Wizkid,27,310,250,350,11,189.6
41,Jackpot ft. Bella Shumurda,Crayon,59,310,250,44,290,190.6
42,Fine Wine (feat. King Promise & Joeboy) ,R2Bees,40,32,250,350,290,192.4
43,Off You ft. KiDi,Kidi,300,310,43,20,290,192.6
44,Monalisa,"Lojay, Sarz",11,310,10,350,290,194.2
45,Loco ft. Mayorkun,KDDO,300,310,33,41,290,194.8
46,Naira Marley,Zinoleesky,16,310,12,350,290,195.6
47,Celebrate Me (Official Video),Patoranking,300,22,17,350,290,195.8
48,AWAY,Ayra Starr,300,72,250,350,9,196.2
49,Free Your Mind   ,"Blaq Jerzee, Jux",80,14,250,350,290,196.8
50,Southy Love (feat. Fireboy DML),Peruzzi,12,310,29,350,290,198.2
51,It Is What It Is,Adekunle Gold,35,310,21,350,290,201.2
52,Feel Good   ,MohBad,24,98,250,350,290,202.4
53,Baajo,"Kwesi Arthur, Joeboy",62,310,250,350,54,205.2
54,History (feat. Fireboy DML),Cheque & Fireboy DML,300,59,30,350,290,205.8
55,Door,Joeboy,300,52,45,350,290,207.4
56,Send Me Nudes (feat. Joey B),KiDi,45,310,48,350,290,208.6
57,Kilofeshe,Zinoleesky,74,310,39,350,290,212.6
58,Forever (Remix),"Gyakie, Omah Lay",69,310,50,350,290,213.8
59,Berna Reloaded,"Flavour, Fally Ipupa, Diamond Platnumz",82,310,46,350,290,215.6
60,Angelina,Dreamboy,300,81,250,350,120,220.2
61,juju,Idyl,83,310,250,350,144,227.4
62,Peteru (Peter),Greatman Takit,300,310,250,9,290,231.8
63,Don Dada,Timaya,300,310,250,13,290,232.6
64,Story,Greatman Takit,300,310,250,15,290,233.0
65,Rotate (Freestyle),Mr Eazi,300,310,250,17,290,233.4
66,OLOFOFO,Victor AD,300,310,250,18,290,233.6
67,Holy Ghost Fire ft. The Cavemen,KDDO,300,310,250,19,290,233.8
68,My Daddy,Greatman Takit,300,310,250,23,290,234.6
69,Too Correct ft. Rema,Crayon,300,310,250,27,290,235.4
70,Koleyewon,Naira Marley,300,310,250,29,290,235.8
71,"Lagos Anthem (Remix) ft. Oberz, Frescool, Oladips, Kabex & Trod",Zlatan,300,310,250,31,290,236.2
72,Jafafa ft. Mohbad,Chinko Ekun,300,310,250,33,290,236.6
73,Sugar Daddy ft. Olamide,Dj Enimoney,300,310,250,34,290,236.8
74,Money ft. Bella Shmurda & Mohbad,terri,300,310,250,35,290,237.0
75,Focus Vibe,Slimcase,300,310,250,36,290,237.2
76,GAT ME SINGING,Luddy Dave,300,310,250,38,290,237.6
77,Constantly ft. Mayorkun & Peruzzi,Speroachbeatz,300,310,250,39,290,237.8
78,6AM,Blaq Jerzee,300,310,250,40,290,238.0
79,Kilofese (Remix) ft. Mayorkun & Busiswa,Zinoleesky,300,310,250,43,290,238.6
80,"IYO (feat. Focalistic, Mapara A Jazz & Ntosh Gazi) ",Diamond Platnumz,300,4,250,350,290,238.8
81,Kabaa ft. Mayorkun,Idowest,300,310,250,45,290,239.0
82,Joro Kini Joro,Wizerd,300,310,250,48,290,239.6
83,Whyne,Akuchi,300,310,250,49,290,239.8
84,Jennifer Remix (feat. Rayvanny) ,Guchi ft Rayvanny,300,10,250,350,290,240.0
85,Rush ft. Bella Shmurda,Dangbana Republik,300,310,250,50,290,240.0
86,Cut Soap   ,DJ Xclusive and Rulerboy,300,11,250,350,290,240.2
87,Touch It   ,KiDi,300,12,250,350,290,240.4
88,Yote Sawa   ,Nandy,300,13,250,350,290,240.6
89,Far Away,"Dangbana Republik, Bella Shmurda",4,310,250,350,290,240.8
90,Praise   ,Fameye,300,15,250,350,290,241.0
91,Nimekuzoea   ,Nandy,300,16,250,350,290,241.2
92,Sinner,"Adekunle Gold, Lucky Daye",8,310,250,350,290,241.6
93,Tekiller   ,CDQ,300,18,250,350,290,241.6
94,All The Above   ,Show Dem Camp,300,19,250,350,290,241.8
95,Kamata   ,Diamond Platnumz,300,20,250,350,290,242.0
96,Mandy,Scribz Riley,300,310,250,350,1,242.2
97,Sere Remix   ,"Spinall, Fireboy DML and 6LACK",300,21,250,350,290,242.2
98,Love Somebody,Rotimi,300,310,250,350,2,242.4
99,Chargie (feat. Jonny Blaze & Stadic) ,"Reekado Banks, Teejay & Lord Afrixana",300,23,250,350,290,242.6
100,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour) ",Alikiba,300,24,250,350,290,242.8
101,No Stress,WizKid,300,310,250,350,4,242.8
102,Dorime (feat. Musette & Vector) ,Samklef,300,25,250,350,290,243.0
103,See Through,Chip,300,310,250,350,5,243.0
104,Salute (feat. RudeBoy) ,Alikiba,300,26,250,350,290,243.2
105,Antidote (feat. Adekunle Gold),Nao,300,310,250,350,6,243.2
106,Silver Tongue Devil (feat. Shenseea),Masego,300,310,250,350,7,243.4
107,Iphupho (feat. Kuhle) ,Jabzz Dimitri featuring Kuhle,300,27,250,350,290,243.4
108,Can't Let You Go,Stefflon Don,300,310,250,350,8,243.6
109,KSM   ,Naza,300,28,250,350,290,243.6
110,New Couple   ,Nandy,300,29,250,350,290,243.8
111,Yafun Yafun,Ajebo Hustlers,19,310,250,350,290,243.8
112,I Miss You   ,Joda Kgosi,300,30,250,350,290,244.0
113,Eve Bounce,Remix - Yung L,300,310,250,350,10,244.0
