rank,song,artist,apple,boom,youtube,spotify,RT
183,Jesus Jehovah,Lara George,500,510,15,490,505.0
184,Ese Oluwa / Papa,Sonnie Badu,500,510,450,56,505.3333333333333
185,Unchangeable God,Joe Praize,500,76,450,490,505.3333333333333
186,Cultural Praise Vol.2,"KCee, Okwesili Eze Group",66,510,450,490,505.3333333333333
187,Do,Austin Hogan,67,510,450,490,505.6666666666667
188,Eh Yaweh,Benjamin Dube,500,510,450,57,505.6666666666667
189,Bulldozer,Chioma Jesus,500,77,450,490,505.6666666666667
190,Notice,Ada Ehi,500,78,450,490,506.0
191,Dansaki,Lara George,500,510,450,58,506.0
192,Greatest Lord,Sinach,69,510,450,490,506.3333333333333
193,Nothing Without You - Live At The Barnyard Theatre,Dr Tumi,500,510,450,60,506.6666666666667
194,God Is Real,Moses Bliss,500,80,450,490,506.6666666666667
195,You Make Us Whole - The Gathering Of Worshippers / Live At Loftus Stadium,Dr Tumi,500,510,450,61,507.0
196,Mma Mma,Frank Edwards,71,510,450,490,507.0
197,Ma K'oja Mi Olugbala,Florocka,500,510,450,62,507.3333333333333
198,Baba Ese (feat. Yoruba Mass Choir),Mike Abdul,72,510,450,490,507.3333333333333
199,Breathe,Dunsin Oyekan,500,510,450,63,507.6666666666667
200,Okokroko (Remix) [Live],Sonnie Badu,73,510,450,490,507.6666666666667
201,Cheta ,Ada Ehi,500,83,450,490,507.6666666666667
202,WETIN I GAIN,Frank Edwards,500,510,450,64,508.0
203,Count On Me,Moses Bliss,500,84,450,490,508.0
204,Nipe Macho,Christina Shusho,500,510,450,65,508.3333333333333
205,Holy Ghost (Live),Joe Praize,75,510,450,490,508.3333333333333
206,Knowing You,Minister GUC,500,510,25,490,508.3333333333333
207,The Lord Reigneth,Florocka,500,510,450,66,508.6666666666667
208,Hallelujah Challenge Worship Medley,Nathaniel Bassey,500,86,450,490,508.6666666666667
209,Nothing Is Impossible (feat. Tope Alabi),EBEN,76,510,450,490,508.6666666666667
210,Unchangeable,Joe Praize,500,510,27,490,509.0
211,Sengiyacela - Live,Joyous Celebration,500,510,450,67,509.0
212,Grateful,Sinach,77,510,450,490,509.0
213,Product of Grace,Flavour,500,510,450,68,509.3333333333333
214,Mighty God Remix (feat. Soweto Gospel Choir),Joepraize,500,510,450,69,509.6666666666667
215,I Overcame,Ada Ehi,500,89,450,490,509.6666666666667
216,Take Over,1spirit & Theopilus Sunday,500,510,29,490,509.6666666666667
217,We Testify,Deborah Lukalu,79,510,450,490,509.6666666666667
218,Higher,Elvis Goodluck,500,510,450,70,510.0
219,Awurade,Jayana,80,510,450,490,510.0
220,Oka Ome,Chioma Jesus,500,90,450,490,510.0
221,Adonai [Live],Elijah Oyelade,500,510,31,490,510.3333333333333
222,Mai Taimako Na (My Helper),Solomon Lange,500,92,450,490,510.6666666666667
223,I Made It,Gabriel Eziashi,82,510,450,490,510.6666666666667
224,Incredible God (Live),Mercy Chinwo,83,510,450,490,511.0
225,Shine ft. Chize & Nosa,Ada Ehi,500,93,450,490,511.0
226,We Bow Down,Sinach,84,510,450,490,511.3333333333333
227,WE WORSHIP YOU,Frank Edwards,500,510,35,490,511.6666666666667
228,Overflow,Sinach,500,95,450,490,511.6666666666667
229,You Are God (Live),"Chingtok Ishaku, House of Judah",85,510,450,490,511.6666666666667
230,Eze (Radio Edit) [feat. Osby Berry],Dare David,86,510,450,490,512.0
231,Your Word Is Truth (Live),CHRIS SHALOM,500,510,37,490,512.3333333333334
232,My Everything,Joe Mettle,500,98,450,490,512.6666666666666
233,Show Up,Ema Onyx,500,510,38,490,512.6666666666666
234,Wanibariki,Nandy,89,510,450,490,513.0
