rank,song,artist,apple,boom,youtube,RT
191,Man of Galilee,Judikay,500,510,71,1033.6666666666667
192,Angels Bow (feat. Phil Thompson),Steve Crown,500,510,72,1034.0
193,Ta Lo Dabii Re,Tope Alabi,500,510,73,1034.3333333333333
194,Same God,Segun John,500,510,74,1034.6666666666667
195,Idinma,Judikay,500,510,75,1035.0
196,How Great You Are (feat. Mercy Chinwo & Nosa),JOEPRAIZE,500,510,76,1035.3333333333333
197,You Are Jehovah,Prospa Ochimana,500,510,77,1035.6666666666667
198,Awesome God,SINACH,500,510,78,1036.0
199,Yes Lord (Live),Judikay,500,510,79,1036.3333333333333
200,Spirit Pray (Live),Elijah Oyelade,500,510,80,1036.6666666666667
201,I Win,Samsong,500,510,81,1037.0
202,Eze Nara Ekele,Steve Crown,500,510,83,1037.6666666666667
203,We Wait on You,Steve Crown,500,510,84,1038.0
204,Ebe,Sola Allyson,500,510,85,1038.3333333333333
205,Born to Worship,Prinz,500,510,86,1038.6666666666667
206,Aye Ole,Infinity,500,510,87,1039.0
207,Korede,Mike Abdul,500,510,88,1039.3333333333333
208,Iyin,Sola Allyson,500,510,89,1039.6666666666667
209,Iyin Ye O,Tope Alabi,500,510,90,1040.0
210,E Dey Work,Samsong,500,510,91,1040.3333333333333
211,Nobody Can,Sammie Okposo,500,510,92,1040.6666666666667
212,My Peace,Elijah Oyelade,500,510,94,1041.3333333333333
213,Iro Halleluyah (feat. Tope Alabi),Mike Abdul,500,510,95,1041.6666666666667
214,Jesu Mi Da (feat. Puffy Tee & Bidemi Olaoba),Mike Abdul,500,510,96,1042.0
215,God Alone,Joe Praize,500,510,97,1042.3333333333333
