Position,song,artist,album
71,Longtime (feat. Skepta),Wizkid,Made In Lagos
72,Body,"Russ Millions, Tion Wayne",Body - Single
73,RAPSTAR,Polo G,RAPSTAR - Single
74,h u n g e r . o n . h i l l s i d e,"J. Cole, Bas",The Off-Season
75,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled,KHALED KHALED
76,Holy Ground (feat. Nicki Minaj),Davido,A Better Time
77,Beamer Body,"KDDO, Davido",TOO LATE TOO LIT (EP)
78,Cho Cho (feat. Davido & Mayorkun),Zlatan,Cho Cho (feat. Davido & Mayorkun) - Single
79,Straightenin,Migos,Straightenin - Single
80,Away,Ayra Starr,Ayra Starr - EP
81,Koleyewon,Naira Marley,Koleyewon - Single
82,c l o s e,J. Cole,The Off-Season
83,Sweet One,Wizkid,Made In Lagos
84,Mighty Wine,Wizkid,Made In Lagos
85,Ruger,Ruger,PANDEMIC - EP
86,Loading (feat. Bad Boy Timz),Olamide,Carpe Diem
87,True Love (feat. Tay Iwar & Projexx),Wizkid,Made In Lagos
88,Damages,Tems,For Broken Ears
89,Calling My Phone,"Lil Tjay, 6LACK",Calling My Phone - Single
90,Piece of Me (feat. Ella Mai),Wizkid,Made In Lagos
91,Bad Influence,Omah Lay,Get Layd - EP
92,Mood Swings (feat. Lil Tjay),Pop Smoke,Shoot For The Stars Aim For The Moon
93,BBC (feat. Tiwa Savage) [Remix],Blaqbonez,Sex Over Love
94,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay) - Single"
95,Onyeka (Baby),Burna Boy,Twice As Tall
96,Your Body,Mayorkun,Your Body - Single
97,His & Hers (feat. Gunna),"Internet Money, Don Toliver, Lil Uzi Vert",His & Hers (feat. Gunna) - Single
98,Sere (Remix),"Spinall, Fireboy DML, 6LACK",Sere (Remix) - Single
99,Okay,Adekunle Gold,"Afro Pop, Vol. 1"
100,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,Kilofeshe (Remix) [feat. Mayorkun & Busiswa] - Single
