Position,song,artist,album
52,NDOVU NI KUU (feat. KHALIGRAPH JONES & BOUTROSS MUNENE),arcane krispah,NDOVU NI KUU (feat. KHALIGRAPH JONES & BOUTROSS MUNENE) - Single
53,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O\'Kenneth)",Jay Bahd,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O\'Kenneth) - Single"
54,GUPTA (feat. Lady Du & Mellow and Sleazy),"Focalistic, Mr JazziQ",GUPTA (feat. Lady Du & Mellow and Sleazy) - Single
55,John Wick (feat. Sir Trill & Da Muziqal Chef),De Mthuda,Ace Of Spades (Reshuffle) - Single
56,"Umsebenzi Wethu (feat. Zuma, Mr JazziQ, Lady Du & Reece Madlisa)","Busta 929, Mpura","Umsebenzi Wethu (feat. Zuma, Mr JazziQ, Lady Du & Reece Madlisa) - Single"
57,Coming,"Naira Marley, Busiswa",Coming - Single
58,Forever (Remix),"Gyakie, Omah Lay",Forever (Remix)
59,Somebody Baby,"Davido, Peruzzi",Rum & Boogie
60,History,"Cheque, Fireboy DML",History - Single
61,LEGGO,"Serge Ibaka, Tayc",LEGGO - Single
62,Running (To You),"Chike, Simi",Running (To You) - Single
63,Je veux que toi (feat. Fally Ipupa),Bramsito,Substance
64,"Samsokolo (feat. Mr JazziQ, Sir Trill, ThackzinDJ & Boohle) [Radio Edit]","Tee Jay, Rascoe Kaos","Samsokolo (feat. Mr JazziQ, Sir Trill, ThackzinDJ & Boohle) - Single"
65,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,Kilofeshe (Remix) [feat. Mayorkun & Busiswa] - Single
66,"Khuza Gogo (feat. Mpura, AmaAvenger & M.J)","DBN Gogo, Blaqnick, MasterBlaq","Khuza Gogo (feat. Mpura, AmaAvenger & M.J) - Single"
67,Questions,Shekhinah,Trouble In Paradise
68,Sere (Remix),"Spinall, Fireboy DML, 6LACK",Sere (Remix) - Single
69,Nossas Coisas (feat. ARY),C4 pedro,Nossas Coisas (feat. ARY) - Single
70,Long Way,Emtee,LOGAN
71,Dollar On You,Kuami Eugene,Dollar On You - Single
72,Un coup (feat. Dadju),Fally Ipupa,Tokooos II (Bonus Version)
73,For You,Marioo,For You - Single
74,La Vie Est Belle,"Kabza De Small, DJ Maphorisa, TRESOR",RUMBLE IN THE JUNGLE
