,song,artist,album
41,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,Hallelu (feat. Bella Shmurda & Zlatan) - Single
42,Too Correct,"Crayon, Rema",Twelve A.M - EP
43,Godly,Omah Lay,What Have We Done - EP
44,Kilofeshe,Zinoleesky,Kilofeshe - Single
45,Okwaraji,Blaqbonez,Sex Over Love
46,KPK (Ko Por Ke),"Rexxie, MohBad",KPK (Ko Por Ke) - Single
47,Abu Dhabi,Ruger,PANDEMIC - EP
48,Way Too Big,Burna Boy,Twice as Tall
49,Fendi (feat. Joeboy),Blaqbonez,Sex Over Love
50,a p p l y i n g . p r e s s u r e,J. Cole,The Off-Season
51,Bank on It,Burna Boy,Twice As Tall
52,Jowo,Davido,A Better Time
53,Reckless,Wizkid,Made In Lagos
54,Cash App,"Bella Shmurda, Zlatan, Lincoln",Cash App - Single
55,Runaway,AURORA,All My Demons Greeting Me As a Friend (Deluxe)
56,l e t . g o . m y . h a n d,"J. Cole, Bas, 6LACK",The Off-Season
57,Seeing Green,"Nicki Minaj, Drake, Lil Wayne",Beam Me Up Scotty
58,Door,"Joeboy, Kwesi Arthur",Door - Single
59,i n t e r l u d e,J. Cole,The Off-Season
60,Real Life (feat. Stormzy),Burna Boy,Twice as Tall
61,Infinity (feat. Omah Lay),Olamide,Carpe Diem
62,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open - Single
63,1 0 0 . m i l \xe2\x80\x98,"J. Cole, Bas",The Off-Season
64,No Stress,Wizkid,Made In Lagos
65,HEARTBREAK ANNIVERSARY,GIV\xc4\x92ON,HEARTBREAK ANNIVERSARY - Single
66,Longtime (feat. Skepta),Wizkid,Made In Lagos
67,Ruger,Ruger,PANDEMIC - EP
68,Verified (feat. Mayorkun),Laycon,...Shall We Begin...
69,Sweet One,Wizkid,Made In Lagos
70,p u n c h i n \xe2\x80\x98 . t h e . c l o c k,J. Cole,The Off-Season
71,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,Kilofeshe (Remix) [feat. Mayorkun & Busiswa] - Single
72,True Love (feat. Tay Iwar & Projexx),Wizkid,Made In Lagos
73,Away,Ayra Starr,Ayra Starr - EP
74,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled,KHALED KHALED
75,Mighty Wine,Wizkid,Made In Lagos
76,Loco (feat. Mayorkun),KDDO,TOO LATE TOO LIT (EP)
77,Bad Influence,Omah Lay,Get Layd - EP
78,Holy Ground (feat. Nicki Minaj),Davido,A Better Time
79,RAPSTAR,Polo G,RAPSTAR - Single
80,Calling My Phone,"Lil Tjay, 6LACK",Calling My Phone - Single
81,Body,"Russ Millions, Tion Wayne",Body - Single
82,Mood Swings (feat. Lil Tjay),Pop Smoke,Shoot For The Stars Aim For The Moon
83,Damages,Tems,For Broken Ears
84,Piece of Me (feat. Ella Mai),Wizkid,Made In Lagos
85,GANG GANG,"Polo G, Lil Wayne",GANG GANG - Single
86,Onyeka (Baby),Burna Boy,Twice As Tall
87,Koleyewon,Naira Marley,Koleyewon - Single
88,Loading (feat. Bad Boy Timz),Olamide,Carpe Diem
89,Cho Cho (feat. Davido & Mayorkun),Zlatan,Cho Cho (feat. Davido & Mayorkun) - Single
90,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay) - Single"
91,t h e . c l i m b . b a c k,J. Cole,The Off-Season
92,Beamer Body,"KDDO, Davido",TOO LATE TOO LIT (EP)
93,BBC (feat. Tiwa Savage) [Remix],Blaqbonez,Sex Over Love
94,Your Body,Mayorkun,Your Body - Single
95,MONTERO (Call Me By Your Name),Lil Nas X,MONTERO (Call Me By Your Name) - Single
96,Okay,Adekunle Gold,"Afro Pop, Vol. 1"
97,h u n g e r . o n . h i l l s i d e,"J. Cole, Bas",The Off-Season
98,c l o s e,J. Cole,The Off-Season
99,Straightenin,Migos,Straightenin - Single
