,song,artist,album
40,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,Hallelu (feat. Bella Shmurda & Zlatan) - Single
41,INJURE ME,Teni,WONDALAND
42,Music Messiah,"DJ Neptune, Wande Coal",Music Messiah - Single
43,KPK (Ko Por Ke),"Rexxie, MohBad",KPK (Ko Por Ke) - Single
44,Too Correct,"Crayon, Rema",Twelve A.M - EP
45,Kilofeshe,Zinoleesky,Kilofeshe - Single
46,Commitment Issues,Central Cee,Wild West
47,p r i d e . i s . t h e . d e v i l,"J. Cole, Lil Baby",The Off-Season
48,Ayewada,Barry Jhay,Ayewada - Single
49,Abu Dhabi,Ruger,PANDEMIC - EP
50,Okwaraji,Blaqbonez,Sex Over Love
51,Jowo,Davido,A Better Time
52,Way Too Big,Burna Boy,Twice as Tall
53,Reckless,Wizkid,Made In Lagos
54,Fendi (feat. Joeboy),Blaqbonez,Sex Over Love
55,Verified (feat. Mayorkun),Laycon,...Shall We Begin...
56,Door,"Joeboy, Kwesi Arthur",Door - Single
57,Cash App,"Bella Shmurda, Zlatan, Lincoln",Cash App - Single
58,Bank on It,Burna Boy,Twice As Tall
59,This Your Body,"Skales, Davido",This Your Body - Single
60,HEARTBREAK ANNIVERSARY,GIV\xc4\x92ON,HEARTBREAK ANNIVERSARY - Single
61,Infinity (feat. Omah Lay),Olamide,Carpe Diem
62,No Stress,Wizkid,Made In Lagos
63,9 5 . s o u t h,J. Cole,The Off-Season
64,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,Kilofeshe (Remix) [feat. Mayorkun & Busiswa] - Single
65,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open - Single
66,Runaway,AURORA,All My Demons Greeting Me As a Friend (Deluxe)
67,Sweet One,Wizkid,Made In Lagos
68,Longtime (feat. Skepta),Wizkid,Made In Lagos
69,True Love (feat. Tay Iwar & Projexx),Wizkid,Made In Lagos
70,Real Life (feat. Stormzy),Burna Boy,Twice as Tall
71,Mighty Wine,Wizkid,Made In Lagos
72,Cho Cho (feat. Davido & Mayorkun),Zlatan,Cho Cho (feat. Davido & Mayorkun) - Single
73,Ruger,Ruger,PANDEMIC - EP
74,Away,Ayra Starr,Ayra Starr - EP
75,Holy Ground (feat. Nicki Minaj),Davido,A Better Time
76,Koleyewon,Naira Marley,Koleyewon - Single
77,Piece of Me (feat. Ella Mai),Wizkid,Made In Lagos
78,Bad Influence,Omah Lay,Get Layd - EP
79,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled,KHALED KHALED
80,Calling My Phone,"Lil Tjay, 6LACK",Calling My Phone - Single
81,Damages,Tems,For Broken Ears
82,Kiss Me More (feat. SZA),Doja Cat,Kiss Me More (feat. SZA) - Single
83,Onyeka (Baby),Burna Boy,Twice As Tall
84,Mood Swings (feat. Lil Tjay),Pop Smoke,Shoot For The Stars Aim For The Moon
85,RAPSTAR,Polo G,RAPSTAR - Single
86,Your Body,Mayorkun,Your Body - Single
87,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay) - Single"
88,Seeing Green,"Nicki Minaj, Drake, Lil Wayne",Beam Me Up Scotty
89,Loading (feat. Bad Boy Timz),Olamide,Carpe Diem
90,Capable God,Judikay,Man of Galilee
91,Triumphant (feat. Bella Shmurda),Olamide,Carpe Diem
92,a p p l y i n g . p r e s s u r e,J. Cole,The Off-Season
93,Smile (feat. H.E.R.),Wizkid,Made In Lagos
94,Okay,Adekunle Gold,"Afro Pop, Vol. 1"
95,Loco (feat. Mayorkun),KDDO,TOO LATE TOO LIT (EP)
96,Body,"Russ Millions, Tion Wayne",Body - Single
97,i n t e r l u d e,J. Cole,The Off-Season
98,l e t . g o . m y . h a n d,"J. Cole, Bas, 6LACK",The Off-Season
99,Beamer Body,"KDDO, Davido",TOO LATE TOO LIT (EP)
