Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
21,19,Ke Star (Remix),Focalistic & Davido,20,56720,-13.4%,https://www.youtube.com/watch?v=oQKKCXXRcKE
22,25,In My Maserati,Olakira,49,53663,8.4%,https://www.youtube.com/watch?v=QEPmDnVkLzg
23,17,Ameno,ERA,8,51060,-24.7%,https://www.youtube.com/watch?v=onjPLuZp6hY
24,23,Bounce,Rema,19,49182,-4.4%,https://www.youtube.com/watch?v=xxMTgqNjZGo
25,10,Berna Reloaded (feat. Fally Ipupa & Diamond Platnumz),Flavour,4,48920,-42.3%,https://www.youtube.com/watch?v=2LGiIBkg2uw
26,31,History,Cheque & Fireboy DML,13,46783,9.6%,https://www.youtube.com/watch?v=n1FIQVk1JEE
27,24,Cash App,"Bella Shmurda, Zlatan & Lincoln",39,46061,-7.2%,https://www.youtube.com/watch?v=n1S66UhdIwA
28,28,KPK (Ko Por Ke),Rexxie & Mohbad,31,45832,-3.6%,https://www.youtube.com/watch?v=rs7PiGxBShs
29,27,Dimension (feat. Skepta & Rema),JAE5,16,44100,-7.8%,https://www.youtube.com/watch?v=3QWCjiZSdGQ
30,29,Onyedikagi (feat. Glowrie),Mercy Chinwo,11,44041,1.4%,https://www.youtube.com/watch?v=o4pm6f5zv4I
31,37,Olorun Agbaye (You Are Mighty) (feat. Chandler Moore & Oba),Nathaniel Bassey,36,40787,4.5%,https://www.youtube.com/watch?v=psieSr_bu8o
32,35,It Is What It Is,Adekunle Gold,10,39905,-0%,https://www.youtube.com/watch?v=fgNKzf92gNo
33,32,Bling (feat. Amaarae & Buju),Blaqbonez,11,39503,-7.4%,https://www.youtube.com/watch?v=JJsCz_1ib30
34,39,High Way (feat. Phyno),Dj Kaywise,29,39364,3.7%,https://www.youtube.com/watch?v=eVq3ijdk0E8
35,33,"Body (Remix) (feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo)",Tion Wayne & Russ Millions,12,37991,-9.4%,https://www.youtube.com/watch?v=BS3HgiHPYcs
36,71,Butter,BTS,7,37495,62.3%,https://www.youtube.com/watch?v=WMweEpGlu_U
37,44,Ginger (feat. Burna Boy),Wizkid,36,36049,5.3%,https://www.youtube.com/watch?v=YSy2lBZ1QrA
38,41,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,26,35245,-0.7%,https://www.youtube.com/watch?v=jPZsU17Z5T8
39,,There Is a Place,Nathaniel Bassey,1,34584,,https://www.youtube.com/watch?v=lWGx7EL_rsQ
40,49,Abule,Patoranking,46,33481,-0.2%,https://www.youtube.com/watch?v=sRbHy6sRDps
41,50,The Best (feat. Mayorkun),Davido,34,33107,-0.7%,https://www.youtube.com/watch?v=91D1H29rToQ
42,53,Jireh (feat. Chandler Moore & Naomi Raine),Elevation Worship & Maverick City Music,15,32464,3.4%,https://www.youtube.com/watch?v=mC-zw0zCCtg
43,,Party Next Door,Dangbana Republik & Bella Shmurda,1,31495,,https://www.youtube.com/watch?v=bhZmePt58gM
44,45,Enjoy,Tekno,30,31059,-9.2%,https://www.youtube.com/watch?v=vnaykXFFXgg
45,48,Focus,Joeboy,22,31058,-7.6%,https://www.youtube.com/watch?v=X8NGfvelGy4
46,,Southy Love (feat. Fireboy DML),Peruzzi,24,30544,,https://www.youtube.com/watch?v=92St1TBJL2E
47,51,Kilometre,Burna Boy,11,30522,-7.8%,https://www.youtube.com/watch?v=eKv5CBr-kKo
48,,Triumphant (feat. Bella Shmurda),Olamide,32,30305,,https://www.youtube.com/watch?v=4kkKRGrPRAQ
49,,Jowo,Davido,30,30235,,https://www.youtube.com/watch?v=l6QMJniQWxQ
50,91,You Remain the Same,Dunsin Oyekan,2,30158,65.8%,https://www.youtube.com/watch?v=jQFFPr7GoVk
51,60,ONEMMENMA (Live),Mercy Chinwo & Chioma Jesus,15,28344,8.1%,https://www.youtube.com/watch?v=Qp7cb_v3_gQ
52,54,MONTERO (Call Me By Your Name),Lil Nas X,15,26762,-6.4%,https://www.youtube.com/watch?v=6swmTBVI83k
53,87,INJURE ME,Teni,8,26107,37.6%,https://www.youtube.com/watch?v=O7bOeffd48E
54,62,Good Woman,Flavour,16,26075,2.9%,https://www.youtube.com/watch?v=jN0hSjZ_7fQ
55,26,Naira Marley,Zinoleesky,2,25661,-47.9%,https://www.youtube.com/watch?v=wFrlXSC4D4A
56,83,Poko,Kizz Daniel,24,25651,31.7%,https://www.youtube.com/watch?v=fNQ080Bfz-k
57,,Who Be This Guy,"Kheengz, Falz & M.I Abaga",1,25620,,https://www.youtube.com/watch?v=s04e3W0ktKA
58,55,Somebody Baby,Peruzzi & Davido,16,25248,-11.6%,https://www.youtube.com/watch?v=anYV459bfmM
59,64,Ruger,Ruger,9,25227,0.4%,https://www.youtube.com/watch?v=Pc5J9oB3tdo
60,63,Early Momo,Vector & Good Girl La,15,24707,-1.7%,https://www.youtube.com/watch?v=PU2dnlpQNOg
61,65,Too Correct (feat. Rema),Crayon,14,23488,-5%,https://www.youtube.com/watch?v=FRQsG8WKETg
62,67,Leave The Door Open,"Bruno Mars, Anderson .Paak & Silk Sonic",18,23416,-4.3%,https://www.youtube.com/watch?v=adLGHcj_fmA
63,30,Bad Habits,Ed Sheeran,2,23372,-45.4%,https://www.youtube.com/watch?v=orJSJGHjBLI
64,61,Cho Cho (feat. Davido & Mayorkun),Zlatan,10,22700,-12.4%,https://www.youtube.com/watch?v=XdclVBcpmdg
65,76,Save Your Tears,The Weeknd,20,22478,-0.2%,https://www.youtube.com/watch?v=XXYlFuWEuKI
66,69,Jack,Nasty C,2,22095,-5.6%,https://www.youtube.com/watch?v=JO_boqkM8Y0
67,58,Big Thug Boys,AV,2,22086,-18.7%,https://www.youtube.com/watch?v=4iJvmXekbnY
68,77,Legit,Angela Okorie,4,22059,-0.6%,https://www.youtube.com/watch?v=lc5u-DCtqOY
69,79,Door,Joeboy,13,21712,-0.4%,https://www.youtube.com/watch?v=gjzzE1v1RDk
70,78,Sai dake,Hamisu Breaker,9,21637,-1.7%,https://www.youtube.com/watch?v=1eWinSRXuo0
71,73,Salute,Alikiba,2,20956,-8.1%,https://www.youtube.com/watch?v=oQ8SycSejrM
72,70,KOLO (feat. Oxlade),Ice Prince,17,20950,-9.5%,https://www.youtube.com/watch?v=Ts19iSWEvds
73,81,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,16,20913,-2.7%,https://www.youtube.com/watch?v=tQ0yjYUFKAE
74,90,You're Welcome,Dwayne Johnson,8,20801,12.8%,https://www.youtube.com/watch?v=79DijItQXMM
75,74,Dama,Namenj & Hamisu Breaker,18,20535,-9.8%,https://www.youtube.com/watch?v=-37FwMOcA3E
76,80,Oliver Twist,ArrDee,5,20462,-5.2%,https://www.youtube.com/watch?v=HC7p5PjrC1E
77,,Addicted,Guchi,1,19884,,https://www.youtube.com/watch?v=1Bh9cpxOYR0
78,,Confident,-- & Buju,1,19645,,https://www.youtube.com/watch?v=O7vPv3Tm0vg
79,,Blessed (feat. Damian Marley),Wizkid,21,19425,,https://www.youtube.com/watch?v=QUSc5al8JpY
80,66,World,Dangbana Republik & Bella Shmurda,14,19326,-21.3%,https://www.youtube.com/watch?v=SbPAsVsJq7w
81,82,Don Dada,Timaya,15,19302,-8.3%,https://www.youtube.com/watch?v=AKJGyiNEjpc
82,,Real Life (feat. Stormzy),Burna Boy,24,18996,,https://www.youtube.com/watch?v=dXeOBkKdiAg
83,34,You Right,Doja Cat & The Weeknd,2,18951,-54.3%,https://www.youtube.com/watch?v=JXgV1rXUoME
84,,Yaba Buluku (feat. Preck & Nelson Tivane),Dj Tarico & Burna Boy,1,18629,,https://www.youtube.com/watch?v=CXjLmsOQTkA
85,,Monalisa,Lojay & Sarz,1,18533,,https://www.youtube.com/watch?v=loxACEBahMM
86,,Good God,Limoblaze & Ada Ehi,1,18336,,https://www.youtube.com/watch?v=R1wR8HDa59M
87,89,Are You Sure (feat. Naira Marley),"LYTA, EMO Grae, Naira Marley & Zinoleesky",17,18287,-1.5%,https://www.youtube.com/watch?v=wbJAtq1SLgE
88,56,Fall for Me,Laycon,9,17955,-36.8%,https://www.youtube.com/watch?v=G2P_vjYXisI
89,,Big Shark,Russ Millions,1,17917,,https://www.youtube.com/watch?v=36YrBdP0KVg
90,85,Love Like This (feat. Fireboy DML),Lil Kesh,16,17696,-7.6%,https://www.youtube.com/watch?v=PMGrn5pA-DM
91,96,GANI A SO,Zainab Ambato,18,17591,4.1%,https://www.youtube.com/watch?v=AgocpB3JxOA
92,42,Fix My Eyes on You (feat. Sinach),Ada Ehi,3,17580,-50.4%,https://www.youtube.com/watch?v=sJQfsvMmxuI
93,,Jennifer (Acoustic),Guchi,1,17389,,https://www.youtube.com/watch?v=kPRVi7j0OjA
94,97,Million Little Miracles,Elevation Worship & Maverick City Music,9,17113,2.6%,https://www.youtube.com/watch?v=Viiw6tGimHo
95,,Boom Bang,Konshens & Davido,1,16947,,https://www.youtube.com/watch?v=vXq0bS4W9xw
96,22,Money,"Terri, Bella Shmurda & Mohbad",3,16140,-73.5%,https://www.youtube.com/watch?v=A0G03824rMc
97,,Medicine,Jaywillz,1,15839,,https://www.youtube.com/watch?v=UR6wXYhJQU8
98,,Astronaut In The Ocean,Masked Wolf,4,15774,,https://www.youtube.com/watch?v=MEg-oqI9qmw
99,,Corny,Rema,9,15721,,https://www.youtube.com/watch?v=UdKTx-8EvtM
100,,Yadda Kunne Yaji,Hamisu Breaker,20,15686,,https://www.youtube.com/watch?v=l-tHbaRdzJc
