Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
23,23,Cash App,"Bella Shmurda, Zlatan & Lincoln",35,52230,-3.3%,https://www.youtube.com/watch?v=n1S66UhdIwA
24,25,Coming,Naira Marley & Busiswa,12,51000,-4.1%,https://www.youtube.com/watch?v=dAhmUNl62mc
25,28,In My Maserati,Olakira,45,49952,-3.1%,https://www.youtube.com/watch?v=QEPmDnVkLzg
25,24,Onyedikagi (feat. Glowrie),Mercy Chinwo,7,49952,-7.5%,https://www.youtube.com/watch?v=o4pm6f5zv4I
27,31,Bling (feat. Amaarae & Buju),Blaqbonez,7,49488,-0.3%,https://www.youtube.com/watch?v=JJsCz_1ib30
28,33,Focus,Joeboy,18,46993,0.2%,https://www.youtube.com/watch?v=X8NGfvelGy4
29,,Late At Night,Roddy Ricch,1,46271,,https://www.youtube.com/watch?v=sJDRfZJFAk0
30,22,Kilometre,Burna Boy,7,46103,-15.8%,https://www.youtube.com/watch?v=eKv5CBr-kKo
31,26,High Way (feat. Phyno),Dj Kaywise,25,45984,-12.6%,https://www.youtube.com/watch?v=eVq3ijdk0E8
32,29,It Is What It Is,Adekunle Gold,6,45037,-12.2%,https://www.youtube.com/watch?v=fgNKzf92gNo
33,41,Voice of the Heroes,Lil Baby & Lil Durk,2,42215,0.5%,https://www.youtube.com/watch?v=hmfo73iuUuc
34,19,MONTERO (Call Me By Your Name),Lil Nas X,11,42214,-28.2%,https://www.youtube.com/watch?v=6swmTBVI83k
35,40,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,22,42128,0.2%,https://www.youtube.com/watch?v=jPZsU17Z5T8
36,,Airplane Mode,Fireboy DML,2,41997,,https://www.youtube.com/watch?v=Y43ktO6UUp0
37,35,Felony,--,19,41668,-9%,https://www.youtube.com/watch?v=URISA3m0OfA
38,38,Somebody Baby,Peruzzi & Davido,12,40186,-8.7%,https://www.youtube.com/watch?v=anYV459bfmM
39,44,Southy Love (feat. Fireboy DML),Peruzzi,21,39660,-1.1%,https://www.youtube.com/watch?v=92St1TBJL2E
40,43,Koleyewon,Naira Marley,26,38668,-5.8%,https://www.youtube.com/watch?v=ehKNrE1ZSbg
41,32,Save Your Tears,The Weeknd,16,38429,-19%,https://www.youtube.com/watch?v=XXYlFuWEuKI
42,36,Olorun Agbaye (You Are Mighty) (feat. Chandler Moore & Oba),Nathaniel Bassey,32,38314,-14.6%,https://www.youtube.com/watch?v=psieSr_bu8o
43,37,The Best (feat. Mayorkun),Davido,30,37879,-13.9%,https://www.youtube.com/watch?v=91D1H29rToQ
44,,Sare,Ayra Starr,2,37578,,https://www.youtube.com/watch?v=Gm1bpmNKII0
45,47,If You No Love (feat. Mayorkun),Chike,35,37042,-5.9%,https://www.youtube.com/watch?v=71-aBRC565w
46,,How It Feels,Lil Baby & Lil Durk,1,36943,,https://www.youtube.com/watch?v=BAsRTTO8L2k
47,42,Enjoy,Tekno,26,36928,-11.9%,https://www.youtube.com/watch?v=vnaykXFFXgg
48,49,Pronto,Ajebo Hustlers & Omah Lay,17,36836,-2.8%,https://www.youtube.com/watch?v=s1Rs5Ew71FY
49,45,Ginger (feat. Burna Boy),Wizkid,32,36560,-8.1%,https://www.youtube.com/watch?v=YSy2lBZ1QrA
50,,LV N ATTN (feat. Wizkid),Lojay,1,36297,,https://www.youtube.com/watch?v=t4IEaUhIuCs
51,51,Jireh (feat. Chandler Moore & Naomi Raine),Elevation Worship & Maverick City Music,11,33825,-7.2%,https://www.youtube.com/watch?v=mC-zw0zCCtg
52,34,Sai dake,Hamisu Breaker,5,33269,-29.1%,https://www.youtube.com/watch?v=1eWinSRXuo0
53,,Oliver Twist,ArrDee,1,32056,,https://www.youtube.com/watch?v=HC7p5PjrC1E
54,55,World,Dangbana Republik & Bella Shmurda,10,31069,-4.1%,https://www.youtube.com/watch?v=SbPAsVsJq7w
55,61,Early Momo,Vector & Good Girl La,11,30650,6.7%,https://www.youtube.com/watch?v=PU2dnlpQNOg
56,,Pempe (Live),Seyi Shay & --,1,29749,,https://www.youtube.com/watch?v=xCvOUDN7Gtc
57,56,Dama,Namenj & Hamisu Breaker,14,29524,-6.1%,https://www.youtube.com/watch?v=-37FwMOcA3E
58,57,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,12,28106,-7.5%,https://www.youtube.com/watch?v=tQ0yjYUFKAE
59,,OLOFOFO,Victor AD,1,28077,,https://www.youtube.com/watch?v=KYfVSpb5lZk
60,66,Outside,Buju,3,27275,4.6%,https://www.youtube.com/watch?v=F-4Bn4-Keqc
61,59,Too Correct (feat. Rema),Crayon,10,26886,-7.6%,https://www.youtube.com/watch?v=FRQsG8WKETg
62,91,Lost Cause,Billie Eilish,2,26694,35.5%,https://www.youtube.com/watch?v=S2dRcipMCpw
63,39,Hold Me Tight (feat. Peruzzi & Okwesili Eze Group),Kcee,2,26354,-38.8%,https://www.youtube.com/watch?v=sec0kJLbfTE
64,67,KOLO (feat. Oxlade),Ice Prince,13,26075,0.9%,https://www.youtube.com/watch?v=Ts19iSWEvds
65,60,Door,Joeboy,9,26036,-10%,https://www.youtube.com/watch?v=gjzzE1v1RDk
66,64,Loved By You (feat. Burna Boy),Justin Bieber,12,25368,-6.5%,https://www.youtube.com/watch?v=MHi4w6DO3DE
67,74,ONEMMENMA (Live),Mercy Chinwo & Chioma Jesus,11,25021,9.5%,https://www.youtube.com/watch?v=Qp7cb_v3_gQ
68,68,Good Woman,Flavour,12,24728,-2.4%,https://www.youtube.com/watch?v=jN0hSjZ_7fQ
69,,Constantly (feat. Mayorkun & Peruzzi),Speroachbeatz,1,24528,,https://www.youtube.com/watch?v=X0lX3q76mUU
70,72,Love Like This (feat. Fireboy DML),Lil Kesh,12,24484,3.9%,https://www.youtube.com/watch?v=PMGrn5pA-DM
71,52,Leave The Door Open,"Bruno Mars, Anderson .Paak & Silk Sonic",14,24169,-30.7%,https://www.youtube.com/watch?v=adLGHcj_fmA
72,70,Music Messiah,DJ Neptune & Wande Coal,2,22268,-9.2%,https://www.youtube.com/watch?v=G67B8gkpzQ8
73,82,Don Dada,Timaya,11,22112,6.1%,https://www.youtube.com/watch?v=AKJGyiNEjpc
74,73,Are You Sure (feat. Naira Marley),"LYTA, EMO Grae, Naira Marley & Zinoleesky",13,21467,-7.8%,https://www.youtube.com/watch?v=wbJAtq1SLgE
75,,Wow,Tion Wayne,1,20893,,https://www.youtube.com/watch?v=RFVj97MoSAM
76,75,Squander,Falz & Niniola,17,20829,-8.3%,https://www.youtube.com/watch?v=d5h4yOmKi6w
77,62,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled,6,20733,-25.7%,https://www.youtube.com/watch?v=QRZJNqoJQFY
78,90,GANI A SO,Zainab Ambato,14,20621,4.5%,https://www.youtube.com/watch?v=AgocpB3JxOA
79,88,INJURE ME,Teni,4,20221,0.9%,https://www.youtube.com/watch?v=O7bOeffd48E
80,96,Ameno,ERA,4,19968,10.1%,https://www.youtube.com/watch?v=onjPLuZp6hY
81,79,Up,Cardi B,18,19535,-7.7%,https://www.youtube.com/watch?v=rCiBgLOcuKU
82,85,Away,Ayra Starr,20,19449,-3.9%,https://www.youtube.com/watch?v=SmbzdwnpZZs
83,92,Ruger,Ruger,5,19406,-1.2%,https://www.youtube.com/watch?v=Pc5J9oB3tdo
84,16,"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",DJ Khaled,3,19205,-72.4%,https://www.youtube.com/watch?v=l-dBqCtQu6U
85,77,Million Little Miracles,Elevation Worship & Maverick City Music,5,19022,-11.5%,https://www.youtube.com/watch?v=Viiw6tGimHo
86,89,Labarin Zuciya (Live),Rahab saleem,4,18727,-5.6%,https://www.youtube.com/watch?v=O1wnV5k00Fs
87,94,Yadda Kunne Yaji,Hamisu Breaker,17,18219,-2.7%,https://www.youtube.com/watch?v=l-tHbaRdzJc
88,86,At My Worst,Pink Sweat$,13,17332,-14.1%,https://www.youtube.com/watch?v=8CEJoCr_9UI
89,76,Straightenin,Migos,4,17244,-20.5%,https://www.youtube.com/watch?v=E553AnMAvlU
90,97,Everything (Amen),Timi Dakolo,16,17238,-3%,https://www.youtube.com/watch?v=XRm15tiTGWE
91,84,Build a Bitch,Bella Poarch,4,16938,-17.3%,https://www.youtube.com/watch?v=FLGCGc7sAUw
92,,Labarin Zuciya (feat. Yahaya dikko),Adam A. Zango,1,16655,,https://www.youtube.com/watch?v=KrkaFjyPoRo
93,80,Kiss Me More (feat. SZA),Doja Cat,6,16310,-22.6%,https://www.youtube.com/watch?v=0EVVKs6DQLo
94,,Astronaut In The Ocean,Masked Wolf,2,16180,,https://www.youtube.com/watch?v=MEg-oqI9qmw
95,69,Omo Ologo,Lil Frosh & Zinoleesky,7,16014,-36.3%,https://www.youtube.com/watch?v=YXSgtJWC9DM
96,65,SUN GOES DOWN,Lil Nas X,3,15952,-40.4%,https://www.youtube.com/watch?v=U3BVFY9wnTw
97,100,Wait On You (feat. Dante Bowe & Chandler Moore),Elevation Worship & Maverick City Music,7,15890,-9.5%,https://www.youtube.com/watch?v=K3TYG7Q_fj4
98,,Levitating (feat. DaBaby),Dua Lipa,1,15208,,https://www.youtube.com/watch?v=TUVcZfQe-Kw
99,,Only You,Bella Shmurda,16,15207,,https://www.youtube.com/watch?v=kO6utVodUTY
100,,Wait For You,Melvitto & Oxlade,1,14903,,https://www.youtube.com/watch?v=DVVdtW4hKrk
