Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
20,16,Roju,Chike,26,72148,1.70%,https://www.youtube.com/watch?v=19WTWVw15n0
21,17,Godly,Omah Lay,34,71492,6.20%,https://www.youtube.com/watch?v=DqUd72pK15Y
22,43,Party Next Door,Dangbana Republik & Bella Shmurda,2,71269,126.30%,https://www.youtube.com/watch?v=bhZmePt58gM
23,15,FOR YOU (feat. Davido),Teni,22,68604,-6%,https://www.youtube.com/watch?v=Y5QUVma7_g4
24,14,Show Me,Joeboy,13,64767,-11.60%,https://www.youtube.com/watch?v=F0KN8cgHC8g
25,20,Outside,Buju,8,60008,2.70%,https://www.youtube.com/watch?v=3A3MiNlX6II
26,21,Ke Star (Remix),Focalistic & Davido,21,58533,3.20%,https://www.youtube.com/watch?v=oQKKCXXRcKE
27,19,La La (feat. CKay),Davido,15,56033,-5.10%,https://www.youtube.com/watch?v=NM8cY2VzqkI
28,22,In My Maserati,Olakira,50,54414,1.40%,https://www.youtube.com/watch?v=QEPmDnVkLzg
29,24,Bounce,Rema,20,47015,-4.40%,https://www.youtube.com/watch?v=xxMTgqNjZGo
30,27,Cash App,"Bella Shmurda, Zlatan & Lincoln",40,46652,1.30%,https://www.youtube.com/watch?v=n1S66UhdIwA
31,,Stay,The Kid Laroi & Justin Bieber,1,46058,,https://www.youtube.com/watch?v=kTJczUoc26U
32,25,Berna Reloaded (feat. Fally Ipupa & Diamond Platnumz),Flavour,5,45305,-7.40%,https://www.youtube.com/watch?v=2LGiIBkg2uw
33,,Clash (feat. Stormzy),Dave,1,44819,,https://www.youtube.com/watch?v=oFqVvjq6BGM
34,28,KPK (Ko Por Ke),Rexxie & Mohbad,32,44501,-2.90%,https://www.youtube.com/watch?v=rs7PiGxBShs
35,31,Olorun Agbaye (You Are Mighty) (feat. Chandler Moore & Oba),Nathaniel Bassey,37,43406,6.40%,https://www.youtube.com/watch?v=psieSr_bu8o
36,32,It Is What It Is,Adekunle Gold,11,42971,7.70%,https://www.youtube.com/watch?v=fgNKzf92gNo
37,,Motley Crew,Post Malone,1,42498,,https://www.youtube.com/watch?v=311ZcJozOhI
38,29,Dimension (feat. Skepta & Rema),JAE5,17,42164,-4.40%,https://www.youtube.com/watch?v=3QWCjiZSdGQ
39,26,History,Cheque & Fireboy DML,14,40702,-13%,https://www.youtube.com/watch?v=n1FIQVk1JEE
40,23,Ameno,ERA,9,39447,-22.70%,https://www.youtube.com/watch?v=onjPLuZp6hY
41,37,Ginger (feat. Burna Boy),Wizkid,37,38857,7.80%,https://www.youtube.com/watch?v=YSy2lBZ1QrA
42,40,Abule,Patoranking,47,36948,10.40%,https://www.youtube.com/watch?v=sRbHy6sRDps
43,34,High Way (feat. Phyno),Dj Kaywise,30,36212,-8%,https://www.youtube.com/watch?v=eVq3ijdk0E8
44,33,Bling (feat. Amaarae & Buju),Blaqbonez,12,36122,-8.60%,https://www.youtube.com/watch?v=JJsCz_1ib30
45,35,"Body (Remix) (feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo)",Tion Wayne & Russ Millions,13,35947,-5.40%,https://www.youtube.com/watch?v=BS3HgiHPYcs
46,30,Onyedikagi (feat. Glowrie),Mercy Chinwo,12,35656,-19%,https://www.youtube.com/watch?v=o4pm6f5zv4I
47,,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",1,35624,,https://www.youtube.com/watch?v=2HzK5G72JI8
48,38,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,27,34358,-2.50%,https://www.youtube.com/watch?v=jPZsU17Z5T8
49,13,Verified (feat. Mayorkun),Laycon,4,32847,-57.10%,https://www.youtube.com/watch?v=L7f147mkO_c
50,42,Jireh (feat. Chandler Moore & Naomi Raine),Elevation Worship & Maverick City Music,16,32741,0.90%,https://www.youtube.com/watch?v=mC-zw0zCCtg
51,,Kokose (feat. Wizkid),Sound Sultan & Wizkid,1,32198,,https://www.youtube.com/watch?v=XqhRCxjRmrM
