Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
35,32,Felony,--,18,45801,-0.4%,https://www.youtube.com/watch?v=URISA3m0OfA
36,30,Olorun Agbaye (You Are Mighty) (feat. Chandler Moore & Oba),Nathaniel Bassey,31,44849,-3.3%,https://www.youtube.com/watch?v=psieSr_bu8o
37,41,The Best (feat. Mayorkun),Davido,29,44010,6.3%,https://www.youtube.com/watch?v=91D1H29rToQ
38,38,Somebody Baby,Peruzzi & Davido,11,43995,4.4%,https://www.youtube.com/watch?v=anYV459bfmM
39,,Hold Me Tight (feat. Peruzzi & Okwesili Eze Group),Kcee,1,43065,,https://www.youtube.com/watch?v=sec0kJLbfTE
40,37,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,21,42036,-1.9%,https://www.youtube.com/watch?v=jPZsU17Z5T8
41,,Voice of the Heroes,Lil Baby & Lil Durk,1,41996,,https://www.youtube.com/watch?v=hmfo73iuUuc
42,29,Enjoy,Tekno,25,41907,-9.9%,https://www.youtube.com/watch?v=vnaykXFFXgg
43,35,Koleyewon,Naira Marley,25,41056,-7.3%,https://www.youtube.com/watch?v=ehKNrE1ZSbg
44,40,Southy Love (feat. Fireboy DML),Peruzzi,20,40116,-3.4%,https://www.youtube.com/watch?v=92St1TBJL2E
45,43,Ginger (feat. Burna Boy),Wizkid,31,39800,-0.2%,https://www.youtube.com/watch?v=YSy2lBZ1QrA
46,44,Abule,Patoranking,44,39706,1.2%,https://www.youtube.com/watch?v=sRbHy6sRDps
47,36,If You No Love (feat. Mayorkun),Chike,34,39378,-9.9%,https://www.youtube.com/watch?v=71-aBRC565w
48,46,Jowo,Davido,29,38448,-1%,https://www.youtube.com/watch?v=l6QMJniQWxQ
49,39,Pronto,Ajebo Hustlers & Omah Lay,16,37885,-9.4%,https://www.youtube.com/watch?v=s1Rs5Ew71FY
50,47,Bigger Everyday (Live),"Moses Bliss, Festizie, Membrane, Uwa, Chris Heavens & Temple",28,37041,-3.3%,https://www.youtube.com/watch?v=SuQWzw2qcmo
51,49,Jireh (feat. Chandler Moore & Naomi Raine),Elevation Worship & Maverick City Music,10,36445,-2.4%,https://www.youtube.com/watch?v=mC-zw0zCCtg
52,74,Leave The Door Open (Live),"Bruno Mars, Anderson .Paak & Silk Sonic",13,34883,56.8%,https://www.youtube.com/watch?v=adLGHcj_fmA
53,52,Kilofeshe,Zinoleesky,20,34369,1.2%,https://www.youtube.com/watch?v=_FtuXxKikNk
54,,Lucid Dreams,Juice WRLD,20,34134,,https://www.youtube.com/watch?v=mzB1VGEGcSU
55,53,World,Dangbana Republik & Bella Shmurda,9,32392,-4.4%,https://www.youtube.com/watch?v=SbPAsVsJq7w
56,57,Dama,Namenj & Hamisu Breaker,13,31450,1.4%,https://www.youtube.com/watch?v=-37FwMOcA3E
57,54,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,11,30394,-6.5%,https://www.youtube.com/watch?v=tQ0yjYUFKAE
58,,Twisted Fantasy,Justine Skye & Rema,1,29326,,https://www.youtube.com/watch?v=FvrCKHs8wVI
59,58,Too Correct (feat. Rema),Crayon,9,29104,-4.6%,https://www.youtube.com/watch?v=FRQsG8WKETg
60,70,Door,Joeboy,8,28932,15.6%,https://www.youtube.com/watch?v=gjzzE1v1RDk
61,66,Early Momo,Vector & Good Girl La,10,28726,10.2%,https://www.youtube.com/watch?v=PU2dnlpQNOg
62,56,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled,5,27893,-11%,https://www.youtube.com/watch?v=QRZJNqoJQFY
63,67,Congratulations (feat. Buchi Atuonwu),Ada Ehi,20,27818,8.7%,https://www.youtube.com/watch?v=LjpGilXJOuY
64,59,Loved By You (feat. Burna Boy),Justin Bieber,11,27126,-10.4%,https://www.youtube.com/watch?v=MHi4w6DO3DE
65,14,SUN GOES DOWN,Lil Nas X,2,26743,-61.6%,https://www.youtube.com/watch?v=U3BVFY9wnTw
66,62,Outside,Buju,2,26083,-10.6%,https://www.youtube.com/watch?v=F-4Bn4-Keqc
67,69,KOLO (feat. Oxlade),Ice Prince,12,25834,2.2%,https://www.youtube.com/watch?v=Ts19iSWEvds
68,65,Good Woman,Flavour,11,25328,-7.3%,https://www.youtube.com/watch?v=jN0hSjZ_7fQ
69,45,Omo Ologo,Lil Frosh & Zinoleesky,6,25126,-35.6%,https://www.youtube.com/watch?v=YXSgtJWC9DM
70,,Music Messiah,DJ Neptune & Wande Coal,1,24513,,https://www.youtube.com/watch?v=G67B8gkpzQ8
71,94,Exotic,Korexx,11,24485,38.6%,https://www.youtube.com/watch?v=gvJngha2NOU
72,71,Love Like This (feat. Fireboy DML),Lil Kesh,11,23563,4.5%,https://www.youtube.com/watch?v=PMGrn5pA-DM
73,68,Are You Sure (feat. Naira Marley),"LYTA, EMO Grae, Naira Marley & Zinoleesky",12,23277,-8.7%,https://www.youtube.com/watch?v=wbJAtq1SLgE
74,83,ONEMMENMA (Live),Mercy Chinwo & Chioma Jesus,10,22849,17.2%,https://www.youtube.com/watch?v=Qp7cb_v3_gQ
75,84,Squander,Falz & Niniola,16,22724,18.8%,https://www.youtube.com/watch?v=d5h4yOmKi6w
76,61,Straightenin,Migos,3,21688,-26%,https://www.youtube.com/watch?v=E553AnMAvlU
77,77,Million Little Miracles,Elevation Worship & Maverick City Music,4,21504,-0.8%,https://www.youtube.com/watch?v=Viiw6tGimHo
78,99,You're Welcome,Dwayne Johnson,5,21201,26.8%,https://www.youtube.com/watch?v=79DijItQXMM
79,76,Up,Cardi B,17,21173,-2.8%,https://www.youtube.com/watch?v=rCiBgLOcuKU
80,89,Kiss Me More (feat. SZA),Doja Cat,5,21077,16.6%,https://www.youtube.com/watch?v=0EVVKs6DQLo
81,,Squander (Remix) (feat. Niniola & Sayfar),"--, -- & Mpura",1,20977,,https://www.youtube.com/watch?v=8aVDVUZNm2c
82,79,Don Dada,Timaya,10,20833,0.2%,https://www.youtube.com/watch?v=AKJGyiNEjpc
83,,Flamerz Flow,Meek Mill,1,20543,,https://www.youtube.com/watch?v=Oa1lbFytloA
84,63,Build a Bitch,Bella Poarch,3,20488,-26%,https://www.youtube.com/watch?v=FLGCGc7sAUw
85,78,Away,Ayra Starr,19,20235,-6.4%,https://www.youtube.com/watch?v=SmbzdwnpZZs
86,81,At My Worst,Pink Sweat$,12,20188,-0%,https://www.youtube.com/watch?v=8CEJoCr_9UI
87,,Waka Waka (This Time for Africa),Shakira,24,20166,,https://www.youtube.com/watch?v=pRpeEdMmmQ0
88,97,INJURE ME,Teni,3,20049,17.8%,https://www.youtube.com/watch?v=O7bOeffd48E
89,,Labarin Zuciya,Rahab saleem,3,19835,,https://www.youtube.com/watch?v=O1wnV5k00Fs
90,88,GANI A SO,Zainab Ambato,13,19733,7%,https://www.youtube.com/watch?v=AgocpB3JxOA
91,,Lost Cause,Billie Eilish,1,19694,,https://www.youtube.com/watch?v=S2dRcipMCpw
92,73,Ruger,Ruger,4,19648,-11.7%,https://www.youtube.com/watch?v=Pc5J9oB3tdo
93,,Money,"Terri, Bella Shmurda & Mohbad",1,18914,,https://www.youtube.com/watch?v=0ODI1akAp24
94,85,Yadda Kunne Yaji,Hamisu Breaker,16,18725,-1.2%,https://www.youtube.com/watch?v=l-tHbaRdzJc
95,33,STUNNAMAN (feat. Lil Wayne),Birdman & Roddy Ricch,2,18645,-59.2%,https://www.youtube.com/watch?v=a78G2OPKuD8
96,75,Ameno,ERA,3,18143,-17.7%,https://www.youtube.com/watch?v=onjPLuZp6hY
97,90,Everything (Amen),Timi Dakolo,15,17771,-1.3%,https://www.youtube.com/watch?v=XRm15tiTGWE
98,,Naked,Waje,1,17703,,https://www.youtube.com/watch?v=8BrqtuoHi6A
99,51,a m a r i,J. Cole,3,17589,-48.2%,https://www.youtube.com/watch?v=w3333Fo6ufY
100,80,Wait On You (feat. Dante Bowe & Chandler Moore),Elevation Worship & Maverick City Music,6,17558,-13.2%,https://www.youtube.com/watch?v=K3TYG7Q_fj4
