rank,song,artist,apple,boom,spotify,RT
37,Nossas Coisas (feat. Ary),C4 pedro,69,250,29,116.0
38,Dollar On You,Kuami Eugene,71,62,225,119.33333333333333
39,Khuza Gogo,"DBN Gogo, Blaqnick, MasterBlaq",66,250,43,119.66666666666667
40,NDOVU NI KUU (feat. KHALIGRAPH JONES & BOUTROSS MUNENE),arcane krispah,52,85,225,120.66666666666667
41,Such Kinda Love ft. Jovial,Otile Brown,200,1,225,142.0
42,Jennifer,GUCHI,200,4,225,143.0
43,Nyumba Ndogo,Zuchu,200,5,225,143.33333333333334
44,First Sermon,Black Sherif,200,7,225,144.0
45,Salute (feat. Rudeboy),Alikiba,200,8,225,144.33333333333334
46,Godly,Omah Lay,200,12,225,145.66666666666666
47,Kiss ft. Rayvanny,Bahati,200,13,225,146.0
48,Infinity ft. Omah Lay,Olamide,200,16,225,147.0
49,Sukari,Zuchu,200,18,225,147.66666666666666
50,Jeraha ft. Jovial,Otile Brown,200,20,225,148.33333333333334
51,Sandakalawe,Harmonize,200,22,225,149.0
52,Number One ft. Zuchu,Rayvanny,200,25,225,150.0
53,Nobody,Anjella,200,27,225,150.66666666666666
54,Yalaah,Mbosso,200,30,225,151.66666666666666
55,Enfant de Dieu ( L\xe2\x80\x99hymne national),Ks bloom,200,31,225,152.0
56,Pete Yangu ft. Nadia Mukami,Bahati,200,32,225,152.33333333333334
57,Abule,Patoranking,200,33,225,152.66666666666666
58,Adom Grace,Diana Hamilton,200,34,225,153.0
59,MOSLADO,Teni,200,250,10,153.33333333333334
60,E Choke ft. Mr Drew,Sefa,200,35,225,153.33333333333334
61,Falling For U,Blaq Jerzee,200,250,13,154.33333333333334
62,Mtaalam,Mbosso,200,39,225,154.66666666666666
63,Praise,Fameye,200,40,225,155.0
64,Biibi Besi ft. Kuami Eugene,Kwame Yogot,200,41,225,155.33333333333334
65,Music Messiah,DJ Neptune,200,250,17,155.66666666666666
66,Najieka,Jay Melody,200,42,225,155.66666666666666
67,Tabia Za Wakenya (Kanairo),Mejja,200,43,225,156.0
68,Peaches (Masterkraft Remix) ft. Alpha P & Omah Lay,Justin Bieber,200,44,225,156.33333333333334
69,LV N ATTN feat. Wizkid,Lojay,200,250,19,156.33333333333334
70,Koroba,Tiwa Savage,200,250,20,156.66666666666666
71,New Couple,Nandy,200,45,225,156.66666666666666
72,Cheketua ,Barnaba Classic  (TZ),200,46,225,157.0
73,Let Dem Kno,Smallgod,200,250,22,157.33333333333334
74,Mon soleil ft. Anitta,Dadju,200,47,225,157.33333333333334
75,Cheche ft. Diamond Platnumz,Zuchu,200,48,225,157.66666666666666
76,Bosana,El Mukuka,200,250,23,157.66666666666666
77,Dinaledi,Major League Djz,200,250,24,158.0
78,Need For Speed,Olamide,200,49,225,158.0
79,Breakup Riddim,DJ Aroma,200,250,25,158.33333333333334
80,"Champions League ft. Fameye, Kelvyn Boy, Kofi Mole & Quamina Mp",Wendy Shay,200,50,225,158.33333333333334
81,Far Away,"Dangbana Republik, Bella Shmurda",1,250,225,158.66666666666666
82,Lala ft. Jux,Rayvanny,200,52,225,159.0
83,Yebo Teacher,Moonchild Sanelly,200,250,28,159.33333333333334
84,Mood,Mr Drew,200,54,225,159.66666666666666
85,This Your Body,Skales,200,250,30,160.0
86,Jolie madame ft. Ronisia,Jo\xc3\xa9 Dwet Fil\xc3\xa9,200,56,225,160.33333333333334
87,Vibaya,Harmonize,200,57,225,160.66666666666666
88,Regina ft. Jux,Otile Brown,200,58,225,161.0
89,Touch It,KiDi,200,250,34,161.33333333333334
90,Bling (feat. Amaarae & Buju),Blaqbonez,10,250,225,161.66666666666666
91,Woza,Mr JazziQ,200,250,35,161.66666666666666
92,Happy Day ft. Kuami Eugene,Sarkodie,200,60,225,161.66666666666666
93,Monalisa,"Lojay, Sarz",11,250,225,162.0
94,You Are Yahweh,Steve Crown,200,61,225,162.0
95,KPK (Ko Por Ke),Rexxie,200,250,37,162.33333333333334
96,Kiss Me,Mbosso,200,63,225,162.66666666666666
97,OLOFOFO,Victor AD,200,64,225,163.0
98,Sekkle & Bop (feat. Popcaan),Mr Eazi,200,250,39,163.0
99,Jack,Nasty C,16,250,225,163.66666666666666
100,PEPE,L.A.X,200,250,41,163.66666666666666
101,Dusuma ft. Meddy,Otile Brown,200,66,225,163.66666666666666
102,In Love ft. AliKiba,Otile Brown,200,67,225,164.0
103,Hold,Blxckie,17,250,225,164.0
104,Meliza,DJ Flex,200,250,42,164.0
105,La Mour,KS Bloom,200,68,225,164.33333333333334
106, Litawachoma ft. Diamond Platnumz,Zuchu,200,69,225,164.66666666666666
107,Jowo,DaVido,200,250,44,164.66666666666666
108,Fine Wine (feat. King Promise & Joeboy),R2Bees,19,250,225,164.66666666666666
109,Berna Reloaded ft. Fally Ipupa & Diamond Platnumz,Flavour,200,70,225,165.0
110,All (feat. Davido),Rexxie,20,250,225,165.0
111,Bad Influence ,Omah Lay,200,71,225,165.33333333333334
112,"Congratulations ft, Buchi",Ada Ehi,200,72,225,165.66666666666666
113,ONLY IF YOU LIKE THAT,Tshego,22,250,225,165.66666666666666
114,Banyana,"DJ Maphorisa, Daliwonga, Kabza De Small",200,250,47,165.66666666666666
115,Golden Boy,KiDi,200,73,225,166.0
116,Señorita,Rayvanny,200,250,48,166.0
117,AGYEIWAA ft. Reggie & City Boy,O\'Kenneth,200,74,225,166.33333333333334
118,"LiYoshona (feat. Njelic, MalumNator & De Mthuda) [Main Mix]",Kwiish SA,24,250,225,166.33333333333334
119,Baajo,Kwesi Arthur,200,250,49,166.33333333333334
120,M\'a Ngui Baxx,Dieyla Gueye,200,75,225,166.66666666666666
121,Rotate (Freestyle),Mr Eazi,200,76,225,167.0
122,Southy Love (feat. Fireboy DML),Peruzzi,26,250,225,167.0
123,Asambeni,"Oscar Mbo, C-Blak",27,250,225,167.33333333333334
124,Medicine,Jaywillz,28,250,225,167.66666666666666
125,Sadik Lady,Viviane Chidid,200,78,225,167.66666666666666
126,Odi Love ft. Klons Melody,Willy Paul,200,79,225,168.0
127,Sinner,Adekunle Gold,200,250,54,168.0
128,Capable God,Judikay,200,80,225,168.33333333333334
129,It Is What It Is,Adekunle Gold,30,250,225,168.33333333333334
130,Attitude ft. Awilo Longomba & H Baba,Harmonize,200,81,225,168.66666666666666
131,Le temps,Tayc,31,250,225,168.66666666666666
132,Ex,Nikita Kering,32,250,225,169.0
133,Fall,Mbosso,200,82,225,169.0
134,Ama,Medikal,200,83,225,169.33333333333334
135,"Dangerous Love (feat. Mugeez, Efya & R2Bees)",Omar Sterling,33,250,225,169.33333333333334
136,Rise of the Underdogs 2 (feat. Tomi Thomas),Show Dem Camp,34,250,225,169.66666666666666
137,You,Omah Lay,200,84,225,169.66666666666666
138,I Want (feat. Mutoriah),Chris Kaiga,35,250,225,170.0
139,Sore (Remix) (Remix) ft. Stormzy & Kwesi Arthur,Yaw Tog,200,87,225,170.66666666666666
140,"Africa, One Of A Kind","Angelique Kidjo, Mr Eazi, Salif Keita",37,250,225,170.66666666666666
141,Waah! ft. Koffi Olomide,Diamond Platnumz,200,88,225,171.0
142,La La (feat. CKay),Davido,38,250,225,171.0
143,Verified (feat. Mayorkun),Laycon,39,250,225,171.33333333333334
144,Guuy,Jeeba,200,90,225,171.66666666666666
145,Ngilimele (feat. Q Twins),DJ Tira,40,250,225,171.66666666666666
146,Too Faithful,Moses Bliss,200,91,225,172.0
147,Felony,CKay,41,250,225,172.0
148,Early Momo (feat. GoodGirl LA),Vector,42,250,225,172.33333333333334
149,Call,Joeboy,200,92,225,172.33333333333334
150,Lissa,Rapcha,200,93,225,172.66666666666666
151,Baby Go,"Otile Brown, Kizz Daniel",43,250,225,172.66666666666666
152,Bank Notification (feat. Madumane),"Ciza, DJ Maphorisa",44,250,225,173.0
153,Like I Do,Fireboy DML,200,94,225,173.0
154,Enough,Hersh,45,250,225,173.33333333333334
155,I Wanna Dance with Somebody,Whitney Houston,200,95,225,173.33333333333334
156,Ba Xolele (feat. Guyu Pane & YoungStunner) [729 Street Vocal],Dzo 729,46,250,225,173.66666666666666
157,Do Lemi Go ft. Ibraah,Kinata Mc,200,96,225,173.66666666666666
158,Sor Mi Mu (ft. Bisa Kdei),Gyakie,200,98,225,174.33333333333334
159,Weekend,Eddy Kenzo,49,250,225,174.66666666666666
160,Omemma ((Live)),Judikay,200,99,225,174.66666666666666
161,Roho,Killy (TZ),200,100,225,175.0
162,"Umsebenzi Wethu (feat. Zuma, Mr JazziQ, Lady Du & Reece Madlisa)","Busta 929, Mpura",56,250,225,177.0
163,Somebody Baby,"Davido, Peruzzi",59,250,225,178.0
164,LEGGO,"Serge Ibaka, Tayc",61,250,225,178.66666666666666
165,Je veux que toi (feat. Fally Ipupa),Bramsito,63,250,225,179.33333333333334
166,"Samsokolo (feat. Mr JazziQ, Sir Trill, ThackzinDJ & Boohle) [Radio Edit]","Tee Jay, Rascoe Kaos",64,250,225,179.66666666666666
167,Questions,Shekhinah,67,250,225,180.66666666666666
168,Sere (Remix),"Spinall, Fireboy DML, 6LACK",68,250,225,181.0
169,Long Way,Emtee,70,250,225,181.66666666666666
170,Un coup (feat. Dadju),Fally Ipupa,72,250,225,182.33333333333334
171,La Vie Est Belle,"Kabza De Small, DJ Maphorisa, TRESOR",74,250,225,183.0
