rank,song,artist,apple,boom,RT
52,Right Now,Elaine,49,250,174.0
53,Sere (Remix),"Spinall, Fireboy DML, 6LACK",50,250,175.0
54,Baajo,"Kwesi Arthur, Joeboy",51,250,176.0
55,Verified (feat. Mayorkun),Laycon,52,250,177.0
56,Akekho,KekeLingo,53,250,178.0
57,KOLO (feat. Oxlade),Ice Prince,54,250,179.0
58,Long Way,Emtee,55,250,180.0
59,Shine Your Light (feat. Akon),"Master KG, David Guetta",56,250,181.0
60,Un coup (feat. Dadju),Fally Ipupa,58,250,183.0
61,Big Boss,Didi B,60,250,185.0
62,LEGGO,"Serge Ibaka, Tayc",61,250,186.0
63,Ke Star (feat. Virgo Deep) [Remix],"Focalistic, Davido",62,250,187.0
64,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,63,250,188.0
65,Southy Love (feat. Fireboy DML),Peruzzi,64,250,189.0
66,"Khuza Gogo (feat. Mpura, AmaAvenger & M.J)","DBN Gogo, Blaqnick, MasterBlaq",66,250,191.0
67,Rush,"Dangbana Republik, Bella Shmurda",67,250,192.0
68,Nossas Coisas (feat. ARY),C4 pedro,68,250,193.0
69,La Vie Est Belle,"Kabza De Small, DJ Maphorisa, TRESOR",69,250,194.0
70,Ebabayo (feat. Nokwazi),Prince Kaybee,70,250,195.0
71,Early Momo (feat. GoodGirl LA),Vector,71,250,196.0
72,THE 5 YEAR PLAN (feat. Wordz),A-Reece,73,250,198.0
73,Jennifer,GUCHI,200,1,200.5
74,Baikoko ft. Diamond Platnumz,Mbosso,200,2,201.0
75,First Sermon,Black Sherif,200,3,201.5
76,Such Kinda Love ft. Jovial,Otile Brown,200,4,202.0
77,Touch It,KiDi,200,6,203.0
78,Godly,Omah Lay,200,7,203.5
79,Sukari,Zuchu,200,8,204.0
80,Infinity ft. Omah Lay,Olamide,200,9,204.5
81,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)",Alikiba,200,12,206.0
82,Number One ft. Zuchu,Rayvanny,200,16,208.0
83,Nobody,Anjella,200,18,209.0
84,Abule,Patoranking,200,19,209.5
85,Focus,Joeboy,200,20,210.0
86,Yalaah,Mbosso,200,23,211.5
87,Kiss ft. Rayvanny,Bahati,200,24,212.0
88,Door ft. Kwesi Arthur,Joeboy,200,25,212.5
89,Cheketua ,Barnaba Classic  (TZ),200,27,213.5
90,Spiritual ft. Kuami Eugene & Patoranking,KiDi,200,28,214.0
91,Biibi Besi ft. Kuami Eugene,Kwame Yogot,200,29,214.5
92,Lala ft. Jux,Rayvanny,200,30,215.0
93,Mtaalam,Mbosso,200,32,216.0
94,Attitude ft. Awilo Longomba & H Baba,Harmonize,200,33,216.5
95,AGYEIWAA ft. Reggie & City Boy,O'Kenneth,200,34,217.0
96,Wewe Ni Mungu,Bahati,200,35,217.5
97,Pete Yangu ft. Nadia Mukami,Bahati,200,36,218.0
98,Nyumba Ndogo,Zuchu,200,37,218.5
99,Najieka,Jay Melody,200,38,219.0
100,Tabia Za Wakenya (Kanairo),Mejja,200,39,219.5
101,Regina ft. Jux,Otile Brown,200,40,220.0
102,Mon soleil ft. Anitta,Dadju,200,41,220.5
103,Adom Grace,Diana Hamilton,200,42,221.0
104,Vibaya,Harmonize,200,43,221.5
105,Cheche ft. Diamond Platnumz,Zuchu,200,44,222.0
106,Lissa,Rapcha,200,45,222.5
107,Kiss Me,Mbosso,200,46,223.0
108,Fall,Mbosso,200,48,224.0
109, Litawachoma ft. Diamond Platnumz,Zuchu,200,49,224.5
110,Happy Day ft. Kuami Eugene,Sarkodie,200,50,225.0
111,Bad Influence ,Omah Lay,200,53,226.5
112,"Champions League ft. Fameye, Kelvyn Boy, Kofi Mole & Quamina Mp",Wendy Shay,200,54,227.0
113,You,Omah Lay,200,56,228.0
114,In Love ft. AliKiba,Otile Brown,200,57,228.5
115,You Are Yahweh,Steve Crown,200,59,229.5
116,Roho,Killy (TZ),200,60,230.0
117,Sor Mi Mu (ft. Bisa Kdei),Gyakie,200,61,230.5
118,E Choke ft. Mr Drew,Sefa,200,62,231.0
119,"Congratulations ft, Buchi",Ada Ehi,200,63,231.5
120,OLOFOFO,Victor AD,200,64,232.0
121,Kiuno,Rayvanny,200,65,232.5
122,Waah! ft. Koffi Olomide,Diamond Platnumz,200,66,233.0
123,Fikra Za Bahati,Bahati,200,67,233.5
124,Dusuma ft. Meddy,Otile Brown,200,68,234.0
125,Ekorso ft. Yaw Tog & Ypee,Kofi Jamar,200,70,235.0
126,Call,Joeboy,200,71,235.5
127,Leo Leo,Nandy,200,72,236.0
128,Huba hulu,Jay Melody,200,74,237.0
129,Odi Love ft. Klons Melody,Willy Paul,200,75,237.5
130, Yes ft. Spice Diana,Mbosso,200,76,238.0
131,I Wanna Dance with Somebody,Whitney Houston,200,77,238.5
132,Siskii (Kamote),Mejja,200,78,239.0
133,Jolie madame ft. Ronisia,Jo\xc3\xa9 Dwet Fil\xc3\xa9,200,79,239.5
134,Rotate (Freestyle),Mr Eazi,200,80,240.0
135,Fake Ex,Yaw Tog,200,81,240.5
136,Haunisumbui,Diamond Platnumz,200,82,241.0
137,Sweet Darling ft. SAT B,Bahati,200,83,241.5
