rank,song,artist,apple,boom,spotify,deezer,RT
66,Ke Star (Remix),"Focalistic, DaVido, Virgo Deep",200,250,225,30,176.25
67,Summeryomuthi,Blaq Diamond,200,250,225,34,177.25
68,23,Burna Boy,200,250,225,35,177.5
69,Sukari,Zuchu,200,16,225,270,177.75
70,Hallelu,"Masterkraft, Bella Shmurda, Zlatan",200,250,225,37,178.0
71,Woman,Rema,200,250,225,38,178.25
72,Joro,Wizkid,200,250,225,39,178.5
73,Away,Ayra Starr,200,250,225,40,178.75
74,Jeraha ft. Jovial,Otile Brown,200,20,225,270,178.75
75,The Best (feat. Mayorkun),"DaVido, Mayorkun",200,250,225,41,179.0
76,MAD,"Sarz, WurlD",200,250,225,42,179.25
77,Number One ft. Zuchu,Rayvanny,200,23,225,270,179.5
78,Ginger (feat. Burna Boy),"Wizkid, Burna Boy",200,250,225,43,179.5
79,Baajo,"Kwesi Arthur, Joeboy",200,250,225,44,179.75
80,Sandakalawe,Harmonize,200,25,225,270,180.0
81,E Choke ft. Mr Drew,Sefa,200,26,225,270,180.25
82,Pronto,"Ajebo Hustlers, Omah lay",200,250,225,47,180.5
83,Kilofeshe,Zinoleesky,200,250,225,48,180.75
84,Enfant de Dieu ( L\xe2\x80\x99hymne national),Ks bloom,200,28,225,270,180.75
85,Yalaah,Mbosso,200,29,225,270,181.0
86,Again,Wande Coal,200,250,225,49,181.0
87,Champion,"Fireboy Dml, D Smoke",200,250,225,50,181.25
88,Adom Grace,Diana Hamilton,200,30,225,270,181.25
89,Abule,Patoranking,200,33,225,270,182.0
90,Mtaalam,Mbosso,200,35,225,270,182.5
91,MOSLADO,Teni,200,250,11,270,182.75
92,Biibi Besi ft. Kuami Eugene,Kwame Yogot,200,37,225,270,183.0
93,Tabia Za Wakenya (Kanairo),Mejja,200,38,225,270,183.25
94,Mwisho,Killy (TZ),200,39,225,270,183.5
95,Najieka,Jay Melody,200,41,225,270,184.0
96,Cheche ft. Diamond Platnumz,Zuchu,200,43,225,270,184.5
97,Need For Speed,Olamide,200,45,225,270,185.0
98,La Mour,KS Bloom,200,46,225,270,185.25
99,Falling For U,Blaq Jerzee,200,250,21,270,185.25
100,Mon soleil ft. Anitta,Dadju,200,47,225,270,185.5
101,Cheketua ,Barnaba Classic  (TZ),200,48,225,270,185.75
102,Lala ft. Jux,Rayvanny,200,49,225,270,186.0
103,Music Messiah,DJ Neptune,200,250,24,270,186.0
104,You Are Yahweh,Steve Crown,200,50,225,270,186.25
105,Happy Day ft. Kuami Eugene,Sarkodie,200,51,225,270,186.5
106,Tycoon (feat. Reminisce & MOJO),Show Dem Camp,1,250,225,270,186.5
107,Far Away,"Dangbana Republik, Bella Shmurda",2,250,225,270,186.75
108,"Congratulations ft, Buchi",Ada Ehi,200,53,225,270,187.0
109,Regina ft. Jux,Otile Brown,200,54,225,270,187.25
110,Dinaledi,Major League Djz,200,250,29,270,187.25
111,Let Dem Kno,Smallgod,200,250,30,270,187.5
112,New Couple,Nandy,200,56,225,270,187.75
113,Koroba,Tiwa Savage,200,250,31,270,187.75
114,In Love ft. AliKiba,Otile Brown,200,57,225,270,188.0
115,This Your Body,Skales,200,250,32,270,188.0
116,Breakup Riddim,DJ Aroma,200,250,33,270,188.25
117,Dusuma ft. Meddy,Otile Brown,200,58,225,270,188.25
118,Yebo Teacher,Moonchild Sanelly,200,250,34,270,188.5
119, Litawachoma ft. Diamond Platnumz,Zuchu,200,60,225,270,188.75
120,Bosana,El Mukuka,200,250,35,270,188.75
121,Vibaya,Harmonize,200,61,225,270,189.0
122,Bobo,Aya Nakamura,12,250,225,270,189.25
123,Peaches (Masterkraft Remix) ft. Alpha P & Omah Lay,Justin Bieber,200,62,225,270,189.25
124,Money & Laughter,"BOJ, Zamir, Amaarae",13,250,225,270,189.5
125,Capable God,Judikay,200,63,225,270,189.5
126,MY FAVOURITE SONG (feat. Shekhinah),Tshego,14,250,225,270,189.75
127,Shopping Spree (feat. Chris Brown & Young Thug),Davido,15,250,225,270,190.0
128,Kiss Me,Mbosso,200,66,225,270,190.25
129,Pololo (feat. Tiakola),MHD,16,250,225,270,190.25
130,Roho,Killy (TZ),200,67,225,270,190.5
131,Nikomeshe,Lava Lava,200,68,225,270,190.75
132,Meliza,DJ Flex,200,250,43,270,190.75
133,Jowo,DaVido,200,250,44,270,191.0
134,Omemma ((Live)),Judikay,200,69,225,270,191.0
135,Monalisa,"Lojay, Sarz",19,250,225,270,191.0
136,Guuy,Jeeba,200,70,225,270,191.25
137,Fake Ex,Yaw Tog,200,71,225,270,191.5
138,Denzel Washington (feat. Lannie Billion) [Radio Edit],"King Zeph, Deep Sen, K Sugah",21,250,225,270,191.5
139,Woza,Mr JazziQ,200,250,46,270,191.5
140,PEPE,L.A.X,200,250,47,270,191.75
141,Sore (Remix) (Remix) ft. Stormzy & Kwesi Arthur,Yaw Tog,200,72,225,270,191.75
142,Jack,Nasty C,22,250,225,270,191.75
143,Sekkle & Bop (feat. Popcaan),Mr Eazi,200,250,49,270,192.25
144,Hold,Blxckie,24,250,225,270,192.25
145,M\'a Ngui Baxx,Dieyla Gueye,200,74,225,270,192.25
146,Sweet Escape,Mizzle,25,250,225,270,192.5
147,Testimony,Buju,200,250,50,270,192.5
148,AGYEIWAA ft. Reggie & City Boy,O\'Kenneth,200,76,225,270,192.75
149,Fine Wine (feat. King Promise & Joeboy),R2Bees,27,250,225,270,193.0
150,Rotate (Freestyle),Mr Eazi,200,77,225,270,193.0
151,You,Omah Lay,200,79,225,270,193.5
152,All (feat. Davido),Rexxie,29,250,225,270,193.5
153,Fall,Mbosso,200,80,225,270,193.75
154,One Time (feat. Reekado Banks),Moelogo,31,250,225,270,194.0
155,"LiYoshona (feat. Njelic, MalumNator & De Mthuda) [Main Mix]",Kwiish SA,33,250,225,270,194.5
156,Odi Love ft. Klons Melody,Willy Paul,200,83,225,270,194.5
157,Too Faithful,Moses Bliss,200,84,225,270,194.75
158,Southy Love (feat. Fireboy DML),Peruzzi,35,250,225,270,195.0
159,Like I Do,Fireboy DML,200,85,225,270,195.0
160,Golden Boy,KiDi,200,86,225,270,195.25
161,Asambeni,"Oscar Mbo, C-Blak",37,250,225,270,195.5
162,Call,Joeboy,200,88,225,270,195.75
163,Ama,Medikal,200,89,225,270,196.0
164,OLOFOFO,Victor AD,200,90,225,270,196.25
165,Attitude ft. Awilo Longomba & H Baba,Harmonize,200,91,225,270,196.5
166,Bia,Phyno,200,92,225,270,196.75
167,"Dangerous Love (feat. Mugeez, Efya & R2Bees)",Omar Sterling,43,250,225,270,197.0
168,Damn,Omah Lay,200,93,225,270,197.0
169,Rise of the Underdogs 2 (feat. Tomi Thomas),Show Dem Camp,44,250,225,270,197.25
170,Omwoyo,Liam Voice,200,94,225,270,197.25
171,Waah! ft. Koffi Olomide,Diamond Platnumz,200,95,225,270,197.5
172,I Want (feat. Mutoriah),Chris Kaiga,45,250,225,270,197.5
173,Lo Lo,Omah Lay,200,96,225,270,197.75
174,"Africa, One Of A Kind","Angelique Kidjo, Mr Eazi, Salif Keita",47,250,225,270,198.0
175,Verified (feat. Mayorkun),Laycon,48,250,225,270,198.25
176,Ngilimele (feat. Q Twins),DJ Tira,49,250,225,270,198.5
177,Can\'t Relate,Omah Lay,200,99,225,270,198.5
178,Early Momo (feat. GoodGirl LA),Vector,51,250,225,270,199.0
179,Baby Go,"Otile Brown, Kizz Daniel",52,250,225,270,199.25
180,Bank Notification (feat. Madumane),"Ciza, DJ Maphorisa",53,250,225,270,199.5
181,Ba Xolele (feat. Guyu Pane & YoungStunner) [729 Street Vocal],Dzo 729,54,250,225,270,199.75
182,Weekend,Eddy Kenzo,57,250,225,270,200.5
183,NDOVU NI KUU (feat. KHALIGRAPH JONES & BOUTROSS MUNENE),arcane krispah,59,250,225,270,201.0
184,"Umsebenzi Wethu (feat. Zuma, Mr JazziQ, Lady Du & Reece Madlisa)","Busta 929, Mpura",63,250,225,270,202.0
185,LEGGO,"Serge Ibaka, Tayc",67,250,225,270,203.0
186,Je veux que toi (feat. Fally Ipupa),Bramsito,69,250,225,270,203.5
187,"Samsokolo (feat. Mr JazziQ, Sir Trill, ThackzinDJ & Boohle) [Radio Edit]","Tee Jay, Rascoe Kaos",70,250,225,270,203.75
188,Questions,Shekhinah,73,250,225,270,204.5
189,Sere (Remix),"Spinall, Fireboy DML, 6LACK",74,250,225,270,204.75
190,Long Way,Emtee,76,250,225,270,205.25
191,Un coup (feat. Dadju),Fally Ipupa,78,250,225,270,205.75
192,La Vie Est Belle,"Kabza De Small, DJ Maphorisa, TRESOR",80,250,225,270,206.25
