rank,song,artist,apple,boom,spotify,deezer,RT
92,Let Dem Kno,Smallgod,200,250,17,270,184.25
93,Dinaledi,Major League Djz,200,250,18,270,184.5
94,Mood,Mr Drew,200,45,225,270,185.0
95,Pains,Mr Drew,200,46,225,270,185.25
96,Mon soleil ft. Anitta,Dadju,200,47,225,270,185.5
97,Cheche ft. Diamond Platnumz,Zuchu,200,48,225,270,185.75
98,La Mour,KS Bloom,200,49,225,270,186.0
99,Send Me Nudes (feat. Joey B),KiDi,200,250,24,270,186.0
100,Music Messiah,DJ Neptune,200,250,25,270,186.25
101,Regina ft. Jux,Otile Brown,200,51,225,270,186.5
102,Yafun Yafun,Ajebo Hustlers,1,250,225,270,186.5
103,Dusuma ft. Meddy,Otile Brown,200,52,225,270,186.75
104,Tycoon (feat. Reminisce & MOJO),Show Dem Camp,2,250,225,270,186.75
105,Lala ft. Jux,Rayvanny,200,53,225,270,187.0
106,Koroba,Tiwa Savage,200,250,28,270,187.0
107,You Are Yahweh,Steve Crown,200,54,225,270,187.25
108,"Congratulations ft, Buchi",Ada Ehi,200,55,225,270,187.5
109,Guuy,Jeeba,200,56,225,270,187.75
110,This Your Body,Skales,200,250,31,270,187.75
111,Jowo,DaVido,200,250,32,270,188.0
112,Need For Speed,Olamide,200,57,225,270,188.0
113,In Love ft. AliKiba,Otile Brown,200,58,225,270,188.25
114,Meliza,DJ Flex,200,250,35,270,188.75
115,Happy Day ft. Kuami Eugene,Sarkodie,200,60,225,270,188.75
116, Litawachoma ft. Diamond Platnumz,Zuchu,200,61,225,270,189.0
117,Monalisa,Lojay and  Sarz,11,250,225,270,189.0
118,Emlanjeni (feat. Da Muziqal Chef),De Mthuda and  Sir Trill,12,250,225,270,189.25
119,Omemma ((Live)),Judikay,200,62,225,270,189.25
120,Bosana,El Mukuka,200,250,37,270,189.25
121,Breakup Riddim,DJ Aroma,200,250,38,270,189.5
122,John Wick,De Mthuda,200,250,39,270,189.75
123,Dis moi comment.,Tayc,15,250,225,270,190.0
124,PEPE,L.A.X,200,250,40,270,190.0
125,Rotate (Freestyle),Mr Eazi,200,65,225,270,190.0
126,Far Away,Dangbana Republik and  Bella Shmurda,16,250,225,270,190.25
127,Destiny,Black Sherif,200,66,225,270,190.25
128,Yebo Teacher,Moonchild Sanelly,200,250,41,270,190.25
129,Woza,Mr JazziQ,200,250,42,270,190.5
130,Bobo,Aya Nakamura,17,250,225,270,190.5
131,Dollar On You,Kuami Eugene,200,67,225,270,190.5
132,Banyana,"DJ Maphorisa, Sir Trill, Daliwonga, Kabza De Small",200,250,43,270,190.75
133,Professor Peller (feat. Zlatan),Seyi Vibez,18,250,225,270,190.75
134,Roho,Killy (TZ),200,69,225,270,191.0
135,Bounse,Rema,200,250,44,270,191.0
136,Fall,Mbosso,200,70,225,270,191.25
137,MY FAVOURITE SONG (feat. Shekhinah),Tshego,20,250,225,270,191.25
138,Falling For U,Blaq Jerzee,200,250,46,270,191.5
139,Sima Nkre,"Djodje,  Deejay Telio and  Julinho Ksd",21,250,225,270,191.5
140,Capable God,Judikay,200,72,225,270,191.75
141,AGYEIWAA ft. Reggie & City Boy,O\'Kenneth,200,73,225,270,192.0
142,Pololo (feat. Tiakola),MHD,23,250,225,270,192.0
143,Kiss Me,Mbosso,200,74,225,270,192.25
144,Hustlers Prayer (feat. A-Reece),25K,25,250,225,270,192.5
145,Beautiful Mistakes ft. Megan Thee Stallion,Maroon 5,200,75,225,270,192.5
146,LEGGO,Serge Ibaka and  Tayc,26,250,225,270,192.75
147,Feel Good,MohBad,27,250,225,270,193.0
148,System (feat. WizKid),Dave,200,250,52,270,193.0
149,Peaches (Masterkraft Remix) ft. Alpha P & Omah Lay,Justin Bieber,200,78,225,270,193.25
150,Solace,Ajebo Hustlers,200,250,54,270,193.5
151,Golden Boy,KiDi,200,79,225,270,193.5
152,Only You,GIMS,200,250,56,270,194.0
153,Vibaya,Harmonize,200,81,225,270,194.0
154,Jack,Nasty C,32,250,225,270,194.25
155,Karma,Odeal,200,250,57,270,194.25
156,Like I Do,Fireboy DML,200,82,225,270,194.25
157,Sore (Remix) (Remix) ft. Stormzy & Kwesi Arthur,Yaw Tog,200,83,225,270,194.5
158,Hold,Blxckie,34,250,225,270,194.75
159,La La,T'neeya,35,250,225,270,195.0
160,Najieka,Jay Melody,200,85,225,270,195.0
161,Sweet Escape,Mizzle,36,250,225,270,195.25
162,New Couple,Nandy,200,86,225,270,195.25
163,Fine Wine (feat. King Promise & Joeboy),R2Bees,37,250,225,270,195.5
164,Fake Ex,Yaw Tog,200,87,225,270,195.5
165,Call,Joeboy,200,88,225,270,195.75
166,Nikomeshe,Lava Lava,200,89,225,270,196.0
167,All (feat. Davido),Rexxie,40,250,225,270,196.25
168,Waah! ft. Koffi Olomide,Diamond Platnumz,200,91,225,270,196.5
169,You,Omah Lay,200,92,225,270,196.75
170,One Time (feat. Reekado Banks),Moelogo,42,250,225,270,196.75
171,"LiYoshona (feat. Njelic, MalumNator & De Mthuda) [Main Mix]",Kwiish SA,43,250,225,270,197.0
172,Siskii (Kamote),Mejja,200,93,225,270,197.0
173,M\'a Ngui Baxx,Dieyla Gueye,200,94,225,270,197.25
174,Southy Love (feat. Fireboy DML),Peruzzi,45,250,225,270,197.5
175,HUSTLE,Teni,200,95,225,270,197.5
176,Lo Lo,Omah Lay,200,96,225,270,197.75
177,Money & Laughter,"BOJ,  Zamir and  Amaarae",46,250,225,270,197.75
178,Omwoyo,Liam Voice,200,98,225,270,198.25
179,Asambeni,Oscar Mbo and  C-Blak,48,250,225,270,198.25
180,Damn,Omah Lay,200,99,225,270,198.5
181,Cheketua ,Barnaba Classic  (TZ),200,100,225,270,198.75
182,"Dangerous Love (feat. Mugeez, Efya & R2Bees)",Omar Sterling,52,250,225,270,199.25
183,Rise of the Underdogs 2 (feat. Tomi Thomas),Show Dem Camp,53,250,225,270,199.5
184,I Want (feat. Mutoriah),Chris Kaiga,54,250,225,270,199.75
185,"Africa, One Of A Kind","Angelique Kidjo,  Mr Eazi and  Salif Keita",56,250,225,270,200.25
186,Verified (feat. Mayorkun),Laycon,57,250,225,270,200.5
187,Ngilimele (feat. Q Twins),DJ Tira,58,250,225,270,200.75
188,Early Momo (feat. GoodGirl LA),Vector,59,250,225,270,201.0
189,Baby Go,Otile Brown and  Kizz Daniel,60,250,225,270,201.25
190,Bank Notification (feat. Madumane),Ciza and  DJ Maphorisa,62,250,225,270,201.75
191,Ba Xolele (feat. Guyu Pane & YoungStunner) [729 Street Vocal],Dzo 729,63,250,225,270,202.0
192,Weekend,Eddy Kenzo,66,250,225,270,202.75
193,NDOVU NI KUU (feat. KHALIGRAPH JONES & BOUTROSS MUNENE),arcane krispah,68,250,225,270,203.25
194,"Umsebenzi Wethu (feat. Zuma, Mr JazziQ, Lady Du & Reece Madlisa)",Busta 929 and  Mpura,70,250,225,270,203.75
195,Denzel Washington (feat. Lannie Billion) [Radio Edit],"King Zeph,  Deep Sen and  K Sugah",73,250,225,270,204.5
196,Je veux que toi (feat. Fally Ipupa),Bramsito,75,250,225,270,205.0
197,"Samsokolo (feat. Mr JazziQ, Sir Trill, ThackzinDJ & Boohle) [Radio Edit]",Tee Jay and  Rascoe Kaos,76,250,225,270,205.25
198,Questions,Shekhinah,79,250,225,270,206.0
199,Sere (Remix),"Spinall,  Fireboy DML and  6LACK",80,250,225,270,206.25
200,Long Way,Emtee,82,250,225,270,206.75
