rank,song,artist,apple,boom,spotify,deezer,RT
182,"LiYoshona (feat. Njelic, MalumNator & De Mthuda) [Main Mix]",Kwiish SA,62,250,225,270,201.75
183,Phuze (feat. Zaba),Dlala Thukzin,63,250,225,270,202.0
184,Baby Go,Otile Brown and  Kizz Daniel,64,250,225,270,202.25
185,Somebody (feat. Phyno),Olamide,66,250,225,270,202.75
186,MY FAVOURITE SONG (feat. Shekhinah),Tshego,67,250,225,270,203.0
187,Questions,Shekhinah,69,250,225,270,203.5
188,I Want (feat. Mutoriah),Chris Kaiga,70,250,225,270,203.75
189,Nyeredzi,Jah Prayzah,73,250,225,270,204.5
190,"Africa, One Of A Kind","Angelique Kidjo,  Mr Eazi and  Salif Keita",74,250,225,270,204.75
191,Ngilimele (feat. Q Twins),DJ Tira,75,250,225,270,205.0
192,Weekend,Eddy Kenzo,77,250,225,270,205.5
193,NDOVU NI KUU (feat. KHALIGRAPH JONES & BOUTROSS MUNENE),arcane krispah,78,250,225,270,205.75
194,Je veux que toi (feat. Fally Ipupa),Bramsito,79,250,225,270,206.0
195,"Khuza Gogo (feat. Mpura, AmaAvenger & M.J)","DBN Gogo,  Blaqnick and  MasterBlaq",80,250,225,270,206.25
196,Hustlers Prayer (feat. A-Reece),25K,81,250,225,270,206.5
