rank,song,artist,apple,boom,spotify,deezer,RT
115,Tycoon (feat. Reminisce & MOJO),Show Dem Camp,9,250,225,270,188.5
116,Regina ft. Jux,Otile Brown,200,59,225,270,188.5
117,Guuy,Jeeba,200,60,225,270,188.75
118,Jowo,DaVido,200,250,35,270,188.75
119,Roho Mbaya,Nadia Mukami,200,61,225,270,189.0
120,Lala ft. Jux,Rayvanny,200,62,225,270,189.25
121,Meliza,DJ Flex,200,250,38,270,189.5
122,Dusuma ft. Meddy,Otile Brown,200,63,225,270,189.5
123,Bosana,El Mukuka,200,250,39,270,189.75
124,Southy Love (feat. Fireboy DML),Peruzzi,14,250,225,270,189.75
125,Breakup Riddim,DJ Aroma,200,250,40,270,190.0
126,Golden Boy,KiDi,200,65,225,270,190.0
127,Dollar On You,Kuami Eugene,200,66,225,270,190.25
128,Woza,Mr JazziQ,200,250,41,270,190.25
129,PEPE,L.A.X,200,250,42,270,190.5
130,In Love ft. AliKiba,Otile Brown,200,67,225,270,190.5
131,Confident,Savage and  Buju,18,250,225,270,190.75
132,All (feat. Davido),Rexxie,19,250,225,270,191.0
133,Capable God,Judikay,200,71,225,270,191.5
134,Dis moi comment.,Tayc,21,250,225,270,191.5
135,Vibaya,Harmonize,200,72,225,270,191.75
136,Money Man (Remix),Malcolm Nuna,200,73,225,270,192.0
137,Beautiful Mistakes ft. Megan Thee Stallion,Maroon 5,200,74,225,270,192.25
138,John Wick,De Mthuda,200,250,49,270,192.25
139,Yebo Teacher,Moonchild Sanelly,200,250,50,270,192.5
140,Sans moi,Franglish and  Aya Nakamura,26,250,225,270,192.75
141,Like I Do,Fireboy DML,200,76,225,270,192.75
142,Far Away,Dangbana Republik and  Bella Shmurda,27,250,225,270,193.0
143,Ankonam,Black Sherif,200,77,225,270,193.0
144,Mon soleil ft. Anitta,Dadju,200,78,225,270,193.25
145,Bloody Samaritan,Ayra Starr,28,250,225,270,193.25
146,Need For Speed,Olamide,200,79,225,270,193.5
147,HUSTLE,Teni,200,80,225,270,193.75
148,Feel Good,MohBad,30,250,225,270,193.75
149,Baby Go,Otile Brown and  Kizz Daniel,31,250,225,270,194.0
150, Litawachoma ft. Diamond Platnumz,Zuchu,200,81,225,270,194.0
151,MY FAVOURITE SONG (feat. Shekhinah),Tshego,32,250,225,270,194.25
152,Kiss Me,Mbosso,200,82,225,270,194.25
153,M'a Ngui Baxx,Dieyla Gueye,200,83,225,270,194.5
154,Sima Nkre,"Djodje,  Deejay Telio and  Julinho Ksd",33,250,225,270,194.5
155,Rise Up ft. Falz,2Baba,200,84,225,270,194.75
156,Fall,Mbosso,200,85,225,270,195.0
157,Happy Day ft. Kuami Eugene,Sarkodie,200,86,225,270,195.25
158,Pololo (feat. Tiakola),MHD,36,250,225,270,195.25
159,Professor Peller (feat. Zlatan),Seyi Vibez,37,250,225,270,195.5
160,Any More ft. Phyno,Victor AD,200,87,225,270,195.5
161,Phuze (feat. Zaba),Dlala Thukzin,38,250,225,270,195.75
162,AGYEIWAA ft. Reggie & City Boy,O\'Kenneth,200,88,225,270,195.75
163,Sore (Remix) (Remix) ft. Stormzy & Kwesi Arthur,Yaw Tog,200,89,225,270,196.0
164,Hustlers Prayer (feat. A-Reece),25K,40,250,225,270,196.25
165,Fake Ex,Yaw Tog,200,90,225,270,196.25
166,LEGGO,Serge Ibaka and  Tayc,41,250,225,270,196.5
167,Call,Joeboy,200,92,225,270,196.75
168,Lo Lo,Omah Lay,200,93,225,270,197.0
169,Jack,Nasty C,44,250,225,270,197.25
170,Omemma ((Live)),Judikay,200,94,225,270,197.25
171,Somebody (feat. Phyno),Olamide,45,250,225,270,197.5
172,Hold,Blxckie,46,250,225,270,197.75
173,Damn,Omah Lay,200,96,225,270,197.75
174,summer days,NVMI,47,250,225,270,198.0
175,Too Faithful,Moses Bliss,200,97,225,270,198.0
176,You,Omah Lay,200,98,225,270,198.25
177,La La,T'neeya,48,250,225,270,198.25
178,Amore,Fally Ipupa,200,99,225,270,198.5
179,Sweet Escape,Mizzle,49,250,225,270,198.5
180,Peaches ft. Daniel Caesar & Giveon,Justin Bieber,200,100,225,270,198.75
181,Fine Wine (feat. King Promise & Joeboy),R2Bees,50,250,225,270,198.75
182,Ex,Nikita Kering,51,250,225,270,199.0
183,One Time (feat. Reekado Banks),Moelogo,53,250,225,270,199.5
184,"LiYoshona (feat. Njelic, MalumNator & De Mthuda) [Main Mix]",Kwiish SA,54,250,225,270,199.75
185,Money & Laughter (feat. Amaarae & Zamir),BOJ,56,250,225,270,200.25
186,Asambeni,Oscar Mbo and  C-Blak,60,250,225,270,201.25
187,"Dangerous Love (feat. Mugeez, Efya & R2Bees)",Omar Sterling,61,250,225,270,201.5
188,I Want (feat. Mutoriah),Chris Kaiga,62,250,225,270,201.75
189,"Africa, One Of A Kind","Angelique Kidjo,  Mr Eazi and  Salif Keita",65,250,225,270,202.5
190,Ngilimele (feat. Q Twins),DJ Tira,66,250,225,270,202.75
191,Sere (Remix),"Spinall,  Fireboy DML and  6LACK",67,250,225,270,203.0
192,Early Momo (feat. GoodGirl LA),Vector,68,250,225,270,203.25
193,Bank Notification (feat. Madumane),Ciza and  DJ Maphorisa,70,250,225,270,203.75
194,Ba Xolele (feat. Guyu Pane & YoungStunner) [729 Street Vocal],Dzo 729,71,250,225,270,204.0
195,Weekend,Eddy Kenzo,73,250,225,270,204.5
196,NDOVU NI KUU (feat. KHALIGRAPH JONES & BOUTROSS MUNENE),arcane krispah,75,250,225,270,205.0
197,"Umsebenzi Wethu (feat. Zuma, Mr JazziQ, Lady Du & Reece Madlisa)",Busta 929 and  Mpura,77,250,225,270,205.5
198,Je veux que toi (feat. Fally Ipupa),Bramsito,79,250,225,270,206.0
199,Questions,Shekhinah,81,250,225,270,206.5
