rank,song,artist,apple,boom,spotify,deezer,RT
95,Salute (feat. Rudeboy),Alikiba,200,45,225,270,185.0
96,E Choke ft. Mr Drew,Sefa,200,46,225,270,185.25
97,Fashion Killer,Ayra Starr,200,250,21,270,185.25
98,Ghana Jollof (feat. Falz & Kwabena Kwabena),Basketmouth,200,250,23,270,185.75
99,"Thy Grace, Pt. 2",Kofi Kinaata,200,48,225,270,185.75
100,Abule,Patoranking,200,49,225,270,186.0
101,Ababuyanga,Aymos,200,250,25,270,186.25
102,Off The Grid,Kanye West,200,50,225,270,186.25
103,All of This (Jorja Smith x GuiltyBeatz),Jorja Smith,200,250,26,270,186.5
104,Enfant de Dieu ( Lxe2x80x99hymne national),Ks bloom,200,52,225,270,186.75
105,Testimony,Buju,200,250,28,270,187.0
106,Xool Ma Ci Bxc3xabt (feat. Jeeba),Iss 814,200,53,225,270,187.0
107,Champagne Poetry,Drake,200,55,225,270,187.5
108,MOSLADO,Teni,200,250,30,270,187.5
109,System (feat. WizKid),Dave,200,250,31,270,187.75
110,Lissa 2,Rapcha,200,58,225,270,188.25
111,Only You,GIMS,200,250,34,270,188.5
112,"Bopha (feat. DJ Maphorisa, Madumane & Young Stunna)",Mellow & Sleazy and  Felo Le Tee,10,250,225,270,188.75
113,"Congratulations ft, Buchi",Ada Ehi,200,60,225,270,188.75
114,Fiction (feat. Busy Signal),Rotimi,200,250,35,270,188.75
115,Somebody’s Son (Ft Brandy),Tiwa Savage,200,250,36,270,189.0
116,Fair Trade ft. Travis Scott,Drake,200,61,225,270,189.0
117,Ankonam,Black Sherif,200,62,225,270,189.25
118,love nwantiti (feat. DJ Yo & AX'EL) [Remix],CKay,12,250,225,270,189.25
119,KPK (Ko Por Ke),Rexxie,200,250,37,270,189.25
120,La Mour,KS Bloom,200,63,225,270,189.5
121,Bosana,El Mukuka,200,250,38,270,189.5
122,Destiny,Black Sherif,200,64,225,270,189.75
123,SPUNK,WurlD,200,250,39,270,189.75
124,iStradi (feat. PRO),Big Zulu,15,250,225,270,190.0
125,Music Messiah,DJ Neptune,200,250,41,270,190.25
126,Money Man (Remix),Malcolm Nuna,200,68,225,270,190.75
127,Chawa ft. Rayvanny & Ntosh Gaz,Whozu,200,69,225,270,191.0
128,Lakiriboto,Liya,200,250,44,270,191.0
129,Love All ft. JAY-Z,Drake,200,70,225,270,191.25
130,Love Me,Juls,200,250,46,270,191.5
131,Sandakalawe,Harmonize,200,71,225,270,191.5
132,You Are Yahweh,Steve Crown,200,72,225,270,191.75
133,Fame,Killertunes and  Nissi,22,250,225,270,191.75
134,Summer Bounce,Blaq Jerzee,200,250,47,270,191.75
135,+234 (Daily Paper),PsychoYP,23,250,225,270,192.0
136,Tabia Za Wakenya (Kanairo),Mejja,200,73,225,270,192.0
137,"ungayeki, (feat. Berita)",Amanda Black,24,250,225,270,192.25
138,Mwisho,Killy (TZ),200,74,225,270,192.25
139,Bankroll (feat. Tiwa Savage & Avelino),Not3s,200,250,49,270,192.25
140,Ba Xolele,729 Street Vocal - Dzo 729,200,250,50,270,192.5
141,Let Me Know,Mayorkun,25,250,225,270,192.5
142,Feel Good,MohBad,27,250,225,270,193.0
143,Accra,Medikal,200,77,225,270,193.0
144,Faster,L.A.X,200,250,53,270,193.25
145,Ariba,Stonebwoy and  Focalistic,28,250,225,270,193.25
146,Wena (feat. Sino Msolo),Musa Keys and  Lebza TheVillain,29,250,225,270,193.5
147,Non Living Thing feat. Oxlade,Sarkodie,200,79,225,270,193.5
148,Dusuma ft. Meddy,Otile Brown,200,81,225,270,194.0
149,Awoa,UNLIMITED SOUL and  DBN Gogo,31,250,225,270,194.0
150,Southy Love (feat. Fireboy DML),Peruzzi,32,250,225,270,194.25
151,Regina ft. Jux,Otile Brown,200,83,225,270,194.5
152,Lala ft. Jux,Rayvanny,200,84,225,270,194.75
153,Pete Yangu ft. Nadia Mukami,Bahati,200,85,225,270,195.0
154,HUSTLE,Teni,35,250,225,270,195.0
155,Indxc3xa9cis ( NDC ),Locko,36,250,225,270,195.25
156,Jaara feat. Medikal,Sarkodie,200,86,225,270,195.25
157,In Love ft. AliKiba,Otile Brown,200,87,225,270,195.5
158,Like I Do,Fireboy DML,200,89,225,270,196.0
159,Call Me Baby,Cheque,200,90,225,270,196.25
160,Nobody ft. Joeboy & Mr Eazi,DJ Neptune,200,91,225,270,196.5
161,Too Faithful,Moses Bliss,200,92,225,270,196.75
162,Dorime ,Teni,200,93,225,270,197.0
163,Visiting Hours,Ed Sheeran,200,95,225,270,197.5
164,Way 2 Sexy ft. Future & Young Thug,Drake,200,96,225,270,197.75
165,Dollar On You,Kuami Eugene,200,97,225,270,198.0
166,Frenemies (feat. Oxlade),Rexxie,47,250,225,270,198.0
167,Amore,Fally Ipupa,200,98,225,270,198.25
168,Hercule,Koffi Olomide and  Ninho,48,250,225,270,198.25
169,In The Bible ft. Lil Durk & Giveon,Drake,200,99,225,270,198.5
170,Homenagem II,C4 pedro and  ARY,49,250,225,270,198.5
171,Mama Mia (feat. Joeboy),Jaido P,50,250,225,270,198.75
172,Happy Birthday,Rayvanny,200,100,225,270,198.75
173,Fendi (feat. Joeboy),Blaqbonez,53,250,225,270,199.5
174,Solace,Ajebo Hustlers,55,250,225,270,200.0
175,Cocaine,Dai Verse,56,250,225,270,200.25
176,Confident,Savage and  Buju,59,250,225,270,201.0
177,Tycoon (feat. Reminisce & MOJO),Show Dem Camp,60,250,225,270,201.25
178,Ntoni Na (feat. Blxckie & 25K),Yanga Chief,61,250,225,270,201.5
179,Emlanjeni (feat. Da Muziqal Chef),De Mthuda and  Sir Trill,62,250,225,270,201.75
180,Falling (feat. Kidi),Nviiri The Storyteller,63,250,225,270,202.0
181,Far Away,Dangbana Republik and  Bella Shmurda,65,250,225,270,202.5
182,Dis moi comment.,Tayc,66,250,225,270,202.75
183,Pololo (feat. Tiakola),MHD,67,250,225,270,203.0
184,btb,Una Rams and  Blxckie,69,250,225,270,203.5
185,Sawubona,Nobuhle and  Sun-El Musician,70,250,225,270,203.75
186,Bena,Jinmi Abduls,71,250,225,270,204.0
187,Fine Wine (feat. King Promise & Joeboy),R2Bees,72,250,225,270,204.25
188,Tigini (feat. Franglish) [Remix],Kikimoteleba,73,250,225,270,204.5
189,Real,Tim Lyre,74,250,225,270,204.75
190,Sans moi,Franglish and  Aya Nakamura,75,250,225,270,205.0
191,Je veux que toi (feat. Fally Ipupa),Bramsito,79,250,225,270,206.0
192,"Isphithiphithi (feat. Reece Madlisa, Busta 929 & Joocy)",Pabi Cooper,80,250,225,270,206.25
193,Phuze (feat. Zaba),Dlala Thukzin,81,250,225,270,206.5
