rank,song,artist,apple,boom,spotify,deezer,RT
36,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)",Alikiba,200,40,39,270,137.25
37,Felony,CKay,46,250,225,43,141.0
38,Joy,Blxckie and  Oxlade,43,250,10,270,143.25
39,Anoti,Wizkid,3,250,51,270,143.5
40,NEED ME,Gyakie,30,50,225,270,143.75
41,Nimekuzoea,Nandy,78,4,225,270,144.25
42,Question (feat. Don Jazzy),Burna Boy,200,55,53,270,144.5
43,Let Me Know,Mayorkun,14,69,225,270,144.5
44,Shopping Spree (feat. Chris Brown & Young Thug),Davido,54,250,6,270,145.0
45,Feel Good,MohBad,27,60,225,270,145.5
46,Dimension (feat. Skepta & Rema),JAE5,42,250,28,270,147.5
47,Ex,Nikita Kering,53,250,18,270,147.75
48,Non Living Thing (feat. Oxlade),Sarkodie,34,250,37,270,147.75
49,Ba Xolele,Dzo 729,64,250,34,270,154.5
50,Songi Songi ft. Hiro,Maud Elka,56,70,225,270,155.25
51,Emlanjeni,De Mthuda and  Sir Trill,63,250,40,270,155.75
52,Siyathandana,Cassper Nyovest,62,250,48,270,157.5
53,Niko Sawa,Nviiri The Storyteller,73,250,49,270,160.5
54,Bobo,Aya Nakamura,60,88,225,270,160.75
55,Nossas Coisas (feat. Ary),C4 pedro,74,250,50,270,161.0
56,It Is What It Is,Adekunle Gold,200,250,225,7,170.5
57,Bloody Samaritan,Ayra Starr,200,250,225,12,171.75
58,Maserati (Remix),Olakira,200,250,225,13,172.0
59,Damages,Tems,200,250,225,18,173.25
60,Such Kinda Love ft. Jovial,Otile Brown,200,3,225,270,174.5
61,First Sermon,Black Sherif,200,5,225,270,175.0
62,Baby I'm Jealous,Mr Eazi,200,250,225,27,175.5
63,Vibration,Fireboy Dml,200,250,225,29,176.0
64,Coachella,Sarkodie,200,250,225,31,176.5
65,Nyumba Ndogo,Zuchu,200,13,225,270,177.0
66,Mood,Mr Drew,200,250,225,33,177.0
67,Baikoko ft. Diamond Platnumz,Mbosso,200,14,225,270,177.25
68,Activate,Stonebwoy,200,250,225,37,178.0
69,Kiss ft. Rayvanny,Bahati,200,19,225,270,178.5
70,Ke Star (Remix),Focalistic,200,250,225,40,178.75
71,AG Baby,Adekunle Gold,200,250,225,41,179.0
72,Sukari,Zuchu,200,21,225,270,179.0
73,Bling (feat. Amaarae & Buju),Blaqbonez,200,250,225,42,179.25
74,Jennifer,GUCHI,200,22,225,270,179.25
75,Banyana,DJ Maphorisa,200,250,225,44,179.75
76,Fake Ex,Yaw Tog,200,25,225,270,180.0
77,23,Burna Boy,200,250,225,45,180.0
78,Salute (feat. Rudeboy),Alikiba,200,26,225,270,180.25
79,MAD,Sarz,200,250,225,46,180.25
80,Hallelu,Masterkraft,200,250,225,47,180.5
81,Jeraha ft. Jovial,Otile Brown,200,27,225,270,180.5
82,Somebody Baby,Peruzzi,200,250,225,48,180.75
83,Number One ft. Zuchu,Rayvanny,200,28,225,270,180.75
84,Woman,Rema,200,250,225,49,181.0
85,Adom Grace,Diana Hamilton,200,30,225,270,181.25
86,Summeryomuthi,Blaq Diamond,200,250,225,50,181.25
87,Ababuyanga,Aymos,200,250,5,270,181.25
88,Celebrate Me,Patoranking,200,250,7,270,181.75
89,Mtaalam,Mbosso,200,33,225,270,182.0
90,Somebody’s Son (Ft Brandy),Tiwa Savage,200,250,9,270,182.25
91,Focus,Joeboy,200,34,225,270,182.25
92,Sweet ft. GUCHI,Rayvanny,200,36,225,270,182.75
93,Enfant de Dieu ( Lxe2x80x99hymne national),Ks bloom,200,38,225,270,183.25
94,Abule,Patoranking,200,39,225,270,183.5
95,All of This (Jorja Smith x GuiltyBeatz),Jorja Smith,200,250,15,270,183.75
96,Fashion Killer,Ayra Starr,200,250,16,270,184.0
97,Coachella feat. Kwesi Arthur,Sarkodie,200,41,225,270,184.0
98,Love Me,Juls,200,250,17,270,184.25
99,Yalaah,Mbosso,200,42,225,270,184.25
100,Yalaaaa,Zuchu,200,43,225,270,184.5
101,Tabia Za Wakenya (Kanairo),Mejja,200,45,225,270,185.0
102,Mwisho,Killy (TZ),200,46,225,270,185.25
103,SPUNK,WurlD,200,250,22,270,185.5
104,Lakiriboto,Liya,200,250,23,270,185.75
105,"Congratulations ft, Buchi",Ada Ehi,200,49,225,270,186.0
106,GUPTA,Focalistic,200,250,25,270,186.25
107,+234 (Daily Paper),PsychoYP,1,250,225,270,186.5
108,Destiny,Black Sherif,200,51,225,270,186.5
109,KPK (Ko Por Ke),Rexxie,200,250,26,270,186.5
110,Testimony,Buju,200,250,27,270,186.75
111,E Choke ft. Mr Drew,Sefa,200,52,225,270,186.75
112,Ankonam,Black Sherif,200,53,225,270,187.0
113,You Are Yahweh,Steve Crown,200,54,225,270,187.25
114,System (feat. WizKid),Dave,200,250,29,270,187.25
115,Snitch (feat. Foushexc3xa9),Ayra Starr,5,250,225,270,187.5
116,Sandakalawe,Harmonize,200,56,225,270,187.75
117,Music Messiah,DJ Neptune,200,250,31,270,187.75
118,Praise,Fameye,200,57,225,270,188.0
119,MOSLADO,Teni,200,250,33,270,188.25
120,"ungayeki, (feat. Berita)",Amanda Black,8,250,225,270,188.25
121,La Mour,KS Bloom,200,58,225,270,188.25
122,Pete Yangu ft. Nadia Mukami,Bahati,200,59,225,270,188.5
123,Southy Love (feat. Fireboy DML),Peruzzi,11,250,225,270,189.0
124,Sweety,Yemi Alade,200,250,36,270,189.0
125,Jaara feat. Medikal,Sarkodie,200,62,225,270,189.25
126,Naanzaje,Diamond Platnumz,200,63,225,270,189.5
127,Jipinde,Ibraah,200,64,225,270,189.75
128,Only You,GIMS,200,250,41,270,190.25
129,Nobody ft. Joeboy & Mr Eazi,DJ Neptune,200,66,225,270,190.25
130,Bosana,El Mukuka,200,250,42,270,190.5
131,Lala ft. Jux,Rayvanny,200,67,225,270,190.5
132,Non Living Thing feat. Oxlade,Sarkodie,200,68,225,270,190.75
133,Fendi (feat. Joeboy),Blaqbonez,19,250,225,270,191.0
134,Money Man (Remix),Malcolm Nuna,200,71,225,270,191.5
135,Dusuma ft. Meddy,Otile Brown,200,72,225,270,191.75
136,Bena,Jinmi Abduls,22,250,225,270,191.75
137,Call Me Baby,Cheque,200,73,225,270,192.0
138,HUSTLE,Teni,23,250,225,270,192.0
139,"Y3 Y3 DOM ft. Skyface SDW, Reggie, Kwaku DMC, City Boy & Kawabanga",JAY BAHD,200,75,225,270,192.5
140,Frenemies (feat. Oxlade),Rexxie,25,250,225,270,192.5
141,Regina ft. Jux,Otile Brown,200,76,225,270,192.75
142,Solace,Ajebo Hustlers,26,250,225,270,192.75
143,In Love ft. AliKiba,Otile Brown,200,77,225,270,193.0
144,Cocaine,Dai Verse,28,250,225,270,193.25
145,Summer Bounce,Blaq Jerzee,200,250,54,270,193.5
146,Fiction (feat. Busy Signal),Rotimi,200,250,56,270,194.0
147,Like I Do,Fireboy DML,200,81,225,270,194.0
148,Bankroll (feat. Tiwa Savage & Avelino),Not3s,200,250,57,270,194.25
149,Too Faithful,Moses Bliss,200,82,225,270,194.25
150,Sawubona,Nobuhle and  Sun-El Musician,32,250,225,270,194.25
151,Somebodyxe2x80x99s Son ft. Brandy,Tiwa Savage,200,83,225,270,194.5
152,Raha (feat. Nadia Mukami),Arrow Bwoy,33,250,225,270,194.5
153,Cheche ft. Diamond Platnumz,Zuchu,200,84,225,270,194.75
154,Confident,Savage and  Buju,35,250,225,270,195.0
155,Drug Test,Naira Marley,200,85,225,270,195.0
156,Tycoon (feat. Reminisce & MOJO),Show Dem Camp,36,250,225,270,195.25
157,8xc3xa8me merveille,Fally Ipupa,200,86,225,270,195.25
158,Accra,Medikal,200,87,225,270,195.5
159,Baby Go,Otile Brown and  Kizz Daniel,37,250,225,270,195.5
160,"Uphetheni Esandleni (feat. Sizwe Mdlalose, Assiye Bongzin & DJ Tira)",Dladla Mshunqisi,38,250,225,270,195.75
161,btb,Una Rams and  Blxckie,39,250,225,270,196.0
162,Pains,Mr Drew,200,89,225,270,196.0
163,Xool Ma Ci Bxc3xabt (feat. Jeeba),Iss 814,200,90,225,270,196.25
164,STAMINA (feat. LuuDadeejay),WurlD and  Major League Djz,41,250,225,270,196.5
165,"Thy Grace, Pt. 2",Kofi Kinaata,200,91,225,270,196.5
166,Lo Lo,Omah Lay,200,93,225,270,197.0
167,Fall,Mbosso,200,94,225,270,197.25
168,Goumin Fracas,Toofan,45,250,225,270,197.5
169,Benzema,Guchi,200,95,225,270,197.5
170, Litawachoma ft. Diamond Platnumz,Zuchu,200,96,225,270,197.75
171,Omwoyo,Liam Voice,200,97,225,270,198.0
172,Tales By Moonlight (feat. Amaarae),Tiwa Savage,47,250,225,270,198.0
173,Money & Laughter (feat. Amaarae & Zamir),BOJ,48,250,225,270,198.25
174,Kiss Me,Mbosso,200,98,225,270,198.25
175,Fine Wine (feat. King Promise & Joeboy),R2Bees,49,250,225,270,198.5
176,Amore,Fally Ipupa,200,99,225,270,198.5
177,Vibaya,Harmonize,200,100,225,270,198.75
178,Real,Tim Lyre,50,250,225,270,198.75
179,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,51,250,225,270,199.0
180,Dis moi comment.,Tayc,55,250,225,270,200.0
181,Pololo (feat. Tiakola),MHD,57,250,225,270,200.5
182,Sans moi,Franglish and  Aya Nakamura,58,250,225,270,200.75
183,Far Away,Dangbana Republik and  Bella Shmurda,59,250,225,270,201.0
184,Sima Nkre,"Djodje,  Deejay Telio and  Julinho Ksd",61,250,225,270,201.5
185,"LiYoshona (feat. Njelic, MalumNator & De Mthuda) [Main Mix]",Kwiish SA,65,250,225,270,202.5
186,Phuze (feat. Zaba),Dlala Thukzin,66,250,225,270,202.75
187,Je veux que toi (feat. Fally Ipupa),Bramsito,68,250,225,270,203.25
188,"Isphithiphithi (feat. Reece Madlisa, Busta 929 & Joocy)",Pabi Cooper,69,250,225,270,203.5
189,Questions,Shekhinah,71,250,225,270,204.0
190,I Want (feat. Mutoriah),Chris Kaiga,72,250,225,270,204.25
191,Nyeredzi,Jah Prayzah,75,250,225,270,205.0
192,"Africa, One Of A Kind","Angelique Kidjo,  Mr Eazi and  Salif Keita",76,250,225,270,205.25
193,Ngilimele (feat. Q Twins),DJ Tira,77,250,225,270,205.5
194,NDOVU NI KUU (feat. KHALIGRAPH JONES & BOUTROSS MUNENE),arcane krispah,79,250,225,270,206.0
195,"Khuza Gogo (feat. Mpura, AmaAvenger & M.J)","DBN Gogo,  Blaqnick and  MasterBlaq",80,250,225,270,206.25
