rank,song,artist,apple,boom,spotify,audiomack,deezer,youtube,RT
66,Koleyewon,Naira Marley,375,28,350,40,64,325,197.0
67,If You No Love,Chik̩,375,23,350,94,300,45,197.83333333333334
68,Bank On It,Burna Boy,40,62,39,450,300,325,202.66666666666666
69,This Your Body,Skales and Davido,375,30,350,54,89,325,203.83333333333334
70,Airplane Mode,Fireboy DML,375,73,350,104,300,27,204.83333333333334
71,Music Messiah,DJ Neptune,375,36,350,77,71,325,205.66666666666666
72,Champion,Fireboy DML & D Smoke,375,41,350,50,103,325,207.33333333333334
73,If E Happen For Lagos,Runtown,375,97,350,103,300,22,207.83333333333334
74,No Stress,Wizkid,70,420,70,72,300,325,209.5
75,Lonely,Joeboy,375,66,350,42,107,325,210.83333333333334
76,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",125,420,127,450,68,82,212.0
77,Ruger,Ruger,120,420,113,450,92,81,212.66666666666666
78,LV N ATTN feat. Wizkid,"Lojay, Sarz",7,420,76,450,14,325,215.33333333333334
79,Confident,"Savage, Buju",113,420,124,193,119,325,215.66666666666666
80,Real Life,Burna Boy,81,420,91,79,300,325,216.0
81,Blessed (feat. Damian Marley),Wizkid,31,420,28,450,55,325,218.16666666666666
82,Epidemic,Polo G,36,420,32,450,46,325,218.16666666666666
83,Monalisa,"Lojay, Sarz",28,420,25,450,61,325,218.16666666666666
84,CELEBRATE ME,Patoranking,121,420,125,205,120,325,219.33333333333334
85,Holy Ground,Davido,103,420,111,71,300,325,221.66666666666666
86,Malibu (feat. Polo G),Migos,38,420,30,450,78,325,223.5
87,Smile,Wizkid,102,420,109,90,300,325,224.33333333333334
88,Antisocial (feat. Juice WRLD),Migos,39,420,33,450,79,325,224.33333333333334
89,Type Shit (feat. Cardi B),"Migos, Cardi B",44,420,36,450,80,325,225.83333333333334
90,GANG GANG (with Lil Wayne),"Polo G, Lil Wayne",59,420,52,450,50,325,226.0
91,Squander,Falz,375,45,350,200,300,93,227.16666666666666
92,Picasso (feat. Future),"Migos, Future",53,420,43,450,81,325,228.66666666666666
93,Ginger Me (Intro),Bella Shmurda,375,420,350,52,99,78,229.0
94,For the Love of New York (with Nicki Minaj),"Polo G, Nicki Minaj",52,420,42,450,87,325,229.33333333333334
95,Fame & Riches (with Roddy Ricch),Polo G,67,420,59,450,69,325,231.66666666666666
96,Triumphant,Olamide,375,15,350,33,300,325,233.0
97,Hats Off (feat. Travis Scott),"Lil Baby, Lil Durk, Travis Scott",49,420,44,450,121,325,234.83333333333334
98,Light It Up (feat. Pop Smoke),"Migos, Pop Smoke",77,420,73,450,74,325,236.5
99,Why Not,Migos,98,420,92,450,300,71,238.5
100,Heartbreak Anniversary,GIV\xc4\x92ON,95,420,99,450,47,325,239.33333333333334
101,PAMI,DJ Tunez,375,40,350,56,300,325,241.0
102,What You See (feat. Justin Bieber),"Migos, Justin Bieber",85,420,79,450,90,325,241.5
103,Birthday,Migos,84,420,77,450,96,325,242.0
104,Vaccine,Migos,83,420,78,450,97,325,242.16666666666666
105,Black Hearted,Polo G,87,420,81,450,93,325,242.66666666666666
106,At My Worst,Pink Sweat$,375,420,350,93,127,95,243.33333333333334
107,Clueless (with Pop Smoke & Fivio Foreign),Polo G,89,420,83,450,94,325,243.5
108,Ori,Barry Jhay,375,76,350,45,300,325,245.16666666666666
109,Toxic,Polo G,96,420,88,450,95,325,245.66666666666666
110,Panty!,"Lojay, Sarz",76,420,74,450,129,325,245.66666666666666
111,Loading,Olamide,375,51,350,82,300,325,247.16666666666666
112,Jane,Migos,86,420,82,450,124,325,247.83333333333334
113,Jennifer,Guchi,375,9,350,450,300,3,247.83333333333334
114,My Bebe,Omah Lay,375,52,350,95,300,325,249.5
115,You,Omah Lay,375,48,350,106,300,325,250.66666666666666
116,Roadrunner,Migos,97,420,89,450,128,325,251.5
117,Need For Speed,Olamide,104,420,114,450,104,325,252.83333333333334
118,Julie,Olamide,105,420,115,450,105,325,253.33333333333334
119,Boom,Polo G,115,420,101,450,112,325,253.83333333333334
120,Jailer (feat. Jaywillz),Olamide,106,420,116,450,106,325,253.83333333333334
121,Broken Guitars (with Scorey),Polo G,117,420,103,450,111,325,254.33333333333334
122,Abule,Patoranking,375,44,350,134,300,325,254.66666666666666
