rank,song,artist,apple,boom,spotify,youtube,deezer,RT
205,Waka Waka (This Time for Africa),Shakira,375,400,350,87,300,302.4
206,Labarin Zuciya,Rahab saleem,375,400,350,89,300,302.8
207,GANI A SO,Zainab Ambato,375,400,350,90,300,303
208,Blinding Lights,The Weeknd,375,400,350,325,66,303.2
209,Lost Cause,Billie Eilish,375,400,350,91,300,303.2
210,Yadda Kunne Yaji,Hamisu Breaker,375,400,350,94,300,303.8
211,STUNNAMAN (feat. Lil Wayne),Birdman & Roddy Ricch,375,400,350,95,300,304
212,Anyone,Justin Bieber,375,400,350,325,71,304.2
213,Ameno,ERA,375,400,350,96,300,304.2
214,Flex,Kizz Daniel,375,400,350,325,72,304.4
215,Everything (Amen),Timi Dakolo,375,400,350,97,300,304.4
216,Naked,Waje,375,400,350,98,300,304.6
217,Fall for Me,"Laycon, YKB",375,400,350,325,74,304.8
218,Wait On You (feat. Dante Bowe & Chandler Moore),Elevation Worship & Maverick City Music,375,400,350,100,300,305
219,Ma Pariwo,Zinoleesky,375,400,350,325,90,308
220,6am in Brighton,ArrDee,375,400,350,325,94,308.8
221,Killer (Remix),"Eminem, Jack Harlow, Cordae",375,400,350,325,96,309.2
222,All In,"Nasty C, T.I.",375,400,350,325,98,309.6
223,God Forbid,Peruzzi,375,400,350,325,100,310
224,Arcade,Duncan Laurence,375,400,350,325,101,310.2
225,His & Hers,"Internet money, Gunna, Don Toliver, Lil Uzi Vert",375,400,350,325,105,311
226,Go Crazy,"Chris Brown, Young Thug",375,400,350,325,108,311.6
227,Graduation,"Benny Blanco, Juice Wrld",375,400,350,325,109,311.8
228,Hold On,Justin Bieber,375,400,350,325,110,312
229,Ballin,"Mustard, Roddy Ricch",375,400,350,325,111,312.2
230,GANG GANG,"POLO G, Lil Wayne",375,400,350,325,112,312.4
231,Ginger Me,Rema,375,400,350,325,122,314.4
232,Ramen & OJ,"Joyner Lucas, Lil Baby",375,400,350,325,127,315.4
233,Wow,Tion Wayne,375,400,350,325,128,315.6
234,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",375,400,350,325,130,316
235,Mood (feat. iann dior),"24kgoldn, Iann Dior",375,400,350,325,133,316.6
236,drivers license,Olivia Rodrigo,375,400,350,325,140,318
237,p u n c h i n  . t h e . c l o c k,J. Cole,375,400,350,325,141,318.2
