rank,song,artist,apple,audiomark,youtube,RT
174,Rappers (feat. Dremo),Dreylo,500,510,32,1020.6666666666666
175,Emtee - Ithemba [C-MIX],Nasty C,500,510,33,1021.0
176,Once Again Dey Don Dey Vex Me,"Ace DJ Xquisite, Blaqbonez & PsychoYP",500,510,34,1021.3333333333334
177,Jiggy Bop,Alpha P & TMXO,500,510,35,1021.6666666666666
178,Blessing ft. Vic Mensa (Official Video),Stonebwoy,500,510,36,1022.0
179,1 of 1,Cassper Nyovest,500,510,37,1022.3333333333334
180,PARIS (feat. Nasty C),Shane Eagle,500,510,38,1022.6666666666666
181,Truth (feat. Lil Zara),Emtee,500,510,39,1023.0
182,The Live Report,AQ & M.I Abaga,500,510,40,1023.3333333333334
183,BLACK,Shane Eagle,500,510,41,1023.6666666666666
184,Die There (Hustle),Illbliss,500,510,42,1024.0
185,Mainland to Island,Oladips & Zlatan,500,510,43,1024.3333333333333
186,Own Your Throne,Boity,500,510,44,1024.6666666666667
187,City of Kings,PsychoYP,500,510,45,1025.0
188,Class Clown,TNT Kenya,500,510,46,1025.3333333333333
189,Glory,Nyashinski,500,510,47,1025.6666666666667
190,Big Brother,Blaqbonez,500,510,48,1026.0
