rank,song,artist,apple,boom,youtube,RT
137,We Up (feat. Phaemous) ,Zilla Oaks featuring Phaemous,500,71,450,340.3333333333333
138,Snitch (feat. Foushexc3xa9),Ayra Starr,62,510,450,340.6666666666667
139,Radar,Remix - BwoiiDaas,500,510,12,340.6666666666667
140,Tonongo,Lojay and  Sarz,63,510,450,341.0
141,Strangers or Friends   ,Atee,500,73,450,341.0
142,Different Strain,Fasina,500,510,13,341.0
143,BDMN,Minz,500,510,14,341.3333333333333
144,Needing You   ,Big Ozed,500,74,450,341.3333333333333
145,Party Starter,Gabzy,64,510,450,341.3333333333333
146,Down Low   ,Krosszn,500,75,450,341.6666666666667
147,Gbese,Ogranya and  Show Dem Camp,65,510,450,341.6666666666667
148,TDK (feat. SirBastien),DAP The Contract,500,510,15,341.6666666666667
149,Ka$h App   ,"Beezyx feat. denzl, Kiienka, Begho, Bolaryn",500,76,450,342.0
150,Money Bag,Ria Sean,66,510,450,342.0
151,London,Tomi Agape,500,510,16,342.0
152,Dragon Fruit Freestyle,Lady Donli,67,510,450,342.3333333333333
153,Chance,Juls,500,510,17,342.3333333333333
154,Nobody Else   ,Ugo Klassic,500,77,450,342.3333333333333
155,Shege,Purple Plutonian,68,510,450,342.6666666666667
156,CHANGE   ,"Lord Edward and Boy Nino feat. Murphy Cubic, Tyrone Jones",500,78,450,342.6666666666667
157,What is this love   ,July,500,79,450,343.0
158,Pumpkin,Mike Akox,69,510,450,343.0
159,Vogue,Wauve,500,510,19,343.0
160,Lowo (feat. Zarion Uti & Chordratic) ,Chuks Profound featuring Zarion Uti and Chordratic,500,80,450,343.3333333333333
161,Deep End,Adey,500,510,20,343.3333333333333
162,Don't Mind (feat. Rhythmnculture),Doka Shot,70,510,450,343.3333333333333
163,Nobody   ,Pzeefire,500,81,450,343.6666666666667
164,Don't Be Shy,Kida Kudz,500,510,21,343.6666666666667
165,Omah,Neeza,72,510,450,344.0
166,HUSTLER   ,Marzi,500,82,450,344.0
167,1985,Juls,500,510,22,344.0
168,Fire For You   ,Prodbyvino feat. D1wav,500,83,450,344.3333333333333
169,Wicked Somebody (Refix),Wondamagik and  Ogranya,73,510,450,344.3333333333333
170,Wicked,Straffitti,74,510,450,344.6666666666667
171,Mafimisere,Plainben,75,510,450,345.0
172,Nasa,Rvdical the Kid,500,510,25,345.0
173,BEAN24 (feat. DOZ & Le Mav),Hermez,76,510,450,345.3333333333333
174,Commas,Hoosh,500,510,26,345.3333333333333
