rank,song,artist,apple,youtube,RT
91,Happiness - Davolee,Davolee,250,18,259.0
92,Kilamiti - Fabian Blu,Fabian Blu,250,19,259.5
93,KAMBA - Terry Apala,Terry Apala,250,23,261.5
94,Omo Ologo (Official Video) - LilFroshVEVO,LilFroshVEVO,250,24,262.0
95,Bella Shmurda - Vision2020 [Official Video] ft. Olamide - Bella Shmurda,Bella Shmurda,250,25,262.5
96,Gratitude (feat. Barry Jhay) - Superwozzy,Superwozzy,250,26,263.0
97,Your Body - Mayorkun,Mayorkun,250,29,264.5
98,Zinoleesky - MaPariwo (OFFICIAL VIDEO) - Naira Marley,Naira Marley,250,30,265.0
99,Chi Chi - Naira Marley,Naira Marley,250,31,265.5
100,Ayewada - Barry Jhay,Barry Jhay,250,32,266.0
101,Triumphant (feat. Bella Shmurda) - Olamide,Olamide,250,34,267.0
102,All The Way - Lil Kesh,Lil Kesh,250,35,267.5
103,Lowo Lowo (Remix) (feat. Davido) - May D,May D,250,36,268.0
104,90’S - Seyi Vibez,Seyi Vibez,250,38,269.0
105,Money - Bella Shmurda,Bella Shmurda,250,39,269.5
106,See Finish (feat. Mayorkun) - Dapo Tuburna,Dapo Tuburna,250,40,270.0
107,Ori - Barry Jhay,Barry Jhay,250,41,270.5
108,Lil Kesh & Naira Marley - O Por (Official Audio) - Lil Kesh,Lil Kesh,250,42,271.0
109,Better Better - Jamopyper,Jamopyper,250,43,271.5
110,Lyta - Hold Me Down (Official Video) - Naira Marley,Naira Marley,250,44,272.0
111,Love (Official Video) - Davolee,Davolee,250,45,272.5
112,Epo - Davido,Davido,250,47,273.5
113,"Are You Sure (feat. Emo Grae, Naira Marley & Zinoleesky) - Lyta",Lyta,250,48,274.0
114,Baba Nla (feat. Teni) - Candy Bleakz,Candy Bleakz,250,49,274.5
115,Caro - Idowest Ft Davido,Idowest Ft Davido,250,50,275.0
116,Babylon - Picazo,Picazo,250,51,275.5
117,Paper - C Blvck,C Blvck,250,52,276.0
118,"Lyta - Are You Sure? (Official Video) ft. Zinoleesky, Emo Grae, Naira Marley - LytaVEVO",LytaVEVO,250,53,276.5
