rank,song,artist,apple,youtube,RT
104,Opor (Remix) - Rexxie,Rexxie,250,40,270.0
105,Baba Nla (feat. Teni) - Candy Bleakz,Candy Bleakz,250,41,270.5
106,90’S - Seyi Vibez,Seyi Vibez,250,42,271.0
107,Caro - Idowest Ft Davido,Idowest Ft Davido,250,43,271.5
108,Ori - Barry Jhay,Barry Jhay,250,44,272.0
109,Lil Kesh & Naira Marley - O Por (Official Audio) - Lil Kesh,Lil Kesh,250,45,272.5
110,Lyta - Hold Me Down (Official Video) - Naira Marley,Naira Marley,250,46,273.0
111,Love (Official Video) - Davolee,Davolee,250,47,273.5
112,Epo - Davido,Davido,250,49,274.5
113,Better Better - Jamopyper,Jamopyper,250,50,275.0
