rank,song,artist,apple,youtube,RT
45,Kabaa (feat. Mayorkun),Idowest,42,200,142.0
46,Barawo (feat. Davido) [Remix],Ajebo Hustlers,43,200,143.0
47,Tesina Pot,"Jaido P, Olamide",44,200,144.0
48,Wagwan,Laycon,45,200,145.0
49,Lagbaja,Sona,46,200,146.0
50,Dey Here,BoyMX,48,200,148.0
51,Shamaya (feat. Patoranking),Idowest,49,200,149.0
52,Prayer (feat. Drekiss),Lexzydreamz,50,200,150.0
53,Aunty Fisayo,QD,52,200,152.0
54,Another Banger,Realonyechi,53,200,153.0
55,Doing Well Remix (feat. Skales),Ryme,54,200,154.0
56,Formula 1,Damibliz,55,200,155.0
57,Certainly (feat. Wale Turner & Jaido P),BODE BLAQ,56,200,156.0
58,Kokanmi,Qdot,57,200,157.0
59,Pump Your Parry (Remix) [feat. Naira Marley & C Blvck],Abramsoul,59,200,159.0
60,Mofo,Fikky,60,200,160.0
61,E Choke,Bils,61,200,161.0
62,Kafaya (feat. Bella Shmurda),Daniel Brown,62,200,162.0
63,My Life,"Dj Manuel, Zlatan",63,200,163.0
64,Moyan,CDQ,65,200,165.0
65,Oge (feat. Bad Boy Timz),Anonymous Music,66,200,166.0
66,Want (feat. DanDizzy),Rage,67,200,167.0
67,Billing Npayan,Obaflow,68,200,168.0
68,Bad Boy,"Dj Fizzy, Baddy Osha, Slimcase, CDQ",69,200,169.0
69,NGNP (No Girlfriend No Problem) [feat. Zlatan],Idowest,70,200,170.0
70,Dedede,"Boyodre, Dayo Chino",71,200,171.0
71,Hustle (feat. Zlatan),Reklyn,72,200,172.0
72,The Matter (feat. Papisnoop),Zlatan,73,200,173.0
73,Isolova,Peruzzi,74,200,174.0
74,Olopa (feat. Zlatan),Qdot,75,200,175.0
75,One Leg Up (feat. Tekno),Blaq Jerzee,76,200,176.0
76,FOCUS DANCE BEAT (feat. Hagman & Abati) - AJIMOVOIX DRUMS,AJIMOVOIX DRUMS,250,5,252.5
77,Hello Ẹ - Reminisce,Reminisce,250,6,253.0
78,Kilofeshe,MarlianMusic HQ,250,7,253.5
79,Chi Chi,Naira Marley,250,8,254.0
80,Sheydi Balabala (Refix) - Dj Baddo,Dj Baddo,250,10,255.0
81,KAMBA - Terry Apala,Terry Apala,250,11,255.5
82,Omo Ologo (Official Video) - LilFroshVEVO,LilFroshVEVO,250,13,256.5
83,Bella Shmurda - Vision2020 [Official Video] ft. Olamide - Bella Shmurda,Bella Shmurda,250,15,257.5
84,Gratitude (feat. Barry Jhay) - Superwozzy,Superwozzy,250,16,258.0
85,"Are You Sure (feat. Naira Marley, Zinoleesky & EMO Grae) - LYTA",LYTA,250,17,258.5
86,Happiness - Davolee,Davolee,250,18,259.0
87,Lagos Anthem,Zlatan,250,19,259.5
88,Ayewada ,Barry Jhay,250,20,260.0
89,90'S - Seyi Vibez,Seyi Vibez,250,22,261.0
90,Better Better - Jamopyper,Jamopyper,250,24,262.0
91,Your Body - Mayorkun,Mayorkun,250,25,262.5
92,Zinoleesky - MaPariwo (OFFICIAL VIDEO) - Naira Marley,Naira Marley,250,26,263.0
93,As E Dey Go - Naira Marley,Naira Marley,250,27,263.5
94,See Finish (feat. Mayorkun) - Dapo Tuburna,Dapo Tuburna,250,28,264.0
95,Lyta - Hold Me Down (Official Video) - Naira Marley,Naira Marley,250,31,265.5
96,Triumphant (feat. Bella Shmurda) - Olamide,Olamide,250,32,266.0
97,Lesse passe - Bella Shmurda,Bella Shmurda,250,33,266.5
98,Baba Nla (feat. Teni) - Candy Bleakz,Candy Bleakz,250,34,267.0
99,All The Way - Lil Kesh,Lil Kesh,250,35,267.5
100,God Sent - Seyi Vibez,Seyi Vibez,250,36,268.0
101,Lowo Lowo (Remix) (feat. Davido) - May D,May D,250,37,268.5
102,Money - Bella Shmurda,Bella Shmurda,250,38,269.0
103,Caro - Idowest Ft Davido,Idowest Ft Davido,250,39,269.5
104,Love (Official Video) - Davolee,Davolee,250,41,270.5
105,Lil Kesh & Naira Marley - O Por (Official Audio) - Lil Kesh,Lil Kesh,250,43,271.5
106,Prayer - HotKid,HotKid,250,44,272.0
107,Ori - Barry Jhay,Barry Jhay,250,45,272.5
108,Epo - Davido,Davido,250,46,273.0
109,Opor (Remix) - Rexxie,Rexxie,250,47,273.5
110,Zinoleesky Ft Naira Marley - Caro (Official video) - Naira Marley,Naira Marley,250,48,274.0
111,Party Next Door - Bella Shmurda,Bella Shmurda,250,49,274.5
112,Feel Good - Mohbad,Mohbad,250,50,275.0
113,Far Away - Bella Shmurda,Bella Shmurda,250,51,275.5
114,World - Bella Shmurda,Bella Shmurda,250,52,276.0
115,Rush - Bella Shmurda,Bella Shmurda,250,53,276.5
116,"Rexxie - Opor Remix (Official Audio) ft. Zlatan, Ladipoe - RexxieVEVO",RexxieVEVO,250,55,277.5
