rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
107,Make Up Your Mind (feat. Tekno),Ice Prince,86,301,301,97,96,301,301,211.85714285714286
108,Simmer (feat. Burna Boy),Mahalia,92,301,301,99,89,301,301,212.0
109,JA ARA E,Burna Boy,301,301,301,85,99,301,98,212.28571428571428
110,Trouble,"DRB Lasgidi, Boj, Fresh L., Tems",11,14,301,301,301,301,301,218.57142857142858
111,Fiesta,Opvibes,301,301,301,31,53,301,301,227.0
112,Domitilla,Lisa Yaro,301,54,44,301,301,301,301,229.0
113,Dangerous Love,Møme Edit - Tiwa Savage,301,301,301,48,67,301,301,231.42857142857142
114,So Crazy (feat. Lil Baby),DaVido,301,301,301,61,59,301,301,232.14285714285714
115,The Recipe,Aluna,301,72,75,301,301,301,301,236.0
116,Ke Star,Remix - Focalistic,301,301,301,96,301,66,301,238.14285714285714
117,Surround Me,Ayotemi,301,301,301,89,301,301,77,238.71428571428572
118,Baajo,Kwesi Arthur,81,88,301,301,301,301,301,239.14285714285714
119,HOLD ON,Oxlade,301,301,301,70,100,301,301,239.28571428571428
120,Whine It (feat. Sauti Sol),Patoranking,301,75,97,301,301,301,301,239.57142857142858
121,Comfortable (feat. Davido),Preme,88,301,301,301,301,84,301,239.57142857142858
122,Luva Luva,Runtown,301,85,87,301,301,301,301,239.57142857142858
123,Holy Ground (feat. Nicki Minaj),DaVido,301,301,301,86,301,94,301,240.71428571428572
124,Repeat (feat. Koffee),J Hus,96,301,301,301,301,301,86,241.0
125,Beg Friend,Juls,301,301,301,98,301,89,301,241.71428571428572
126,Sweetie Odo,Juls,301,301,301,301,301,95,96,242.28571428571428
127,Mr Workerman,Odeal,301,301,301,301,301,301,7,259.0
128,The Recipe,"Aluna, Rema",301,301,301,301,9,301,301,259.2857142857143
129,Smooth MF,"Agho, DJ Tunez",301,301,9,301,301,301,301,259.2857142857143
130,Better Than I Imagined [Feat. H.E.R. & Meshell Ndegeocello],"DJ Tunez Remix - Robert Glasper, DJ Tunez",301,301,301,301,301,13,301,259.85714285714283
131,Sweeter Love,Curtis J,301,301,301,301,301,301,17,260.42857142857144
132,Trouble,"DRB Lasgidi, Tems",301,301,301,301,301,19,301,260.7142857142857
133,Crazy Tings,Tems,301,301,301,301,301,301,23,261.2857142857143
134,On It (feat. PnB Rock & K1NG),Crumz,301,301,301,54,301,301,301,265.7142857142857
135,Peace Of Mind,Ayo Jay,57,301,301,301,301,301,301,266.14285714285717
136,Ready,Yung L,301,63,301,301,301,301,301,267.0
137,Enjoyment,Jujuboy Star,301,301,66,301,301,301,301,267.42857142857144
138,Wicked,Juls,67,301,301,301,301,301,301,267.57142857142856
139,Body,Reen,301,301,301,301,301,301,72,268.2857142857143
140,Sleepless Nights (feat. Davido),Trey Songz,301,301,301,301,301,301,76,268.85714285714283
141,Take Me Home,Lady Donli,301,78,301,301,301,301,301,269.14285714285717
142,Roll It,Richie Benson,78,301,301,301,301,301,301,269.14285714285717
143,Fantasy,Niniola,301,301,301,82,301,301,301,269.7142857142857
144,Under Pressure,Jay Teazer,301,301,85,301,301,301,301,270.14285714285717
145,Karma,Cuppy,301,301,89,301,301,301,301,270.7142857142857
146,Gimme Love,Remix - Seyi Shay,301,301,301,301,90,301,301,270.85714285714283
147,Proppa,Etana,301,90,301,301,301,301,301,270.85714285714283
148,Fashion Killer,Ayra Starr,301,301,301,301,301,90,301,270.85714285714283
149,Midnight Boom,with ChocQuibTown & Afro B - Ir Sais,301,301,92,301,301,301,301,271.14285714285717
150,Money (feat. Teni),Kida Kudz,301,301,301,301,301,301,92,271.14285714285717
151,Siberia (feat. Burna Boy),Headie One,301,301,301,95,301,301,301,271.57142857142856
152,COMO UN BEBÉ,J Balvin,301,301,301,301,95,301,301,271.57142857142856
153,Dollas and Cents,TOBi,301,301,301,301,97,301,301,271.85714285714283
154,Questions (feat. Kojo Funds),Gino J,301,301,301,301,301,97,301,271.85714285714283
155,Slow Down,VanJess,301,301,99,301,301,301,301,272.14285714285717
156,Temptation,Tiwa Savage,301,301,301,301,301,301,99,272.14285714285717
157,Fever,Iyanya,301,301,100,301,301,301,301,272.2857142857143
